Date,^DJI(t-1),^DJI(t)
2015-01-05,17832.990234375,17501.650390625
2015-01-06,17501.650390625,17371.640625
2015-01-07,17371.640625,17584.51953125
2015-01-08,17584.51953125,17907.869140625
2015-01-09,17907.869140625,17737.369140625
2015-01-12,17737.369140625,17640.83984375
2015-01-13,17640.83984375,17613.6796875
2015-01-14,17613.6796875,17427.08984375
2015-01-15,17427.08984375,17320.7109375
2015-01-16,17320.7109375,17511.5703125
2015-01-20,17511.5703125,17515.23046875
2015-01-21,17515.23046875,17554.279296875
2015-01-22,17554.279296875,17813.98046875
2015-01-23,17813.98046875,17672.599609375
2015-01-26,17672.599609375,17678.69921875
2015-01-27,17678.69921875,17387.2109375
2015-01-28,17387.2109375,17191.369140625
2015-01-29,17191.369140625,17416.849609375
2015-01-30,17416.849609375,17164.94921875
2015-02-02,17164.94921875,17361.0390625
2015-02-03,17361.0390625,17666.400390625
2015-02-04,17666.400390625,17673.01953125
2015-02-05,17673.01953125,17884.880859375
2015-02-06,17884.880859375,17824.2890625
2015-02-09,17824.2890625,17729.2109375
2015-02-10,17729.2109375,17868.759765625
2015-02-11,17868.759765625,17862.140625
2015-02-12,17862.140625,17972.380859375
2015-02-13,17972.380859375,18019.349609375
2015-02-17,18019.349609375,18047.580078125
2015-02-18,18047.580078125,18029.849609375
2015-02-19,18029.849609375,17985.76953125
2015-02-20,17985.76953125,18140.439453125
2015-02-23,18140.439453125,18116.83984375
2015-02-24,18116.83984375,18209.189453125
2015-02-25,18209.189453125,18224.5703125
2015-02-26,18224.5703125,18214.419921875
2015-02-27,18214.419921875,18132.69921875
2015-03-02,18132.69921875,18288.630859375
2015-03-03,18288.630859375,18203.369140625
2015-03-04,18203.369140625,18096.900390625
2015-03-05,18096.900390625,18135.720703125
2015-03-06,18135.720703125,17856.779296875
2015-03-09,17856.779296875,17995.720703125
2015-03-10,17995.720703125,17662.939453125
2015-03-11,17662.939453125,17635.390625
2015-03-12,17635.390625,17895.220703125
2015-03-13,17895.220703125,17749.310546875
2015-03-16,17749.310546875,17977.419921875
2015-03-17,17977.419921875,17849.080078125
2015-03-18,17849.080078125,18076.189453125
2015-03-19,18076.189453125,17959.029296875
2015-03-20,17959.029296875,18127.650390625
2015-03-23,18127.650390625,18116.0390625
2015-03-24,18116.0390625,18011.140625
2015-03-25,18011.140625,17718.5390625
2015-03-26,17718.5390625,17678.23046875
2015-03-27,17678.23046875,17712.66015625
2015-03-30,17712.66015625,17976.310546875
2015-03-31,17976.310546875,17776.119140625
2015-04-01,17776.119140625,17698.1796875
2015-04-02,17698.1796875,17763.240234375
2015-04-06,17763.240234375,17880.849609375
2015-04-07,17880.849609375,17875.419921875
2015-04-08,17875.419921875,17902.509765625
2015-04-09,17902.509765625,17958.73046875
2015-04-10,17958.73046875,18057.650390625
2015-04-13,18057.650390625,17977.0390625
2015-04-14,17977.0390625,18036.69921875
2015-04-15,18036.69921875,18112.609375
2015-04-16,18112.609375,18105.76953125
2015-04-17,18105.76953125,17826.30078125
2015-04-20,17826.30078125,18034.9296875
2015-04-21,18034.9296875,17949.58984375
2015-04-22,17949.58984375,18038.26953125
2015-04-23,18038.26953125,18058.689453125
2015-04-24,18058.689453125,18080.140625
2015-04-27,18080.140625,18037.970703125
2015-04-28,18037.970703125,18110.140625
2015-04-29,18110.140625,18035.529296875
2015-04-30,18035.529296875,17840.51953125
2015-05-01,17840.51953125,18024.060546875
2015-05-04,18024.060546875,18070.400390625
2015-05-05,18070.400390625,17928.19921875
2015-05-06,17928.19921875,17841.98046875
2015-05-07,17841.98046875,17924.060546875
2015-05-08,17924.060546875,18191.109375
2015-05-11,18191.109375,18105.169921875
2015-05-12,18105.169921875,18068.23046875
2015-05-13,18068.23046875,18060.490234375
2015-05-14,18060.490234375,18252.240234375
2015-05-15,18252.240234375,18272.560546875
2015-05-18,18272.560546875,18298.880859375
2015-05-19,18298.880859375,18312.390625
2015-05-20,18312.390625,18285.400390625
2015-05-21,18285.400390625,18285.740234375
2015-05-22,18285.740234375,18232.01953125
2015-05-26,18232.01953125,18041.5390625
2015-05-27,18041.5390625,18162.990234375
2015-05-28,18162.990234375,18126.119140625
2015-05-29,18126.119140625,18010.6796875
2015-06-01,18010.6796875,18040.369140625
2015-06-02,18040.369140625,18011.939453125
2015-06-03,18011.939453125,18076.26953125
2015-06-04,18076.26953125,17905.580078125
2015-06-05,17905.580078125,17849.4609375
2015-06-08,17849.4609375,17766.55078125
2015-06-09,17766.55078125,17764.0390625
2015-06-10,17764.0390625,18000.400390625
2015-06-11,18000.400390625,18039.369140625
2015-06-12,18039.369140625,17898.83984375
2015-06-15,17898.83984375,17791.169921875
2015-06-16,17791.169921875,17904.48046875
2015-06-17,17904.48046875,17935.740234375
2015-06-18,17935.740234375,18115.83984375
2015-06-19,18115.83984375,18015.94921875
2015-06-22,18015.94921875,18119.779296875
2015-06-23,18119.779296875,18144.0703125
2015-06-24,18144.0703125,17966.0703125
2015-06-25,17966.0703125,17890.359375
2015-06-26,17890.359375,17946.6796875
2015-06-29,17946.6796875,17596.349609375
2015-06-30,17596.349609375,17619.509765625
2015-07-01,17619.509765625,17757.91015625
2015-07-02,17757.91015625,17730.109375
2015-07-06,17730.109375,17683.580078125
2015-07-07,17683.580078125,17776.91015625
2015-07-08,17776.91015625,17515.419921875
2015-07-09,17515.419921875,17548.619140625
2015-07-10,17548.619140625,17760.41015625
2015-07-13,17760.41015625,17977.6796875
2015-07-14,17977.6796875,18053.580078125
2015-07-15,18053.580078125,18050.169921875
2015-07-16,18050.169921875,18120.25
2015-07-17,18120.25,18086.44921875
2015-07-20,18086.44921875,18100.41015625
2015-07-21,18100.41015625,17919.2890625
2015-07-22,17919.2890625,17851.0390625
2015-07-23,17851.0390625,17731.919921875
