Date,cumulative_sentiment
2015-01-05,0.01
2015-01-06,0.01
2015-01-07,0.0
2015-01-08,0.0
2015-01-09,0.0
2015-01-12,0.0
2015-01-13,0.0
2015-01-14,0.12
2015-01-15,0.3
2015-01-16,0.26
2015-01-20,0.07
2015-01-21,0.45
2015-01-22,0.36
2015-01-23,0.3
2015-01-26,0.12
2015-01-27,0.11
2015-01-28,0.05
2015-01-29,0.24
2015-01-30,0.21
2015-02-02,0.51
2015-02-03,0.42
2015-02-04,0.33
2015-02-05,0.24
2015-02-06,0.74
2015-02-09,0.88
2015-02-10,1.02
2015-02-11,0.82
2015-02-12,0.7
2015-02-13,0.59
2015-02-17,0.02
2015-02-18,0.42
2015-02-19,0.38
2015-02-20,0.54
2015-02-23,0.85
2015-02-24,0.72
2015-02-25,0.8
2015-02-26,0.64
2015-02-27,0.49
2015-03-02,0.22
2015-03-03,0.2
2015-03-04,0.22
2015-03-05,0.14
2015-03-06,0.34
2015-03-09,0.27
2015-03-10,0.27
2015-03-11,0.22
2015-03-12,0.14
2015-03-13,0.07
2015-03-16,0.0
2015-03-17,0.04
2015-03-18,0.03
2015-03-19,0.02
2015-03-20,0.02
2015-03-23,0.02
2015-03-24,0.01
2015-03-25,0.16
2015-03-26,0.13
2015-03-27,0.11
2015-03-30,0.04
2015-03-31,0.05
2015-04-01,0.06
2015-04-02,0.47
2015-04-06,0.52
2015-04-07,0.44
2015-04-08,0.38
2015-04-09,0.36
2015-04-10,0.26
2015-04-13,0.03
2015-04-14,0.01
2015-04-15,0.21
2015-04-16,0.19
2015-04-17,0.18
2015-04-20,0.12
2015-04-21,0.08
2015-04-22,0.05
2015-04-23,0.04
2015-04-24,0.04
2015-04-27,0.53
2015-04-28,0.49
2015-04-29,0.39
2015-04-30,0.28
2015-05-01,0.42
2015-05-04,0.19
2015-05-05,0.16
2015-05-06,0.09
2015-05-07,0.03
2015-05-08,0.0
2015-05-11,0.0
2015-05-12,0.01
2015-05-13,0.01
2015-05-14,0.0
2015-05-15,0.0
2015-05-18,0.84
2015-05-19,0.73
2015-05-20,0.61
2015-05-21,0.49
2015-05-22,0.37
2015-05-26,0.17
2015-05-27,0.18
2015-05-28,0.27
2015-05-29,0.23
2015-06-01,0.11
2015-06-02,0.08
2015-06-03,0.06
2015-06-04,0.19
2015-06-05,0.14
2015-06-08,0.14
2015-06-09,0.1
2015-06-10,0.08
2015-06-11,0.05
2015-06-12,0.02
2015-06-15,0.0
2015-06-16,0.06
2015-06-17,0.07
2015-06-18,0.48
2015-06-19,0.41
2015-06-22,0.39
2015-06-23,0.29
2015-06-24,0.62
2015-06-25,0.47
2015-06-26,0.39
2015-06-29,0.18
2015-06-30,0.3
2015-07-01,0.19
2015-07-02,0.14
2015-07-06,0.0
2015-07-07,0.2
2015-07-08,0.17
2015-07-09,0.34
2015-07-10,0.27
2015-07-13,0.22
2015-07-14,0.1
2015-07-15,0.61
2015-07-16,0.0
2015-07-17,0.0
2015-07-20,0.06
2015-07-21,0.03
2015-07-22,0.07
2015-07-23,0.12
2015-07-24,0.09
2015-07-27,-0.0
2015-07-28,0.0
2015-07-29,0.0
2015-07-30,0.02
2015-07-31,0.02
2015-08-03,0.0
2015-08-04,0.01
2015-08-05,0.01
2015-08-06,0.2
2015-08-07,0.15
2015-08-10,0.0
2015-08-11,0.0
2015-08-12,0.02
2015-08-13,0.0
2015-08-14,0.15
2015-08-17,0.08
2015-08-18,0.05
2015-08-19,0.57
2015-08-20,0.29
2015-08-21,0.0
2015-08-24,0.2
2015-08-25,0.39
2015-08-26,0.39
2015-08-27,0.3
2015-08-28,0.2
2015-08-31,0.06
2015-09-01,0.04
2015-09-02,0.02
2015-09-03,0.0
2015-09-04,0.03
2015-09-08,0.34
2015-09-09,0.35
2015-09-10,0.28
2015-09-11,0.19
2015-09-14,0.25
2015-09-15,0.2
2015-09-16,0.18
2015-09-17,0.18
2015-09-18,0.19
2015-09-21,0.31
2015-09-22,0.29
2015-09-23,0.27
2015-09-24,0.18
2015-09-25,0.1
2015-09-28,0.76
2015-09-29,0.67
2015-09-30,0.59
2015-10-01,0.5
2015-10-02,0.43
2015-10-05,0.4
2015-10-06,0.34
2015-10-07,0.56
2015-10-08,0.45
2015-10-09,0.34
2015-10-12,0.34
2015-10-13,0.76
2015-10-14,0.54
2015-10-15,0.31
2015-10-16,0.09
2015-10-19,0.0
2015-10-20,0.1
2015-10-21,0.18
2015-10-22,0.14
2015-10-23,0.1
2015-10-26,0.36
2015-10-27,0.25
2015-10-28,0.51
2015-10-29,0.56
2015-10-30,0.47
2015-11-02,0.25
2015-11-03,0.17
2015-11-04,0.12
2015-11-05,0.08
2015-11-06,0.04
2015-11-09,0.02
2015-11-10,0.17
2015-11-11,0.14
2015-11-12,0.12
2015-11-13,0.09
2015-11-16,0.0
2015-11-17,0.42
2015-11-18,0.36
2015-11-19,0.3
2015-11-20,0.24
2015-11-23,0.06
2015-11-24,0.0
2015-11-25,0.0
2015-11-27,0.0
2015-11-30,0.0
2015-12-01,0.0
2015-12-02,0.02
2015-12-03,0.01
2015-12-04,0.21
2015-12-07,0.11
2015-12-08,0.11
2015-12-09,0.15
2015-12-10,0.6
2015-12-11,0.62
2015-12-14,0.81
2015-12-15,0.65
2015-12-16,0.49
2015-12-17,0.33
2015-12-18,0.44
2015-12-21,0.11
2015-12-22,0.11
2015-12-23,0.07
2015-12-24,0.04
2015-12-28,0.0
2015-12-29,0.15
2015-12-30,0.13
2015-12-31,0.1
2016-01-04,0.0
2016-01-05,0.0
2016-01-06,0.0
2016-01-07,0.0
2016-01-08,0.0
2016-01-11,0.0
2016-01-12,0.0
2016-01-13,0.0
2016-01-14,0.0
2016-01-15,0.0
2016-01-19,0.01
2016-01-20,0.02
2016-01-21,0.02
2016-01-22,0.3
2016-01-25,0.37
2016-01-26,0.42
2016-01-27,0.36
2016-01-28,0.3
2016-01-29,0.44
2016-02-01,0.34
2016-02-02,0.48
2016-02-03,0.47
2016-02-04,0.37
2016-02-05,0.27
2016-02-08,0.06
2016-02-09,0.03
2016-02-10,0.01
2016-02-11,0.01
2016-02-12,0.06
2016-02-16,0.27
2016-02-17,0.33
2016-02-18,0.29
2016-02-19,0.2
2016-02-22,0.38
2016-02-23,0.3
2016-02-24,0.24
2016-02-25,0.26
2016-02-26,0.24
2016-02-29,0.33
2016-03-01,0.28
2016-03-02,0.2
2016-03-03,0.16
2016-03-04,0.11
2016-03-07,0.52
2016-03-08,0.44
2016-03-09,0.37
2016-03-10,0.59
2016-03-11,0.58
2016-03-14,0.22
2016-03-15,0.22
2016-03-16,0.17
2016-03-17,0.24
2016-03-18,0.29
2016-03-21,0.18
2016-03-22,0.33
2016-03-23,0.28
2016-03-24,0.36
2016-03-28,0.41
2016-03-29,0.33
2016-03-30,0.25
2016-03-31,0.2
2016-04-01,0.15
2016-04-04,0.0
2016-04-05,0.0
2016-04-06,0.01
2016-04-07,0.21
2016-04-08,0.35
2016-04-11,0.17
2016-04-12,0.14
2016-04-13,0.07
2016-04-14,0.07
2016-04-15,0.04
2016-04-18,0.17
2016-04-19,0.21
2016-04-20,0.16
2016-04-21,0.27
2016-04-22,0.58
2016-04-25,0.53
2016-04-26,0.95
2016-04-27,0.76
2016-04-28,0.86
2016-04-29,0.73
2016-05-02,0.43
2016-05-03,0.36
2016-05-04,0.28
2016-05-05,0.17
2016-05-06,0.08
2016-05-09,0.05
2016-05-10,0.03
2016-05-11,0.02
2016-05-12,0.0
2016-05-13,-0.0
2016-05-16,0.0
2016-05-17,0.0
2016-05-18,0.08
2016-05-19,0.18
2016-05-20,0.15
2016-05-23,0.06
2016-05-24,0.03
2016-05-25,0.0
2016-05-26,0.0
2016-05-27,0.56
2016-05-31,0.4
2016-06-01,0.52
2016-06-02,0.46
2016-06-03,0.43
2016-06-06,0.24
2016-06-07,0.18
2016-06-08,0.13
2016-06-09,0.16
2016-06-10,0.11
2016-06-13,0.15
2016-06-14,0.14
2016-06-15,0.12
2016-06-16,0.24
2016-06-17,0.27
2016-06-20,0.43
2016-06-21,0.36
2016-06-22,0.3
2016-06-23,0.39
2016-06-24,0.32
2016-06-27,0.32
2016-06-28,0.26
2016-06-29,0.21
2016-06-30,0.28
2016-07-01,0.56
2016-07-05,0.45
2016-07-06,0.35
2016-07-07,0.27
2016-07-08,0.16
2016-07-11,0.56
2016-07-12,0.0
2016-07-13,0.0
2016-07-14,0.0
2016-07-15,0.01
2016-07-18,0.09
2016-07-19,0.07
2016-07-20,0.05
2016-07-21,0.02
2016-07-22,0.0
2016-07-25,0.0
2016-07-26,0.08
2016-07-27,0.06
2016-07-28,0.01
2016-07-29,0.01
2016-08-01,0.56
2016-08-02,0.48
2016-08-03,0.96
2016-08-04,0.8
2016-08-05,0.67
2016-08-08,0.38
2016-08-09,0.25
2016-08-10,0.12
2016-08-11,0.08
2016-08-12,0.04
2016-08-15,0.0
2016-08-16,0.06
2016-08-17,0.03
2016-08-18,0.0
2016-08-19,0.08
2016-08-22,0.0
2016-08-23,0.42
2016-08-24,0.58
2016-08-25,0.85
2016-08-26,0.38
2016-08-29,0.59
2016-08-30,0.88
2016-08-31,0.93
2016-09-01,0.76
2016-09-02,0.95
2016-09-06,0.32
2016-09-07,0.22
2016-09-08,0.18
2016-09-09,0.14
2016-09-12,0.05
2016-09-13,0.02
2016-09-14,0.01
2016-09-15,0.01
2016-09-16,0.01
2016-09-19,0.02
2016-09-20,0.08
2016-09-21,0.08
2016-09-22,0.12
2016-09-23,0.09
2016-09-26,0.17
2016-09-27,0.13
2016-09-28,0.09
2016-09-29,0.02
2016-09-30,0.01
2016-10-03,0.2
2016-10-04,0.17
2016-10-05,0.14
2016-10-06,0.67
2016-10-07,0.93
2016-10-10,0.45
2016-10-11,0.39
2016-10-12,0.32
2016-10-13,0.26
2016-10-14,0.19
2016-10-17,0.02
2016-10-18,0.02
2016-10-19,0.01
2016-10-20,0.0
2016-10-21,0.0
2016-10-24,0.0
2016-10-25,0.0
2016-10-26,0.22
2016-10-27,0.2
2016-10-28,0.16
2016-10-31,0.04
2016-11-01,0.2
2016-11-02,0.16
2016-11-03,0.14
2016-11-04,0.09
2016-11-07,0.71
2016-11-08,0.57
2016-11-09,0.99
2016-11-10,0.8
2016-11-11,0.62
2016-11-14,0.4
2016-11-15,0.81
2016-11-16,0.61
2016-11-17,0.4
2016-11-18,0.2
2016-11-21,0.21
2016-11-22,0.15
2016-11-23,0.08
2016-11-25,0.06
2016-11-28,0.0
2016-11-29,0.0
2016-11-30,0.02
2016-12-01,0.01
2016-12-02,0.02
2016-12-05,0.0
2016-12-06,0.2
2016-12-07,0.17
2016-12-08,0.14
2016-12-09,0.11
2016-12-12,0.03
2016-12-13,0.07
2016-12-14,0.21
2016-12-15,0.14
2016-12-16,0.08
2016-12-19,0.0
2016-12-20,0.01
2016-12-21,0.01
2016-12-22,0.03
2016-12-23,0.22
2016-12-27,0.07
2016-12-28,0.09
2016-12-29,0.14
2016-12-30,0.11
2017-01-03,0.14
2017-01-04,0.18
2017-01-05,0.19
2017-01-06,0.15
2017-01-09,0.26
2017-01-10,0.2
2017-01-11,0.16
2017-01-12,0.12
2017-01-13,0.09
2017-01-17,0.0
2017-01-18,0.21
2017-01-19,0.19
2017-01-20,0.17
2017-01-23,0.55
2017-01-24,0.46
2017-01-25,0.39
2017-01-26,0.3
2017-01-27,0.21
2017-01-30,0.0
2017-01-31,0.0
2017-02-01,0.01
2017-02-02,0.0
2017-02-03,0.0
2017-02-06,0.06
2017-02-07,0.05
2017-02-08,0.04
2017-02-09,0.03
2017-02-10,0.03
2017-02-13,0.0
2017-02-14,0.04
2017-02-15,0.04
2017-02-16,0.03
2017-02-17,0.03
2017-02-21,0.15
2017-02-22,0.11
2017-02-23,0.06
2017-02-24,0.06
2017-02-27,0.48
2017-02-28,0.32
2017-03-01,0.16
2017-03-02,0.05
2017-03-03,0.05
2017-03-06,0.04
2017-03-07,0.03
2017-03-08,0.01
2017-03-09,0.06
2017-03-10,0.05
2017-03-13,0.03
2017-03-14,0.02
2017-03-15,0.01
2017-03-16,0.0
2017-03-17,0.0
2017-03-20,0.0
2017-03-21,0.0
2017-03-22,0.02
2017-03-23,0.01
2017-03-24,0.57
2017-03-27,0.35
2017-03-28,0.3
2017-03-29,0.22
2017-03-30,0.15
2017-03-31,0.07
2017-04-03,0.0
2017-04-04,0.0
2017-04-05,0.0
2017-04-06,0.0
2017-04-07,0.0
2017-04-10,0.0
2017-04-11,0.08
2017-04-12,0.05
2017-04-13,0.02
2017-04-17,0.2
2017-04-18,0.17
2017-04-19,0.34
2017-04-20,0.29
2017-04-21,0.23
2017-04-24,0.27
2017-04-25,0.2
2017-04-26,0.13
2017-04-27,0.09
2017-04-28,0.08
2017-05-01,0.32
2017-05-02,0.27
2017-05-03,0.37
2017-05-04,0.58
2017-05-05,1.05
2017-05-08,0.53
2017-05-09,0.34
2017-05-10,0.54
2017-05-11,0.33
2017-05-12,0.33
2017-05-15,0.18
2017-05-16,0.15
2017-05-17,0.08
2017-05-18,0.03
2017-05-19,0.0
2017-05-22,0.02
2017-05-23,0.07
2017-05-24,0.06
2017-05-25,0.04
2017-05-26,0.03
2017-05-30,0.15
2017-05-31,0.13
2017-06-01,0.11
2017-06-02,0.09
2017-06-05,0.22
2017-06-06,0.2
2017-06-07,0.21
2017-06-08,0.16
2017-06-09,0.66
2017-06-12,0.91
2017-06-13,0.68
2017-06-14,0.45
2017-06-15,0.23
2017-06-16,0.37
2017-06-19,0.11
2017-06-20,0.13
2017-06-21,0.09
2017-06-22,0.05
2017-06-23,0.02
2017-06-26,0.0
2017-06-27,0.24
2017-06-28,0.21
2017-06-29,0.37
2017-06-30,0.3
2017-07-03,0.07
2017-07-05,0.34
2017-07-06,0.29
2017-07-07,0.26
2017-07-10,0.08
2017-07-11,0.04
2017-07-12,0.0
2017-07-13,0.0
2017-07-14,0.0
2017-07-17,0.0
2017-07-18,0.14
2017-07-19,0.17
2017-07-20,0.16
2017-07-21,0.13
2017-07-24,0.21
2017-07-25,0.18
2017-07-26,0.36
2017-07-27,0.31
2017-07-28,0.26
2017-07-31,0.9
2017-08-01,0.97
2017-08-02,0.82
2017-08-03,0.89
2017-08-04,0.75
2017-08-07,0.35
2017-08-08,0.21
2017-08-09,0.59
2017-08-10,0.47
2017-08-11,0.39
2017-08-14,0.04
2017-08-15,0.03
2017-08-16,0.03
2017-08-17,0.0
2017-08-18,0.0
2017-08-21,0.03
2017-08-22,0.22
2017-08-23,0.22
2017-08-24,0.38
2017-08-25,0.4
2017-08-28,0.22
2017-08-29,0.15
2017-08-30,0.1
2017-08-31,0.03
2017-09-01,0.01
2017-09-05,0.6
2017-09-06,0.66
2017-09-07,0.31
2017-09-08,0.23
2017-09-11,0.03
2017-09-12,0.15
2017-09-13,0.12
2017-09-14,0.09
2017-09-15,0.07
2017-09-18,0.0
2017-09-19,0.02
2017-09-20,0.16
2017-09-21,0.11
2017-09-22,0.09
2017-09-25,0.02
2017-09-26,0.02
2017-09-27,0.01
2017-09-28,0.21
2017-09-29,0.19
2017-10-02,0.14
2017-10-03,0.15
2017-10-04,0.21
2017-10-05,0.21
2017-10-06,0.19
2017-10-09,0.09
2017-10-10,0.1
2017-10-11,0.27
2017-10-12,0.42
2017-10-13,0.55
2017-10-16,0.3
2017-10-17,0.24
2017-10-18,0.36
2017-10-19,0.25
2017-10-20,0.16
2017-10-23,0.0
2017-10-24,0.0
2017-10-25,0.03
2017-10-26,0.03
2017-10-27,0.02
2017-10-30,0.03
2017-10-31,0.02
2017-11-01,0.04
2017-11-02,0.02
2017-11-03,0.02
2017-11-06,0.3
2017-11-07,0.28
2017-11-08,0.26
2017-11-09,0.25
2017-11-10,0.4
2017-11-13,0.53
2017-11-14,0.44
2017-11-15,0.38
2017-11-16,0.28
2017-11-17,0.23
2017-11-20,0.04
2017-11-21,0.56
2017-11-22,0.48
2017-11-24,0.32
2017-11-27,0.08
2017-11-28,0.15
2017-11-29,0.15
2017-11-30,0.11
2017-12-01,0.09
2017-12-04,0.02
2017-12-05,0.0
2017-12-06,0.2
2017-12-07,0.17
2017-12-08,0.56
2017-12-11,0.3
2017-12-12,0.27
2017-12-13,0.18
2017-12-14,0.1
2017-12-15,0.09
2017-12-18,0.02
2017-12-19,0.0
2017-12-20,0.0
2017-12-21,0.04
2017-12-22,0.02
2017-12-26,0.08
2017-12-27,0.07
2017-12-28,0.06
2017-12-29,0.2
2018-01-02,0.08
2018-01-03,0.06
2018-01-04,0.18
2018-01-05,0.13
2018-01-08,0.41
2018-01-09,0.47
2018-01-10,0.8
2018-01-11,0.66
2018-01-12,0.75
2018-01-16,0.25
2018-01-17,0.22
2018-01-18,0.14
2018-01-19,0.08
2018-01-22,0.02
2018-01-23,0.02
2018-01-24,0.01
2018-01-25,0.03
2018-01-26,0.08
2018-01-29,0.01
2018-01-30,0.01
2018-01-31,0.02
2018-02-01,0.02
2018-02-02,0.57
2018-02-05,0.32
2018-02-06,0.32
2018-02-07,0.2
2018-02-08,0.08
2018-02-09,0.0
2018-02-12,0.0
2018-02-13,0.0
2018-02-14,0.0
2018-02-15,0.2
2018-02-16,0.16
2018-02-20,0.0
2018-02-21,0.0
2018-02-22,0.0
2018-02-23,0.0
2018-02-26,0.0
2018-02-27,0.0
2018-02-28,0.0
2018-03-01,0.0
2018-03-02,0.0
2018-03-05,0.0
2018-03-06,0.02
2018-03-07,0.01
2018-03-08,0.01
2018-03-09,0.0
2018-03-12,0.0
2018-03-13,0.0
2018-03-14,0.0
2018-03-15,0.02
2018-03-16,0.17
2018-03-19,0.24
2018-03-20,0.2
2018-03-21,0.15
2018-03-22,0.11
2018-03-23,0.06
2018-03-26,0.38
2018-03-27,0.49
2018-03-28,0.39
2018-03-29,0.29
2018-04-02,0.12
2018-04-03,0.63
2018-04-04,0.53
2018-04-05,0.43
2018-04-06,0.35
2018-04-09,0.08
2018-04-10,0.0
2018-04-11,0.2
2018-04-12,0.17
2018-04-13,0.29
2018-04-16,0.14
