Date,gemini_predicted_price
2015-01-05,58.91096115112305
2015-01-06,57.846900939941406
2015-01-07,56.882286071777344
2015-01-08,56.61378860473633
2015-01-09,58.26456832885742
2015-01-12,57.35
2015-01-13,57.7
2015-01-14,57.9
2015-01-15,57.45
2015-01-16,56.5
2015-01-20,55.95
2015-01-21,56.28
2015-01-22,57.2
2015-01-23,57.85
2015-01-26,58.05
2015-01-27,58.75
2015-01-28,58.15
2015-01-29,57.25
2015-01-30,57.35
2015-02-02,56.85
2015-02-03,56.8
2015-02-04,57.85
2015-02-05,58.45
2015-02-06,58.35
2015-02-09,59.15
2015-02-10,58.25
2015-02-11,58.45
2015-02-12,58.01
2015-02-13,60.25
2015-02-17,62.0
2015-02-18,61.55
2015-02-19,62.05
2015-02-20,62.45
2015-02-23,63.2
2015-02-24,62.95
2015-02-25,62.35
2015-02-26,62.55
2015-02-27,70.5
2015-03-02,70.5
2015-03-03,70.25
2015-03-04,68.5
2015-03-05,66.8
2015-03-06,65.95
2015-03-09,65.05
2015-03-10,64.85
2015-03-11,64.25
2015-03-12,63.95
2015-03-13,64.65
2015-03-16,63.98
2015-03-17,66.25
2015-03-18,66.05
2015-03-19,67.03
2015-03-20,68.05
2015-03-23,68.1
2015-03-24,67.75
2015-03-25,67.35
2015-03-26,66.75
2015-03-27,66.05
2015-03-30,66.15
2015-03-31,66.05
2015-04-01,66.6
2015-04-02,66.18
2015-04-06,66.3
2015-04-07,67.05
2015-04-08,67.45
2015-04-09,67.95
2015-04-10,67.75
2015-04-13,67.45
2015-04-14,67.25
2015-04-15,66.95
2015-04-16,66.88
2015-04-17,67.2
2015-04-20,66.05
2015-04-21,66.55
2015-04-22,66.85
2015-04-23,66.85
2015-04-24,67.85
2015-04-27,67.6
2015-04-28,67.95
2015-04-29,67.05
2015-04-30,71.5
2015-05-01,71.5
2015-05-04,71.95
2015-05-05,74.85
2015-05-06,72.35
2015-05-07,73.05
2015-05-08,73.75
2015-05-11,73.05
2015-05-12,71.85
2015-05-13,71.85
2015-05-14,71.45
2015-05-15,72.15
2015-05-18,72.05
2015-05-19,72.25
2015-05-20,71.8
2015-05-21,70.95
2015-05-22,72.05
2015-05-26,74.05
2015-05-27,73.55
2015-05-28,73.2
2015-05-29,72.98
2015-06-01,72.85
2015-06-02,72.65
2015-06-03,72.55
2015-06-04,72.95
2015-06-05,72.4
2015-06-08,73.05
2015-06-09,72.15
2015-06-10,71.85
2015-06-11,72.55
2015-06-12,71.85
2015-06-15,71.72
2015-06-16,72.25
2015-06-17,72.65
2015-06-18,73.35
2015-06-19,74.55
2015-06-22,75.05
2015-06-23,74.85
2015-06-24,74.15
2015-06-25,73.85
2015-06-26,73.45
2015-06-29,72.85
2015-06-30,71.95
2015-07-01,69.85
2015-07-02,70.15
2015-07-06,70.05
2015-07-07,69.45
2015-07-08,69.95
2015-07-09,69.35
2015-07-10,69.35
2015-07-13,70.15
2015-07-14,70.5
2015-07-15,70.85
2015-07-16,70.9
2015-07-17,71.95
2015-07-20,72.05
2015-07-21,72.25
2015-07-22,73.05
2015-07-23,73.05
2015-07-24,72.55
2015-07-27,73.35
2015-07-28,72.6
2015-07-29,72.9
2015-07-30,73.25
