Date,gemini_predicted_price
2015-01-05,99.9921417236328
2015-01-06,98.41878509521484
2015-01-07,96.29627990722656
2015-01-08,95.66693115234376
2015-01-09,97.74623107910156
2015-01-12,98.17195892333984
2015-01-13,96.52452850341795
2015-01-14,97.55
2015-01-15,97.25
2015-01-16,96.85
2015-01-20,96.78
2015-01-21,96.25
2015-01-22,95.25
2015-01-23,95.45
2015-01-26,95.78
2015-01-27,96.15
2015-01-28,94.95
2015-01-29,94.85
2015-01-30,95.85
2015-02-02,94.85
2015-02-03,94.75
2015-02-04,96.75
2015-02-05,96.85
2015-02-06,96.98
2015-02-09,97.9
2015-02-10,97.9
2015-02-11,97.85
2015-02-12,98.05
2015-02-13,98.75
2015-02-17,99.05
2015-02-18,99.75
2015-02-19,101.05
2015-02-20,101.05
2015-02-23,102.15
2015-02-24,101.55
2015-02-25,102.05
2015-02-26,102.05
2015-02-27,101.15
2015-03-02,100.85
2015-03-03,100.25
2015-03-04,100.15
2015-03-05,99.55
2015-03-06,99.85
2015-03-09,98.95
2015-03-10,99.35
2015-03-11,98.85
2015-03-12,98.25
2015-03-13,98.25
2015-03-16,97.05
2015-03-17,97.35
2015-03-18,97.05
2015-03-19,98.75
2015-03-20,99.05
2015-03-23,100.5
2015-03-24,101.05
2015-03-25,101.75
2015-03-26,101.75
2015-03-27,100.98
2015-03-30,100.5
2015-03-31,100.35
2015-04-01,100.85
2015-04-02,99.65
2015-04-06,100.25
2015-04-07,100.45
2015-04-08,100.65
2015-04-09,99.95
2015-04-10,100.65
2015-04-13,101.05
2015-04-14,101.05
2015-04-15,100.92
2015-04-16,101.85
2015-04-17,101.75
2015-04-20,101.25
2015-04-21,103.85
2015-04-22,102.55
2015-04-23,102.45
2015-04-24,104.85
2015-04-27,104.85
2015-04-28,105.25
2015-04-29,106.85
2015-04-30,107.25
2015-05-01,107.85
2015-05-04,107.75
2015-05-05,108.05
2015-05-06,108.05
2015-05-07,107.15
2015-05-08,107.55
2015-05-11,107.9
2015-05-12,107.55
2015-05-13,107.35
2015-05-14,107.55
2015-05-15,109.1
2015-05-18,108.32
2015-05-19,108.35
2015-05-20,108.65
2015-05-21,108.9
2015-05-22,108.65
2015-05-26,108.25
2015-05-27,107.55
2015-05-28,107.75
2015-05-29,107.55
2015-06-01,106.95
2015-06-02,106.75
2015-06-03,106.68
2015-06-04,106.45
2015-06-05,105.98
2015-06-08,105.55
2015-06-09,104.78
2015-06-10,104.25
2015-06-11,104.85
2015-06-12,104.55
2015-06-15,104.5
2015-06-16,104.5
2015-06-17,105.02
2015-06-18,104.85
2015-06-19,104.85
2015-06-22,104.55
2015-06-23,104.95
2015-06-24,105.25
2015-06-25,105.15
2015-06-26,104.65
2015-06-29,104.45
2015-06-30,103.85
2015-07-01,103.25
2015-07-02,103.15
2015-07-06,103.25
2015-07-07,102.85
2015-07-08,102.85
2015-07-09,103.05
2015-07-10,103.15
2015-07-13,104.05
2015-07-14,106.85
2015-07-15,107.25
2015-07-16,106.15
2015-07-17,107.5
2015-07-20,108.5
2015-07-21,106.55
2015-07-22,104.85
2015-07-23,102.5
2015-07-24,101.5
