ticker,pub_date,headline,vader_pos,vader_neu,vader_neg,vader_label,drob_neg,drob_neu,drob_pos,drob_label,deb_pos,deb_neg,deb_neu,deb_label
AMZN,2015-10-22,Daily Report: A Trio of Earnings From Tech Behemoths,0.0,1.0,0.0,Neutral,0.06556603,0.55731165,0.37712237,Neutral,0.0009675655,0.9605667,0.038465742,Neutral
AMZN,2015-10-19,Daily Report: Tech Tussles Take Center Stage in Earnings,0.0,1.0,0.0,Neutral,0.6796675,0.12858987,0.19174272,Negative,0.2375935,0.68762344,0.074783064,Neutral
AMZN,2015-10-14,Ennis Esmer of ‘Red Oaks’ Talks Tennis and Comedy,0.238,0.762,0.0,Positive,0.021314483,0.79999626,0.1786892,Neutral,0.005550247,0.96774685,0.026702832,Neutral
AMZN,2015-10-14,Walmart Takes Aim at ‘Cloud Lock-in’,0.0,1.0,0.0,Neutral,0.3491103,0.37342402,0.27746558,Neutral,0.005292422,0.98721606,0.0074915295,Neutral
AMZN,2015-10-07,Amazon Messes With Billions in Corporate Computing Dollars,0.195,0.805,0.0,Positive,0.020588998,0.49852422,0.48088676,Neutral,0.21401049,0.78244144,0.003548023,Neutral
AMZN,2015-10-09,Amazon Building a Tech Business for the Long Haul,0.195,0.805,0.0,Positive,0.015035907,0.6427933,0.34217083,Neutral,0.0012487052,0.96066386,0.03808741,Neutral
AMZN,2015-10-07,"Review: Amazon’s ‘Red Oaks’ Aims for ’80s Affection, Not Satire",0.274,0.726,0.0,Positive,0.051903956,0.72203887,0.2260572,Neutral,0.0038053957,0.920721,0.075473614,Neutral
AMZN,2015-10-20,Amazon Spars With The Times Over Investigative Article,0.195,0.805,0.0,Positive,0.24043594,0.6307838,0.12878022,Neutral,0.92411625,0.071933925,0.0039498243,Negative
AMZN,2015-10-26,A Penny for Your Books,0.0,1.0,0.0,Neutral,0.021064423,0.8056178,0.17331778,Neutral,0.0018402359,0.9948526,0.0033071267,Neutral
AMZN,2015-10-19,"Walmart Chief Defends Investments in Labor, Stores and the Web",0.0,1.0,0.0,Neutral,0.5367809,0.18290001,0.28031904,Negative,0.0027117983,0.8159533,0.1813349,Neutral
AMZN,2015-11-04,Reviews: Amazon Pilots Include a Revolt and the Supernatural,0.195,0.805,0.0,Positive,0.03691505,0.6366697,0.32641524,Neutral,0.0018489353,0.99578494,0.0023660853,Neutral
AMZN,2015-11-03,Amazon Adds New Perks for Workers and Opens a Bookstore,0.175,0.825,0.0,Positive,0.014602889,0.21712302,0.76827407,Positive,0.00062718894,0.016226394,0.98314637,Positive
AMZN,2015-11-18,Covering Your Browser Tracks,0.0,1.0,0.0,Neutral,0.069533184,0.81550753,0.11495923,Neutral,0.013129802,0.972507,0.014363225,Neutral
AMZN,2015-11-17,Morning Agenda: The Economic Cost of Terrorism,0.0,0.566,0.434,Negative,0.5093644,0.390615,0.10002053,Negative,0.06927678,0.9062633,0.024459869,Neutral
AMZN,2015-11-18,How Amazon’s Long Game Yielded a Retail Juggernaut,0.0,1.0,0.0,Neutral,0.021257088,0.40603524,0.57270765,Positive,0.0018764036,0.8462217,0.1519019,Neutral
