ticker,pub_date,headline,vader_pos,vader_neu,vader_neg,vader_label,drob_neg,drob_neu,drob_pos,drob_label,deb_pos,deb_neg,deb_neu,deb_label
NVDA,2016-07-18,Using Virtual Reality to Create a New Corporate Headquarters,0.231,0.769,0.0,Positive,0.01438466,0.69309276,0.29252252,Neutral,0.0006990528,0.9887899,0.010510983,Neutral
NVDA,2017-02-23,"Self-Driving Cars Might Need Standards, but Whose?",0.0,1.0,0.0,Neutral,0.06395553,0.8230337,0.1130108,Neutral,0.0055746175,0.9890085,0.0054168953,Neutral
NVDA,2017-08-09,Driverless-Car Outlook Shifts as Intel Takes Over Mobileye,0.0,1.0,0.0,Neutral,0.91945547,0.029235562,0.051308937,Negative,0.13470577,0.5729199,0.2923743,Neutral
NVDA,2017-09-01,Why a 24-Year-Old Chipmaker Is One of Tech’s Hot Prospects,0.216,0.784,0.0,Positive,0.02809161,0.5213724,0.450536,Neutral,0.002688852,0.54550064,0.45181054,Neutral
NVDA,2017-09-16,Chips Off the Old Block: Computers Are Taking Design Cues From Human Brains,0.0,0.805,0.195,Negative,0.036026724,0.68610275,0.27787054,Neutral,0.004413001,0.9398793,0.05570769,Neutral
NVDA,2018-03-29,Why Reining in Amazon Could be Difficult: DealBook Briefing,0.152,0.625,0.223,Negative,0.5347469,0.3711345,0.094118625,Negative,0.9715911,0.02534395,0.0030649013,Negative
NVDA,2018-05-08,Why A.I. and Cryptocurrency Are Making One Type of Computer Chip Scarce,0.0,1.0,0.0,Neutral,0.039455425,0.63241756,0.328127,Neutral,0.93862194,0.06033881,0.0010393001,Negative
NVDA,2018-01-14,"Big Bets on A.I. Open a New Frontier for Chip Start-Ups, Too",0.0,1.0,0.0,Neutral,0.018228462,0.23669615,0.74507535,Positive,0.002659604,0.103070736,0.89426965,Positive
NVDA,2018-01-02,How an A.I. ‘Cat-and-Mouse Game’ Generates Believable Fake Photos,0.0,0.721,0.279,Negative,0.16734816,0.65794826,0.1747036,Neutral,0.4017022,0.5874886,0.010809186,Neutral
NVDA,2018-06-05,Tech Stocks Are Hitting Highs as Economic Uncertainty Rises,0.0,0.769,0.231,Negative,0.87899804,0.02714358,0.09385844,Negative,0.5463413,0.16639058,0.2872682,Negative
NVDA,2018-11-19,The Chip Industry Can’t Seem to Escape Its Boom-and-Bust Past,0.159,0.841,0.0,Positive,0.6743365,0.18154861,0.14411484,Negative,0.8686553,0.1124202,0.018924555,Negative
NVDA,2019-02-03,"Behind Tech’s Shine, Some Warnings Signs Appear",0.0,0.732,0.268,Negative,0.16340464,0.4267019,0.40989345,Neutral,0.92512816,0.069874406,0.004997417,Negative
NVDA,2019-03-26,"A.I. Is Flying Drones (Very, Very Slowly)",0.0,1.0,0.0,Neutral,0.041364998,0.8124168,0.14621827,Neutral,0.002840093,0.98570454,0.011455394,Neutral
NVDA,2019-05-23,Chip Makers Are Punished as the Trade War Drags On,0.0,0.449,0.551,Negative,0.8626237,0.08669506,0.050681308,Negative,0.99345523,0.0046458645,0.0018988671,Negative
NVDA,2019-05-21,Huawei’s U.S. Restrictions Expose a High-Tech Achilles’ Heel for China,0.0,0.833,0.167,Negative,0.80042034,0.13778351,0.06179609,Negative,0.9900031,0.0060005677,0.003996321,Negative
NVDA,2019-01-28,China Warnings From Caterpillar and Nvidia Hit U.S. Stocks,0.0,0.784,0.216,Negative,0.94658214,0.022088412,0.031329464,Negative,0.99646413,0.0029493566,0.0005865082,Negative
NVDA,2020-09-14,Nvidia Buys Arm From SoftBank for $40 Billion,0.0,1.0,0.0,Neutral,0.01395349,0.5329921,0.45305437,Neutral,0.0033455635,0.4957329,0.50092155,Positive
NVDA,2020-09-15,Can Airlines Avoid Another Bailout?,0.0,0.455,0.545,Negative,0.7922985,0.14476609,0.06293541,Negative,0.04746516,0.7652263,0.18730856,Neutral
NVDA,2020-09-12,SoftBank Said to Be Near Deal to Sell British Chip Designer Arm,0.0,1.0,0.0,Neutral,0.017416542,0.452594,0.5299895,Positive,0.001425992,0.10508303,0.89349097,Positive
NVDA,2020-11-23,China’s Surveillance State Sucks Up Data. U.S. Tech Is Key to Sorting It.,0.0,0.828,0.172,Negative,0.6652358,0.23363714,0.1011271,Negative,0.007488262,0.9504165,0.042095255,Neutral
NVDA,2021-12-02,F.T.C. Sues to Stop Blockbuster Chip Deal Between Nvidia and Arm,0.258,0.596,0.146,Positive,0.82184935,0.11004646,0.06810422,Negative,0.97491735,0.02196344,0.0031191714,Negative
NVDA,2021-05-14,"Your Car, Toaster, Even Washing Machine, Can’t Work Without Them. And There’s a Global Shortage.",0.0,0.867,0.133,Negative,0.8204839,0.1294946,0.050021436,Negative,0.17757566,0.80475414,0.017670214,Neutral
NVDA,2021-05-11,Semiconductor makers and users form a group to push for chip funding.,0.0,1.0,0.0,Neutral,0.041795947,0.71940196,0.2388021,Neutral,0.0016047937,0.8921692,0.10622609,Neutral
NVDA,2021-07-01,"‘Crucial Time’ for Cloud Gaming, Which Wants to Change How You Play",0.179,0.821,0.0,Positive,0.030841406,0.5088859,0.46027267,Neutral,0.10659132,0.7999246,0.09348403,Neutral
NVDA,2022-02-10,SoftBank’s Woes Are Mounting,0.0,0.508,0.492,Negative,0.6534578,0.18247649,0.16406569,Negative,0.99501246,0.0029324915,0.002054958,Negative
NVDA,2022-02-08,"SoftBank returns to profitability, barely, as the tech sector suffers.",0.159,0.606,0.235,Negative,0.9282265,0.027110897,0.04466266,Negative,0.6198837,0.3597004,0.020415917,Negative
NVDA,2022-02-08,Nvidia Deal to Buy Arm From SoftBank Is Off After Setbacks,0.0,1.0,0.0,Neutral,0.044124417,0.46223995,0.49363568,Positive,0.99131984,0.0072758514,0.0014042852,Negative
NVDA,2022-09-01,U.S. Restricts Sales of Sophisticated Chips to China and Russia,0.259,0.576,0.165,Positive,0.7301513,0.18387386,0.08597486,Negative,0.49675435,0.4972186,0.0060270126,Neutral
NVDA,2022-10-27,"Chip Makers, Once in High Demand, Confront Sudden Challenges",0.124,0.571,0.305,Negative,0.3791272,0.24464099,0.37623182,Negative,0.09575689,0.8944159,0.009827238,Neutral
NVDA,2022-10-03,U.S. Said to Plan New Limits on China’s A.I. and Supercomputing Firms,0.0,1.0,0.0,Neutral,0.80919677,0.11494009,0.07586321,Negative,0.8997292,0.09286919,0.007401588,Negative
NVDA,2023-08-28,Tech Chiefs to Gather in Washington Next Month on A.I. Regulations,0.0,1.0,0.0,Neutral,0.053104427,0.63345885,0.31343672,Neutral,0.0021616295,0.98622304,0.011615428,Neutral
NVDA,2023-08-05,Big Tech Rebounds and Preps for Transformative A.I. Investments,0.0,1.0,0.0,Neutral,0.021032296,0.28909197,0.6898757,Positive,0.0006870928,0.023937698,0.9753752,Positive
