pub_date,abstract,gemini_sentiment
2015-04-07,want to work at amazon apple or mckinsey some business schools have impressive records placing graduates in certain fields and even companies,neutral
2015-04-14,get recommendations from new york times reporters and editors highlighting interesting stories from around the web in this installment great reads from stacy cowley quentin hardy and others,neutral
2015-04-13,the business unit will partner with companies including apple medtronic and johnson johnson offering ibms watson technology as a cloudbased tool at many levels of the health care industry,positive
2015-04-22,with superstars first in line apple appears to be seeking exclusivity by limiting where its watches are sold and who wears them,neutral
2015-04-01,in an industry that avoids controversy the heads of several prominent companies including apple and salesforcecom have chosen to pick a battle,neutral
2015-04-08,spending seven days learning to use and getting used to the apple watch proved to be a mostly rewarding experience,positive
2015-04-07,the itunes software can automatically sync with ipads iphones and ipod touch players but even if the feature is enabled in itunes a few conditions apply,neutral
2015-04-14,laurence d fink chief of blackrock the worlds largest asset manager warns of harm in dividends and stock buybacks,negative
2015-04-08,when apps are streamlined and firstgeneration bugs are fixed the apple watch has the potential to be a lifechanger with video,positive
2015-04-23,tips for time warner cable customers who want to use their iphones to manage dvr recordings,neutral
2015-05-01,apple ibm and japan post are partnering to provide a technology service for older adults the venture reflects the larger ambitions of each company,positive
2015-05-29,mobile apps can be used to summon a car or order food with a simple tap but making a charitable donation is not as easy,neutral
2015-05-04,when apple introduces its new tv box this summer the remote control will gain a touch pad and also be slightly thicker than the current version,neutral
2015-05-08,get recommendations from new york times reporters and editors highlighting interesting stories from around the web in this installment great reads from john branch lynda richardson and others,neutral
2015-05-17,the purchase further bolsters apples mapping technology and services,positive
2015-05-26,apple is boosting the profile of two designers richard howarth and alan dye under longtime design head jony ive who gains the new title of chief design officer,neutral
2015-05-08,get the most out of speechrecognition mobile assistants also how to use speedtest websites to measure broadband speeds,neutral
2015-05-18,the federal court also ruled that the iphones overall look could not be protected and part of the 930 million in damages must be recalculated,negative
2015-05-05,will the apple watch become as indispensable on the road as a passport siri wont say but we will,neutral
2015-05-27,times insider talked to andrew phelps a product manager and eric bishop a mobile editor about the timess apple watch news app,neutral
2015-12-08,the retail executive angela ahrendts says that the phantom a nonapple wireless speaker which starts at 1990 will receive prominent display treatment,neutral
2015-12-10,james b comey told senators that one of the attackers in a recent shooting in garland tex exchanged 109 messages with an overseas terrorist that investigators could not read,negative
2015-12-02,despite a starry cast and stellar reviews the film did poorly and silicon valley may be partly to blame,negative
2015-12-22,faced with proposed crackdowns on encrypted communications after terrorist attacks in paris and california apple argued that lawmakers calling for such access do not understand the technical challenges,negative
2015-12-31,you may have a few other troubleshooting steps available if the rebuild command under the mailbox menu has not resolved the problem,neutral
2015-12-02,the composer daniel pemberton discusses how the soundtrack came together for the danny boyle film steve jobs,neutral
2015-12-13,the new streaming service apple music will show a film of ms swifts concert in australia part of her world tour promoting her latest album,neutral
2015-12-15,the split view feature lets you work in two apps at once without having to fuss with windows sizes or placement,neutral
2015-12-30,after wearing an apple watch for eight months a times white house correspondent is convinced that smartwatches will eventually be considered essential,neutral
2015-12-02,the speedy adoption of new technology is increasingly seen as the key to corporate success according to the annual innovation scorecard from the boston consulting group,positive
2015-12-09,apples smart keyboard was designed for its newer larger ipad pro tablet but there are cheaper alternatives,neutral
2015-12-18,the deal in a huge digital market may give a boost to apple pay which lets users pay for goods by holding a mobile device near a credit card reader,positive
2015-12-30,the american technology company reached a deal after an inquiry into whether it had moved revenue from its italian operations through an irish subsidiary,negative
2015-12-09,apple unveiled its best apps list for 2015 featuring what the company deems the most innovative and top software downloads of the year,positive
2015-12-30,it does not appear that criticism of the lack of inclusion in the tech industrys work force will dissipate anytime soon,negative
2015-12-29,if you have reached the end of the free threemonth trial of the streaming service and find it is not for you heres how to stop the monthly bills,neutral
2015-12-11,the top free application in apples app store there for much of last week wasnt a mobile game or a social network but a tool of protest,neutral
2015-12-19,the latest technology is stuck in the oldest stereotypes,negative
2015-12-04,samsung has agreed to pay apple 548 million to settle a patent dispute but their legal battle continues,negative
2015-12-17,one executive jeff williams was promoted to the job of chief operating officer a position that had gone unfilled since 2011,neutral
2015-01-30,james b stewart on cnbc discusses why apple became twice as big as microsoft one reason apples willingness to destroy its own products in the interest of innovation,positive
2015-01-14,you probably didnt know about these five features hidden in the iphones ios 8 operating system use them and youll be using your phone like a pro,neutral
2015-04-25,like ibm in the 1980s the stock market giant has room to grow but there are early signs of the end of its dominance,negative
2015-04-27,apple increasingly reliant on china for growth reports on monday ford will post earnings on tuesday and fiat chrysler on wednesday on thursday tesla is expected to announce two new battery products,neutral
2015-04-22,even with an upgrade there are several ways to work with microsoft office files also backing up data on an amazon fire tablet,neutral
