ticker,pub_date,headline,gemini_sentiment
IBM,2015-10-19,ibm sales and profit dropped 14 in third quarter,negative
IBM,2015-10-19,daily report tech tussles take center stage in earnings,neutral
IBM,2015-10-07,amazon messes with billions in corporate computing dollars,negative
IBM,2015-10-01,ibm scientists find new way to shrink transistors,neutral
IBM,2015-10-30,us tech giants may blur national security boundaries in china deals,negative
IBM,2015-10-14,daily report putting twitters layoffs in perspective,neutral
IBM,2015-10-29,daily report ibms new weatherman is named watson,neutral
IBM,2015-10-29,morning agenda deutsche bank to cut 35000 jobs under new strategy,negative
IBM,2015-10-28,ibm to acquire the weather company,neutral
IBM,2015-10-27,ibm discloses sec investigation,negative
IBM,2015-11-04,digital transformation going mainstream in 2016 idc predicts,neutral
IBM,2015-11-14,ibms designcentered strategy to set free the squares,neutral
IBM,2015-11-03,ibm looks to its next century,neutral
IBM,2015-11-16,daily report ibm embraces its inner designer,neutral
IBM,2015-11-12,gene amdahl pioneer of mainframe computing dies at 92,neutral
IBM,2015-11-21,computing by design,neutral
IBM,2015-11-13,ibms century of innovation,neutral
IBM,2015-10-20,daily report ibm and yahoo in the hot seats,neutral
IBM,2015-10-30,us tech companies and their chinese partners with military ties,negative
IBM,2015-10-19,ibm lowers its earnings forecast,negative
IBM,2015-07-09,ibm discloses working version of a much highercapacity chip,neutral
IBM,2015-07-26,facebook and other tech giants expand internet access in africa,neutral
IBM,2015-07-21,daily report ibm revenue falls highlighting challenges as it shifts course,negative
IBM,2015-07-20,ibm revenue falls 13 despite big gains in new fields,negative
IBM,2015-06-16,google is its own secret weapon in the cloud,neutral
IBM,2015-06-24,ibm and box team up to target global datastorage market,neutral
IBM,2015-06-23,tech companies line up behind containers and the cloud,neutral
IBM,2015-06-15,companies move on from big data technology hadoop,neutral
IBM,2015-06-15,ibm invests to help opensource big data software and itself,neutral
IBM,2015-01-13,ibm introduces z13 a mainframe for the smartphone economy,neutral
IBM,2015-01-20,ibm revenue slides as revamping takes hold,negative
IBM,2015-01-22,judge vacates guilty pleas of men charged with insider trading in ibm stock,neutral
IBM,2015-01-19,economic data from china and stimulus from the ecb,neutral
IBM,2015-04-06,call for activism at ibm is likely to go unheard,neutral
IBM,2015-04-21,daily report ibm profit slips as company enters transition year,negative
IBM,2015-04-25,apple wont always rule just look at ibm,negative
IBM,2015-04-01,klaus tschira business software trailblazer dies at 74,neutral
IBM,2015-04-19,ibm venture with china stirs concerns,negative
IBM,2015-04-13,ibm creates watson health to analyze medical data,neutral
IBM,2015-04-06,if algorithms know all how much should humans help,neutral
IBM,2015-04-30,morning agenda salesforce said to be preparing for takeover offers,neutral
IBM,2015-04-20,ibm firstquarter earnings top wall st expectations,positive
IBM,2015-05-06,ibm and facebook in marketing partnership,neutral
IBM,2015-05-01,apple ibm and japan post see profit in the oldage market,positive
IBM,2015-05-16,natalia maria ruderman of ibm a sweet spot for global traditions,neutral
IBM,2015-03-02,tech deals that are poor fixes for limp sales,negative
IBM,2015-03-31,ibm scores weather data deal and starts internet of things unit,neutral
IBM,2015-03-17,ibm introduces twitterfueled data services for business,neutral
IBM,2015-02-17,ibm ge and others create big data alliance,neutral
IBM,2015-02-23,ibm tries to paint the computing cloud blue,neutral
IBM,2015-02-26,ibms leaders 2015 is a transition year by design,neutral
IBM,2015-02-10,ibms watson turns japanese and moves into robots,neutral
IBM,2015-09-08,corporate efforts to address social problems have limits,neutral
IBM,2015-09-07,humanizing technology a history of humancomputer interaction,neutral
IBM,2015-09-24,ibms ai system watson to get second home on west coast,neutral
IBM,2015-08-06,ibm adds medical images to watson buying merge healthcare for 1 billion,neutral
IBM,2015-08-07,morning agenda ackmans bet on mondelez sales,neutral
IBM,2016-10-04,ibm is buying consulting firm for its washington connections,neutral
IBM,2016-10-17,ibm is counting on its bet on watson and paying big money for it,neutral
IBM,2016-11-30,erich bloch who helped develop ibm mainframe dies at 91,neutral
IBM,2016-07-18,morning agenda softbank to buy leading chip designer,neutral
IBM,2016-01-20,daily report ibm caught between the old and the new,neutral
IBM,2016-01-05,morning agenda a growing conflict in wall st buyouts,neutral
IBM,2016-01-04,in cohen and ibm insider trading cases challenges for the sec,neutral
IBM,2016-01-19,ibm reports declines in fourthquarter profit and revenue despite gains in new fields,negative
IBM,2016-01-05,richard sapper designer of sleek housewares dies at 83,neutral
IBM,2016-04-22,the nogood week in techs hopeful trip to a bright future,neutral
IBM,2016-04-23,farhad and mikes week in tech to be or not to be an uber employee,neutral
IBM,2016-04-18,ibm results show progress in cloud and data analysis,neutral
IBM,2016-05-19,warren buffett stake suggests apple is all grown up,positive
IBM,2016-05-04,ibm wants everyone to try a quantum computer,neutral
IBM,2016-12-13,when trump meets tech leaders jobs will be on the agenda,neutral
IBM,2016-03-28,morning agenda ethereum challenges bitcoin,neutral
IBM,2016-03-25,the race is on to control artificial intelligence and techs future,neutral
IBM,2016-03-01,morning agenda barclays to sell unit in africa,neutral
IBM,2016-02-17,morning agenda feds neel kashkari says banks still too big to fail,negative
IBM,2016-02-01,google artificial intelligence beats expert at go game,neutral
IBM,2016-02-14,creating a computer voice that people like,neutral
IBM,2016-02-18,ibm buys truven for 26 billion adding to trove of patient data,neutral
IBM,2016-02-28,the promise of artificial intelligence unfolds in small steps,neutral
IBM,2016-02-19,morning agenda kenneth griffin joins top rank of art patrons,neutral
IBM,2016-09-29,ibm to acquire promontory a financial consulting firm,neutral
IBM,2016-09-01,how tech giants are devising real ethics for artificial intelligence,neutral
IBM,2016-09-18,artificial intelligence software is booming but why now,neutral
IBM,2016-09-28,protecting humans and jobs from robots is 5 tech giants goal,neutral
IBM,2016-09-28,next target for ibms watson thirdgrade math,neutral
IBM,2016-08-23,are trump and clinton healthy,neutral
IBM,2017-10-07,as cancer tears through africa drug makers draw up a battle plan,neutral
IBM,2017-11-28,millennials see paternity leave as a priority,neutral
IBM,2017-07-19,an experiment in zurich brings us nearer to a black holes mysteries,neutral
IBM,2017-07-09,wimbledon in style for marketers bringing a reverent hush to their ads,neutral
IBM,2017-07-30,hot spot for tech outsourcing the united states,neutral
IBM,2017-06-28,a new kind of tech job emphasizes skills not a college degree,neutral
IBM,2017-01-09,wall street clearinghouse to adopt bitcoin technology,neutral
IBM,2017-01-09,data could be the next tech hot button for regulators,neutral
IBM,2017-04-10,americas toxic workplace rules,neutral
IBM,2017-04-17,tech roundup a busy week to come,neutral
IBM,2017-05-22,donald trump our ai president,neutral
IBM,2017-03-04,blockchain a better way to track pork chops bonds bad peanut butter,neutral
IBM,2017-02-12,activism hits even the less flashy tech companies,negative
IBM,2017-02-27,business giants to announce creation of a computing system based on ethereum,neutral
IBM,2017-02-24,an ethnographer of cancer care for ibm watson,neutral
IBM,2017-02-01,ibm gives watson a new challenge your tax return,neutral
IBM,2017-09-28,ibm now has more employees in india than in the us,neutral
IBM,2017-09-05,enjoy those us open highlights a computer picked them for you,neutral
IBM,2017-08-08,texas transgender bathroom bill falters amid mounting opposition,neutral
IBM,2018-10-28,ibm to buy red hat the top linux distributor for 34 billion,neutral
IBM,2018-10-15,ibm takes cybersecurity training on the road,neutral
IBM,2018-10-29,are you investing in what matters to you take the quiz,neutral
IBM,2018-11-27,when blue chip companies pile on debt its time to worry,negative
IBM,2018-06-28,industries looking for efficiency turn to blockchains,neutral
IBM,2018-06-19,ibm unveils system that debates with humans,neutral
IBM,2018-01-17,ibm may finally stop shrinking but is it a turnaround,neutral
IBM,2018-01-18,ibm ends 22quarter streak of falling revenue,neutral
IBM,2018-01-15,more bank earnings chinas growth and sundance without weinstein,neutral
IBM,2018-01-17,while you were sleeping,neutral
IBM,2018-04-01,as facebook struggles rivals leaders stay mostly mum,neutral
IBM,2018-02-22,catherine wolf 70 dies studied how people and computers interact,neutral
IBM,2018-09-24,from farm to blockchain walmart tracks its lettuce,neutral
IBM,2018-09-09,role models tell girls that stems for them in new campaign,neutral
IBM,2018-08-23,top ceos denounce trump immigration policy as threat to us economy,negative
IBM,2019-10-23,google claims a quantum breakthrough that could change computing,neutral
IBM,2019-10-22,esper removes himself from reviewing cloudcomputing contract,neutral
IBM,2019-10-21,quantum computing is coming bit by qubit,neutral
IBM,2019-10-23,quantum computing explained in mere minutes,neutral
IBM,2019-10-25,the week in tech googles quantum leap,neutral
IBM,2019-10-23,gates clinton hastings kardashian chesky muilenburg dealbook conference 2019,neutral
IBM,2019-10-21,when open meets secure,neutral
IBM,2019-10-21,a global bank hosted in the public cloud can that be safe,neutral
IBM,2019-11-11,looking beyond profits,neutral
IBM,2019-11-07,most hackers arent criminals,neutral
IBM,2019-11-18,what can gas stations teach us about digital transformation,neutral
IBM,2019-11-22,do you wish air travel was more personalized,neutral
IBM,2019-11-27,how weathercom withstands digital storms,neutral
IBM,2019-07-31,and now a bicycle built for none,neutral
IBM,2019-07-09,ibm bets 34 billion that red hat can help it catch amazon and microsoft,neutral
IBM,2019-07-01,scientists took an mri scan of an atom,neutral
IBM,2019-06-29,for digital evolution the right partner is key,neutral
IBM,2019-06-13,the force for change in ai more women,neutral
IBM,2019-06-17,the key to business modernization,neutral
IBM,2019-06-28,why digital transformation starts with workflows that unite people and technology,neutral
IBM,2019-01-04,los angeles accuses weather channel app of covertly mining user data,negative
IBM,2019-05-24,the french open spruces up and shows players the money,neutral
IBM,2019-05-08,for a split second a quantum computer made history go backward,neutral
IBM,2019-12-30,how big companies won new tax breaks from the trump administration,neutral
IBM,2019-12-11,george laurer who developed the bar code is dead at 94,neutral
IBM,2019-03-22,the week in tech our future robots will need supersmart safety checks,neutral
IBM,2019-02-16,the joy of standards,neutral
IBM,2019-02-15,the week in tech a break from consumer tech,neutral
IBM,2019-09-18,driving ai acceptance learning from mia and marge,neutral
IBM,2019-09-18,ai your next career move,neutral
IBM,2019-09-18,unhidden figures are women ais natural born leaders,neutral
IBM,2020-10-08,ibm seeing its future in the cloud breaks off it unit,neutral
IBM,2020-11-21,52 years later ibm apologizes for firing transgender woman,neutral
IBM,2020-06-09,respond reopen reset,neutral
IBM,2020-06-19,heres what companies are promising to do to fight racism,neutral
IBM,2020-06-10,amazon pauses police use of its facial recognition software,neutral
IBM,2020-01-30,ginni rometty to step down as ceo of ibm,neutral
IBM,2020-04-29,europes strong labor laws arent a guarantee for lowerwage workers,neutral
IBM,2020-12-03,cyberattacks discovered on vaccine distribution operations,negative
IBM,2020-03-23,there is a racial divide in speechrecognition systems researchers say,neutral
IBM,2020-08-08,frances allen who helped hardware understand software dies at 88,neutral
IBM,2021-07-16,what ever happened to ibms watson,neutral
IBM,2021-07-20,a renewal for ibm campuses once home to punch cards and circuit boards,neutral
IBM,2021-06-01,will the excelsior pass new yorks vaccine passport catch on,neutral
IBM,2021-01-12,an epiphany moment for corporate political donors may have arrived,neutral
IBM,2021-01-12,getting corporate cash out of politics,neutral
IBM,2021-01-15,thats a lot of money,neutral
IBM,2021-04-16,goldman sachss top image maker is leaving,neutral
IBM,2021-12-31,we threw out any plans we had ceos are forced to embrace uncertainty,neutral
IBM,2021-02-01,alzheimers prediction may be found in writing tests,neutral
IBM,2021-02-16,whats delaying boardroom diversity,neutral
IBM,2022-10-06,biden visits ibm to promote investments in us semiconductor production,positive
IBM,2022-10-06,biden promotes ibms 20 billion manufacturing deal in new york,positive
