ticker,pub_date,headline,vader_pos,vader_neg,vader_neu,vader_label,drob_pos,drob_neg,drob_neu,drob_label,deb_pos,deb_neg,deb_neu,deb_label
AAPL,2015-04-07,M.B.A. Programs That Get You Where You Want to Go,0.126,0.0,0.874,Positive,6.278955e-05,0.99986386,7.336908e-05,Negative,0.9636026,0.003316417,0.03308097,Positive
AAPL,2015-04-14,What We’re Reading,0.0,0.0,1.0,Neutral,7.147734e-05,0.99986756,6.0896786e-05,Positive,0.005000084,0.015302395,0.9796975,Neutral
AAPL,2015-04-13,IBM Creates Watson Health to Analyze Medical Data,0.231,0.0,0.769,Positive,6.411654e-05,0.9998815,5.4354983e-05,Positive,0.22721234,0.018739715,0.754048,Neutral
AAPL,2015-04-22,What’s That on Beyoncé’s Wrist? Let Me Guess ... an Apple Watch,0.0,0.0,1.0,Neutral,7.192179e-05,0.999858,7.0060894e-05,Positive,0.28703305,0.34811524,0.3648517,Neutral
AAPL,2015-04-01,Daily Report: Tech Leaders Come Together to Oppose Indiana Law,0.0,0.0,1.0,Neutral,0.00026661137,0.99946684,0.00026659967,Positive,0.16241178,0.45102337,0.3865648,Negative
AAPL,2015-04-08,Dear Diary: My Week Wearing an Apple Watch,0.271,0.0,0.729,Positive,7.9651414e-05,0.9998685,5.1812265e-05,Positive,0.33062702,0.00627921,0.6630938,Neutral
AAPL,2015-04-07,Diagnosing a Syncing Problem With iTunes,0.0,0.403,0.597,Negative,0.0057122996,0.99410546,0.00018225744,Positive,0.018122852,0.9494396,0.032437604,Negative
AAPL,2015-04-14,"BlackRock’s Chief, Laurence Fink, Urges Other C.E.O.s to Stop Being So Nice to Investors",0.179,0.127,0.694,Positive,0.29017845,0.68386936,0.025952173,Positive,0.3733307,0.48378983,0.14287955,Negative
AAPL,2015-04-08,"Apple Watch Review: Bliss, but Only After a Steep Learning Curve",0.207,0.0,0.793,Positive,0.00019979072,0.9976234,0.0021767893,Negative,0.94992304,0.01920163,0.030875301,Positive
AAPL,2015-04-23,Remotely Controlling the DVR,0.0,0.0,1.0,Neutral,6.6497654e-05,0.99987555,5.7980433e-05,Positive,0.29968673,0.011580266,0.688733,Neutral
AAPL,2015-05-01,"Apple, IBM and Japan Post See Profit in the Old-Age Market",0.225,0.0,0.775,Positive,0.00031760024,0.00030516062,0.9993773,Neutral,0.39014077,0.01035287,0.5995063,Neutral
AAPL,2015-05-29,One-Tap Giving? Extra Steps Mire Mobile Donations,0.286,0.0,0.714,Positive,6.471399e-05,0.9998641,7.114765e-05,Negative,0.9657427,0.00494232,0.029314984,Positive
AAPL,2015-05-04,Apple TV Remote Expected to Add Touch Pad in Redesign,0.0,0.0,1.0,Neutral,7.250658e-05,0.999556,0.00037152853,Negative,0.028138574,0.20285222,0.7690092,Neutral
AAPL,2015-05-08,What We’re Reading,0.0,0.0,1.0,Neutral,7.147734e-05,0.99986756,6.0896786e-05,Positive,0.005000084,0.015302395,0.9796975,Neutral
AAPL,2015-05-17,"Apple Acquires Coherent Navigation, a GPS Start-Up",0.0,0.0,1.0,Neutral,5.0376457e-05,0.9998093,0.0001403508,Negative,0.19508316,0.0063473694,0.79856956,Neutral
AAPL,2015-05-26,Two Apple Designers Step Up as Jony Ive Becomes Chief Design Officer,0.0,0.0,1.0,Neutral,7.4943084e-05,0.999828,9.705554e-05,Negative,0.64623344,0.06317181,0.29059467,Positive
AAPL,2015-05-08,"How to Use Siri, Google Now and Cortana Voice Commands",0.0,0.0,1.0,Neutral,5.90381e-05,0.9998865,5.445306e-05,Positive,0.06051771,0.0047768024,0.9347055,Neutral
AAPL,2015-05-18,Appeals Court Upholds Apple’s Patent Victory Over Samsung,0.0,0.0,1.0,Neutral,0.00043652774,0.0013762146,0.99818724,Neutral,0.58309424,0.01334619,0.40355957,Positive
AAPL,2015-05-05,Apple Watch: A Test Run for Travelers,0.0,0.0,1.0,Neutral,7.461926e-05,0.99984074,8.46391e-05,Negative,0.12040949,0.008894188,0.8706963,Neutral
