pub_date,abstract,lead_para,headline,doc_type,section_name,type_of_material,rank,web_url
2015-10-22,"Three technology titans — Amazon, Google and Microsoft — will be reporting their quarterly financial results on Thursday.",It’s three times the fun with tech titan earnings on Thursday.,Daily Report: A Trio of Earnings From Tech Behemoths,article,Technology,News,8,https://bits.blogs.nytimes.com/2015/10/22/daily-report-a-trio-of-earnings-from-tech-behemoths/
2015-10-19,"Tech earnings season is going into full swing, with companies including Yahoo, IBM, Google and Microsoft set to report quarterly results this week. Their financial data may offer insight into which companies are gaining the upper hand in some tech battles.",The technology industry’s financial data is set to go on full display this week.,Daily Report: Tech Tussles Take Center Stage in Earnings,article,Technology,News,3,https://bits.blogs.nytimes.com/2015/10/19/daily-report-tech-tussles-take-center-stage-in-earnings/
2015-10-14,The new show from Amazon finds Mr. Esmer as a tennis pro at a country club in the summer of 1985.,"Ennis Esmer might not be the next Rafael Nadal, but he gives it a good shot. In the new Amazon series “Red Oaks,” set at a country club in the summer of 1985, Mr. Esmer plays Nash, a flirtatious tennis pro and questionable role model to his protégé, David (Craig Roberts), an assistant tennis coach struggling to figure out his postgrad life.",Ennis Esmer of ‘Red Oaks’ Talks Tennis and Comedy,article,Arts,News,8,https://www.nytimes.com/2015/10/18/arts/television/ennis-esmer-of-red-oaks-talks-tennis-and-comedy.html
2015-10-14,"Walmart is giving away some cutting-edge software to make it easier to switch cloud suppliers. Walmart’s retail nemesis, Amazon, is also the No. 1 cloud company.","Walmart, the retail giant, has become an Internet powerhouse, employing more than 2,200 engineers today in Silicon Valley alone. They are working mainly on the cloud-based commerce technology behind the big Walmart and Sam’s Club shopping sites.",Walmart Takes Aim at ‘Cloud Lock-in’,article,Technology,News,2,https://bits.blogs.nytimes.com/2015/10/14/walmart-takes-aim-at-cloud-lock-in/
2015-10-07,Amazon Web Services is starting to offer capabilities that compete head-to-head with longtime business computing giants like Oracle and IBM.,"LAS VEGAS — There is a famous story from the early days of Google that goes something like this: When a group of New York media big shots heard about the huge efficiency of search advertising, which could hurt their own businesses, the memorable reaction of one of them was a more vulgar take on “You’re fussing with the magic!”",Amazon Messes With Billions in Corporate Computing Dollars,article,Technology,News,3,https://bits.blogs.nytimes.com/2015/10/07/amazon-messes-with-billions-in-corporate-computing-dollars/
2015-10-09,Amazon Web Services is building a global method of creating software quickly that could become a standard for how business computing systems are put together.,LAS VEGAS — Amazon Web Services doesn’t just want to dominate the global business in selling computing online. It also wants to be the rarest thing of all in the technology industry: a long-lived company.,Amazon Building a Tech Business for the Long Haul,article,Technology,News,3,https://bits.blogs.nytimes.com/2015/10/09/amazon-building-a-tech-business-for-the-long-haul/
2015-10-07,"This new comedy manages to be of the ’80s rather than about them, a startlingly authentic evocation rather than a satire or a dissection.","“Red Oaks,” a new Amazon comedy, pulls off a neat trick: Set in 1985, it manages to be of the ’80s rather than about them, an affectionate and startlingly authentic evocation rather than a satire or a dissection. Whether it’s a trick that needed to be pulled off at all is debatable, but the result, while uneven across its 10 episodes (all of which debut on Friday on the streaming service), is undeniably charming.","Review: Amazon’s ‘Red Oaks’ Aims for ’80s Affection, Not Satire",article,Arts,Review,3,https://www.nytimes.com/2015/10/08/arts/television/review-amazons-red-oaks-aims-for-80s-affection-not-satire.html
2015-10-20,"An article published in The New York Times two months ago, detailing Amazon’s work culture, drew a lengthy response on Monday from the company’s senior vice president for global corporate affairs.","In an unusually public tussle over a prominent article, a senior executive from Amazon and the top editor of The New York Times clashed on Monday over the details in a Times article about the Internet retailer’s work culture.",Amazon Spars With The Times Over Investigative Article,article,Business Day,News,1,https://www.nytimes.com/2015/10/20/business/amazon-spars-with-the-times-over-investigative-article.html
2015-10-26,"In recent years, low-cost booksellers have proliferated on the web. But how does a company that’ll sell you a book for a penny make a profit?","Ever since a university gave me a literature degree certifying that I have read Chaucer in the original Middle English, my taste in books has reverted to very specific, lowbrow stuff. I like murder mysteries, heist books and spy books, preferably from the 1950s through the 1980s. These titles can be hard to find; many of them are out of print, unavailable on Kindle, and their presence in the New York Public Library is hit or miss.",A Penny for Your Books,article,Magazine,News,4,https://www.nytimes.com/2015/10/25/magazine/a-penny-for-your-books.html
2015-10-19,"The retail giant forecast lackluster sales growth for this year and a steep profit dip for next, in part because costs are climbing sharply as sales are flat.",He is the consummate Walmart company man.,"Walmart Chief Defends Investments in Labor, Stores and the Web",article,Business Day,News,11,https://www.nytimes.com/2015/10/19/business/walmart-chief-defends-investments-in-labor-stores-and-the-web.html
2015-11-04,"“Patriot,” “Good Girls Revolt,” “Edge,” “One Mississippi,” “Z” and “Highston” are the streaming service’s latest original TV programs.","Since 2013, Amazon has released a batch of original TV pilots several times a year for the public to review and vote on. Our TV critics take a look at the latest crop, which will be available beginning on Thursday.",Reviews: Amazon Pilots Include a Revolt and the Supernatural,article,Arts,Review,4,https://www.nytimes.com/2015/11/05/arts/television/reviews-amazon-pilots-include-a-revolt-and-the-supernatural.html
