pub_date,abstract,lead_para,headline,doc_type,section_name,type_of_material,rank,web_url
2015-10-19T21:01:36+0000,"Analysts say IBM is struggling to offset the erosion of some of its traditional hardware, software and services businesses.","IBM on Monday reported sharply lower profits and sales in the third quarter, raising questions about the progress of its corporate transition to new businesses.",IBM Sales and Profit Dropped 14% in Third Quarter,article,Technology,News,2,https://www.nytimes.com/2015/10/20/technology/ibm-q3-earnings.html
2015-10-19T13:35:02+0000,"Tech earnings season is going into full swing, with companies including Yahoo, IBM, Google and Microsoft set to report quarterly results this week. Their financial data may offer insight into which companies are gaining the upper hand in some tech battles.",The technology industry’s financial data is set to go on full display this week.,Daily Report: Tech Tussles Take Center Stage in Earnings,article,Technology,News,7,https://bits.blogs.nytimes.com/2015/10/19/daily-report-tech-tussles-take-center-stage-in-earnings/
2015-10-07T19:25:36+0000,Amazon Web Services is starting to offer capabilities that compete head-to-head with longtime business computing giants like Oracle and IBM.,"LAS VEGAS — There is a famous story from the early days of Google that goes something like this: When a group of New York media big shots heard about the huge efficiency of search advertising, which could hurt their own businesses, the memorable reaction of one of them was a more vulgar take on “You’re fussing with the magic!”",Amazon Messes With Billions in Corporate Computing Dollars,article,Technology,News,4,https://bits.blogs.nytimes.com/2015/10/07/amazon-messes-with-billions-in-corporate-computing-dollars/
2015-10-01T18:01:04+0000,"The finding may be the key to once again increasing the speed of computer processors, which has been stalled for the last decade.","In the semiconductor business, it is called the “red brick wall” — the limit of the industry’s ability to shrink transistors beyond a certain size.",IBM Scientists Find New Way to Shrink Transistors,article,Science,News,3,https://www.nytimes.com/2015/10/02/science/ibm-scientists-find-new-way-to-shrink-transistors.html
2015-10-30T22:46:40+0000,"A growing number of companies like IBM, Cisco Systems and Microsoft have partnerships with Chinese companies with ties to the military, and experts are questioning those links.",HONG KONG — One Chinese technology company receives crucial technical guidance from a former People’s Liberation Army rear admiral. Another company developed the electronics on China’s first atomic bomb. A third sells technology to China’s air-to-air missile research academy.,U.S. Tech Giants May Blur National Security Boundaries in China Deals,article,Technology,News,10,https://www.nytimes.com/2015/10/31/technology/us-tech-giants-may-blur-national-security-boundaries-in-china-deals.html
2015-10-14T12:50:39+0000,"Analysts say Twitter’s cuts show something may be wrong inside the company. But when tech giants cut thousands of jobs, the hand-wringing is far more subdued.","In the scheme of things, 336 is not a terribly large number when it comes to corporate layoffs. That is, unless people have thought you were the Next Big Thing — or at least one of the next big things that probably won’t be quite as big as Facebook.",Daily Report: Putting Twitter’s Layoffs in Perspective,article,Technology,News,4,https://bits.blogs.nytimes.com/2015/10/14/daily-report-putting-twitters-layoffs-in-perspective/
2015-10-29T13:41:33+0000,"Big Blue, which has just bought most of the assets of the Weather Company, continues to build out the capabilities of its showpiece “cognitive” computing service as it looks for new ways to make money.","In drought-stricken San Francisco, when the forecast calls for rain, it is a reason for celebration. And when that forecast doesn’t pan it out, as happened on Wednesday, it is a reason to deride whoever made that forecast.",Daily Report: IBM’s New Weatherman Is Named Watson,article,Technology,News,4,https://bits.blogs.nytimes.com/2015/10/29/daily-report-ibms-new-weatherman-is-named-watson/
2015-10-29T10:11:42+0000,Pfizer and Allergan Consider Merger | Goldman to Pay $50 Million Over Fed Leak | Former Goldman Executive to Join TPG,"DEUTSCHE BANK TO CUT 35,000 JOBS UNDER NEW STRATEGY | Deutsche Bank said it would cut as many as 35,000 jobs over the next two years as part of a strategy to overhaul the German lender, Chad Bray reports in DealBook.","Morning Agenda: Deutsche Bank to Cut 35,000 Jobs Under New Strategy",article,Blogs,News,14,https://news.blogs.nytimes.com/2015/10/29/morning-agenda-deutsche-bank-to-cut-35000-jobs-under-new-strategy/
2015-10-28T15:49:04+0000,"The company said it had entered into an agreement to acquire most of the assets of the Weather Company, and its data could be combined with IBM’s Watson.","IBM hopes it has a new use for Watson, its artificial intelligence business.",IBM to Acquire the Weather Company,article,Technology,News,2,https://www.nytimes.com/2015/10/29/technology/ibm-to-acquire-the-weather-company.html
2015-10-27T20:12:50+0000,The computing giant disclosed in a regulatory filing that accounting practices in three countries are under scrutiny.,"The IBM Corporation said in a filing Tuesday that the United States. Securities and Exchange Commission was investigating how it accounted for certain transactions in the United States, Britain and Ireland. ",IBM Discloses S.E.C. Investigation,article,Technology,News,2,https://bits.blogs.nytimes.com/2015/10/27/ibm-discloses-s-e-c-investigation/
2015-11-04T16:00:05+0000,The technology research firm IDC predicts the pace of digital transformation of business is going to accelerate and increasingly hit every industry.,It is the time of year when the big technology research shops gaze into the near future to identify trends that will have the most impact on corporate America and the tech industry over the next few years.,"Digital Transformation Going Mainstream in 2016, IDC Predicts",article,Technology,News,7,https://bits.blogs.nytimes.com/2015/11/04/in-2016-digital-transformation-goes-mainstream-idc-predicts/
2015-11-14T10:58:38+0000,"The tech stalwart has been hiring designers by the hundreds, all part of an accelerated approach to product development that is a major departure from the past.","Phil Gilbert is a tall man with a shaved head and wire-rimmed glasses. He typically wears cowboy boots and bluejeans to work — hardly unusual these days, except he’s an executive at IBM, a company that still has a button-down suit-and-tie reputation. And in case you don’t get the message from his wardrobe, there’s a huge black-and-white photograph hanging in his office of a young Bob Dylan, hunched over sheet music, making changes to songs in the “Highway 61 Revisited” album. It’s an image, Mr. Gilbert will tell you, that conveys both a rebel spirit and hard work.",IBM’s Design-Centered Strategy to Set Free the Squares,article,Technology,News,1,https://www.nytimes.com/2015/11/15/business/ibms-design-centered-strategy-to-set-free-the-squares.html
2015-11-03T19:58:50+0000,A venerable technology company is adopting a strategy that moves it into disruptive systems.,Few companies – especially tech companies – can trace their history back more than a century.,IBM Looks to Its Next Century,article,Business Day,News,1,https://www.nytimes.com/2015/11/04/business/dealbook/ibm-looks-to-its-next-century.html
