pub_date,abstract,lead_para,headline,doc_type,section_name,type_of_material,rank,web_url
2016-07-18T00:33:35+0000,"Nvidia, a chip maker in Silicon Valley, is using an interactive visualization software that makes it easier than ever for architects to work with their ideas in three dimensions.","SANTA CLARA, Calif. — In the heart of Silicon Valley, you can slip on a virtual reality headset and fly through a photo-realistic three-dimensional building that will soon be the new corporate home for the chip maker Nvidia.",Using Virtual Reality to Create a New Corporate Headquarters,article,Technology,News,7,https://www.nytimes.com/2016/07/18/technology/using-virtual-reality-to-create-a-new-corporate-headquarters.html
2017-02-23T16:49:51+0000,"Some say autonomous vehicles should have common technology before they hit the road, but there is also a strong case for independent approaches.","The PC revolution, the internet boom, the smartphone economy — all were propelled along by a common set of technological standards. So will a standard platform or operating system be necessary to get autonomous cars rolling, too?","Self-Driving Cars Might Need Standards, but Whose?",article,Automobiles,News,3,https://www.nytimes.com/2017/02/23/automobiles/wheels/self-driving-cars-standards.html
2017-08-09T00:35:53+0000,The chip giant gains new prominence in the race to make autonomous vehicles part of everyday life.,"About three years ago, the chip giant Intel seemed like a bystander in Silicon Valley’s race to develop self-driving cars.",Driverless-Car Outlook Shifts as Intel Takes Over Mobileye,article,Technology,News,9,https://www.nytimes.com/2017/08/08/technology/intel-mobileye-driverless-cars.html
2017-09-01T15:43:44+0000,"Nvidia, a maker of graphics processing units, is riding an artificial intelligence boom to put its chips in drones, robots and self-driving cars.","SANTA CLARA, Calif. — Engineers at CTA.ai, an imaging-technology start-up in Poland, are trying to popularize a more comfortable alternative to the colonoscopy. To do so, they are using computer chips that are best known to video game fans.",Why a 24-Year-Old Chipmaker Is One of Tech’s Hot Prospects,article,Technology,News,2,https://www.nytimes.com/2017/09/01/technology/nvidia-chipmaker.html
2017-09-16T09:00:20+0000,"New technologies are testing the limits of computer semiconductors. To deal with that, researchers have gone looking for ideas from nature.","SAN FRANCISCO — We expect a lot from our computers these days. They should talk to us, recognize everything from faces to flowers, and maybe soon do the driving. All this artificial intelligence requires an enormous amount of computing power, stretching the limits of even the most modern machines.",Chips Off the Old Block: Computers Are Taking Design Cues From Human Brains,article,Technology,News,5,https://www.nytimes.com/2017/09/16/technology/chips-off-the-old-block-computers-are-taking-design-cues-from-human-brains.html
2018-03-29T10:40:59+0000,"If the Trump administration pursues ways to curtail the company, it would meet sizable obstacles.",Good Thursday. Here’s what we’re watching:,Why Reining in Amazon Could be Difficult: DealBook Briefing,article,Business Day,News,3,https://www.nytimes.com/2018/03/29/business/dealbook/tech-stocks-facebook-nvidia-tesla.html
2018-05-08T16:38:31+0000,A microprocessor once found mostly in machines used for computer games turns out to have a role in both artificial intelligence systems and the mining of digital currencies.,SAN FRANCISCO — Two technology booms — some people might call them frenzies — are combining to turn a once-obscure type of microprocessor into a must-have but scarce commodity.,Why A.I. and Cryptocurrency Are Making One Type of Computer Chip Scarce,article,Technology,News,10,https://www.nytimes.com/2018/05/08/technology/gpu-chip-shortage.html
2018-01-14T17:12:03+0000,Forty-five young companies are building processors just for artificial intelligence. At least five have raised more than $100 million from investors.,"SAN FRANCISCO — For years, tech industry financiers showed little interest in start-up companies that made computer chips.","Big Bets on A.I. Open a New Frontier for Chip Start-Ups, Too",article,Technology,News,7,https://www.nytimes.com/2018/01/14/technology/artificial-intelligence-chip-start-ups.html
2018-01-02T23:44:12+0000,Researchers in Finland have developed artificial intelligence that can generate images of celebrity look-alikes — and another system that tests how believable they are.,Researchers in Finland have developed artificial intelligence that can generate images of celebrity look-alikes — and another system that tests how believable they are.,How an A.I. ‘Cat-and-Mouse Game’ Generates Believable Fake Photos,multimedia,Technology,Interactive Feature,4,https://www.nytimes.com/interactive/2018/01/02/technology/ai-generated-photos.html
2018-06-05T22:08:56+0000,Investors have returned to the safety and growth of the biggest technology stocks.,Investors have returned to the safety and growth of the biggest technology stocks.,Tech Stocks Are Hitting Highs as Economic Uncertainty Rises,article,Business Day,News,12,https://www.nytimes.com/2018/06/05/business/dealbook/tech-stocks-economic-uncertainty.html
