pub_date,abstract,lead_para,headline,doc_type,section_name,type_of_material,rank,web_url
2015-08-06T17:19:49+0000,"The two companies, partners of the enterprise software maker, will take ownership stakes in the biggest leveraged buyout of the year.","SAN FRANCISCO — As Informatica closes its $5.3 billion sale to private equity on Thursday, the enterprise software maker will count two of its big technology partners as new investors as well.",Salesforce Ventures and Microsoft Join Informatica Buyout,article,Business Day,News,3,https://www.nytimes.com/2015/08/07/business/dealbook/salesforce-ventures-and-microsoft-join-informatica-buyout.html
2015-08-07T11:10:34+0000,The Never-Ending Lawsuit | Why Disclosing C.E.O. Pay Might Bring Change | Apollo’s Stake in American Realty,"ACKMAN’S BET ON MONDELEZ SALES | By building up a $5.5 billion stake in Mondelez International, William A. Ackman is wagering that Mondelez could be persuaded to sell itself, Michael J. de la Merced and Alexandra Stevenson write in DealBook. The investment that Mr. Ackman’s Pershing Square Capital Management has made also highlights the widespread belief that the food sector is ripe for consolidation. ",Morning Agenda: Ackman’s Bet on Mondelez Sales,article,Blogs,News,22,https://news.blogs.nytimes.com/2015/08/07/morning-agenda-ackmans-bet-on-mondelez-sales/
2015-08-21T14:20:22+0000,"As stocks slumped on Thursday, some technology companies took particularly bad hits, both during regular trading hours and even afterward.","Nearly everything on the stock market fell on Thursday, with some tech companies taking particularly hard hits.",Daily Report: The Stock Market Carnage Cometh for Tech,article,Technology,News,8,https://bits.blogs.nytimes.com/2015/08/21/daily-report-the-stock-market-carnage-cometh-for-tech/
2015-09-15T12:00:07+0000,A well-known programmer says he’s building advanced data analysis that thousands of companies could use on the cloud-computing platform provided by Salesforce.com.,Salesforce.com was one of the early giants of the cloud-computing revolution. Now it wants to be at the center of two of the next big things — big data and so-called computational intelligence everywhere.,Salesforce Plans to Give Customers Amazon-Type Analytics,article,Technology,News,4,https://bits.blogs.nytimes.com/2015/09/15/salesforce-we-give-customers-amazon-type-analytics/
2015-03-27T18:19:20+0000,An industry with a long history of supporting gay rights is starting to speak out against a new Indiana law that gives legal cover to people who refuse to do business with same-sex couples.,The tech industry is applying its economic muscle well outside of Silicon Valley.,Tech Executives Pressure Indiana After Passage of Controversial Law,article,Technology,News,6,https://bits.blogs.nytimes.com/2015/03/27/tech-executives-pressure-indiana-after-passage-of-controversial-law/
2015-03-31T23:40:47+0000,"In an industry that avoids controversy, the heads of several prominent companies, including Apple and Salesforce.com, have chosen to pick a battle.","The technology industry’s leaders have found their collective voice on a social issue in the last week, rallying with great intensity against a new Indiana law that will allow businesses, they predict, to discriminate against gay couples. The heads of Apple, Salesforce.com, Yelp and Square have all publicly criticized the law, as have some leaders from other industries.","Silicon Valley Leaders, New to Social Issues, Come Together Over Indiana Law",article,Technology,News,7,https://www.nytimes.com/2015/04/01/technology/tech-leaders-new-to-social-activism-come-together-over-indiana-law.html
2015-05-06T16:41:39+0000,"Buying the cloud-based customer-service software could make businesses less likely to ditch Office. It might, however, cost Microsoft some $60 billion.",Would Microsoft really want to own Salesforce.com?,Would Salesforce Make Sense for Microsoft?,article,Business Day,News,4,https://www.nytimes.com/2015/05/07/business/dealbook/would-salesforce-make-sense-for-microsoft.html
2015-04-01T20:45:03+0000,More than three dozen chief executives and other senior Silicon Valley leaders issued a joint statement asking all state legislatures to add sexual orientation and gender identity as protected classes to their civil rights laws.,"Technology leaders are looking beyond an Indiana battle over gay rights that united them in the past week, and are calling on all states to enact anti-discrimination protections for lesbians, gay, bisexual and transgender people.",Tech Leaders Call for Anti-Discrimination Laws to Protect Gays in all 50 States,article,Technology,News,14,https://bits.blogs.nytimes.com/2015/04/01/tech-leaders-call-for-anti-discrimination-laws-to-protect-gays-in-all-50-states/
2015-04-30T18:33:52+0000,"Oracle and Microsoft want to increase cloud capacity, making them possible suitors.","Salesforce.com’s slowing growth makes this a good time to seek a suitor. The $47 billion software outfit is on the market, according to Bloomberg.",Salesforce’s Slow Growth May Prompt Hunt for a Buyer,article,Business Day,News,1,https://www.nytimes.com/2015/05/01/business/dealbook/salesforces-slow-growth-may-prompt-hunt-for-a-buyer.html
2015-04-01T10:21:53+0000,"In an industry that avoids controversy, the heads of several prominent companies, including Apple and Salesforce.com, have chosen to pick a battle.","The technology industry’s leaders have found their collective voice on a social issue in the last week, rallying with great intensity against a new Indiana law that will allow businesses, they predict, to discriminate against gay couples. The heads of Apple, Salesforce.com, Yelp and Square have all publicly criticized the law, as have some leaders from other industries.",Daily Report: Tech Leaders Come Together to Oppose Indiana Law,article,Technology,News,4,https://bits.blogs.nytimes.com/2015/04/01/daily-report-tech-leaders-come-together-to-oppose-indiana-law/
