model,mae,mse
baseline_lstm_0,1.9541451022148095,7.050881538959877
baseline_lstm_1,2.3741573046005127,10.215307340949929
baseline_lstm_2,1.913547025245291,6.76186853058117
baseline_lstm_3,2.079478671350933,7.887399929067141
baseline_lstm_4,2.009587698899187,7.419809305255288
baseline_lstm_5,1.881128100484382,6.477291824689129
baseline_lstm_6,1.906757022716044,6.770090635206463
baseline_lstm_7,1.939198677364648,6.950907997377366
baseline_lstm_8,2.1554468993420026,8.431243258662654
baseline_lstm_9,1.9184120547100845,6.8664038631856075
baseline_lstm_10,2.1576246585282743,8.44475874843945
baseline_lstm_11,2.0703027717713622,7.807369507359323
baseline_lstm_12,2.440695861449693,9.587484956580738
baseline_lstm_13,2.202014455424111,8.794160908483619
baseline_lstm_14,2.2543536830534174,9.185924585711687
baseline_lstm_15,1.9118763997625965,6.759120635717044
baseline_lstm_16,1.9887189145460071,7.270100062499542
baseline_lstm_17,2.058452392873836,7.762466227976681
baseline_lstm_18,2.177979854896146,8.61268823383602
baseline_lstm_19,2.0958116816676395,7.968662902972466
baseline_lstm_20,1.9970860067685032,7.364003454984616
baseline_lstm_21,2.197120982182908,8.757634879176367
baseline_lstm_22,2.1425033278367263,8.241866716926365
baseline_lstm_23,2.054537148174239,7.711630780205791
baseline_lstm_24,1.927087557436192,6.870584870875791
baseline_lstm_25,2.471390004513036,11.016139795358503
baseline_lstm_26,1.9404336197780376,6.955383089112763
baseline_lstm_27,2.059221928561713,7.754333394963414
baseline_lstm_28,2.1032473897841086,8.064984754215839
baseline_lstm_29,2.2172823873102714,8.87201029880809
baseline_lstm_average,2.0866533194415573,7.954417100937958
