model,mae,mse
concat_llm_sentiment_weighted_headline_0,2.694395681390261,12.396963027788573
concat_llm_sentiment_weighted_headline_1,2.7443866421349323,12.894303533260851
concat_llm_sentiment_weighted_headline_2,3.2139534673416597,17.213632424106283
concat_llm_sentiment_weighted_headline_3,2.477232576031746,10.746014179345236
concat_llm_sentiment_weighted_headline_4,2.3023941955391267,9.527063576144869
concat_llm_sentiment_weighted_headline_5,2.377264392969299,10.061238923151622
concat_llm_sentiment_weighted_headline_6,3.0699126939680172,15.851340534499114
concat_llm_sentiment_weighted_headline_7,2.8318135780654363,13.698057651141587
concat_llm_sentiment_weighted_headline_8,3.891215393678429,24.302630312353724
concat_llm_sentiment_weighted_headline_9,3.070719162972547,15.874466280337822
concat_llm_sentiment_weighted_headline_10,2.665452641203872,12.136986855225556
concat_llm_sentiment_weighted_headline_11,2.970367397189597,14.85397728427466
concat_llm_sentiment_weighted_headline_12,2.676901791039872,12.34663344422126
concat_llm_sentiment_weighted_headline_13,2.8187092637459563,13.541860146538966
concat_llm_sentiment_weighted_headline_14,2.865063435433049,13.98339311878291
concat_llm_sentiment_weighted_headline_15,3.0993399349312947,16.16325475431973
concat_llm_sentiment_weighted_headline_16,2.428255127336751,10.454187551090424
concat_llm_sentiment_weighted_headline_17,2.5910789680893034,11.597520839831136
concat_llm_sentiment_weighted_headline_18,2.4075306527185156,10.237893980590764
concat_llm_sentiment_weighted_headline_19,2.5978614322914693,11.606439522075432
concat_llm_sentiment_weighted_headline_20,3.010703504379608,15.237026431350294
concat_llm_sentiment_weighted_headline_21,3.045671230819061,15.666088701234544
concat_llm_sentiment_weighted_headline_22,3.6194020149194617,21.307805589335793
concat_llm_sentiment_weighted_headline_23,2.5400983825618573,11.261566308605234
concat_llm_sentiment_weighted_headline_24,2.4921897956869437,10.912981273571766
concat_llm_sentiment_weighted_headline_25,2.656837815455668,12.159540930131806
concat_llm_sentiment_weighted_headline_26,2.387365534202902,10.03826475661454
concat_llm_sentiment_weighted_headline_27,3.126276614421009,16.441547899645247
concat_llm_sentiment_weighted_headline_28,2.961095689116278,14.903396344452425
concat_llm_sentiment_weighted_headline_29,2.3899138590178133,10.177110900980438
concat_llm_sentiment_weighted_headline_average,2.8007800956217244,13.586439569166751

