model,mae,mse
concat_deberta_sentiment_weighted_headline_0,4.499441071723351,40.543970287658674
concat_deberta_sentiment_weighted_headline_1,4.666949582481849,43.30205979474315
concat_deberta_sentiment_weighted_headline_2,3.5970467429994244,30.22755540460907
concat_deberta_sentiment_weighted_headline_3,4.1480633468343315,36.28334190013718
concat_deberta_sentiment_weighted_headline_4,4.896765992502549,45.89866659358131
concat_deberta_sentiment_weighted_headline_5,3.3559136660080435,27.657971388347583
concat_deberta_sentiment_weighted_headline_6,4.793814133725695,44.518298218585905
concat_deberta_sentiment_weighted_headline_7,4.4897552549152895,40.28287861096393
concat_deberta_sentiment_weighted_headline_8,4.260355258366371,37.587870532238135
concat_deberta_sentiment_weighted_headline_9,4.879519916990212,45.62467940332744
concat_deberta_sentiment_weighted_headline_10,4.514115589113781,40.769152643226526
concat_deberta_sentiment_weighted_headline_11,3.901964359113272,33.536333492908206
concat_deberta_sentiment_weighted_headline_12,5.0454812180890345,48.28247969214725
concat_deberta_sentiment_weighted_headline_13,4.6344032273873434,42.18776624732491
concat_deberta_sentiment_weighted_headline_14,4.3963036586906705,38.986429985646
concat_deberta_sentiment_weighted_headline_15,3.947413457670189,33.96993316260617
concat_deberta_sentiment_weighted_headline_16,3.828113538421632,32.55985268700001
concat_deberta_sentiment_weighted_headline_17,4.763822033966519,44.18388488573627
concat_deberta_sentiment_weighted_headline_18,4.344733105009569,38.36544008289838
concat_deberta_sentiment_weighted_headline_19,4.756412285999247,44.18418570538374
concat_deberta_sentiment_weighted_headline_20,3.62460480335969,30.5637975607218
concat_deberta_sentiment_weighted_headline_21,3.5045005163317335,29.096211144235617
concat_deberta_sentiment_weighted_headline_22,4.501108269484225,40.58760727887809
concat_deberta_sentiment_weighted_headline_23,5.058889294434156,48.108603524700904
concat_deberta_sentiment_weighted_headline_24,4.67007080953253,42.74572377475353
concat_deberta_sentiment_weighted_headline_25,5.194171886898174,50.82765054277341
concat_deberta_sentiment_weighted_headline_26,5.269875880348595,51.76030483033386
concat_deberta_sentiment_weighted_headline_27,4.5996600930018765,41.55849198577516
concat_deberta_sentiment_weighted_headline_28,4.624858535984127,42.14394880116915
concat_deberta_sentiment_weighted_headline_29,4.082074661196371,35.20096801886326
concat_deberta_sentiment_weighted_headline_average,4.428340073019328,40.05153527270916
