model,mae,mse
concat_ensemble_weighted_headline_0,5.116297429659263,49.401618262571226
concat_ensemble_weighted_headline_1,5.209246012966631,51.40579547439881
concat_ensemble_weighted_headline_2,5.082303077056946,48.91349488220538
concat_ensemble_weighted_headline_3,4.452430369123758,39.8235776723485
concat_ensemble_weighted_headline_4,5.018181439420924,48.101979540413595
concat_ensemble_weighted_headline_5,3.4372143536466084,28.273377907085393
concat_ensemble_weighted_headline_6,3.895589929797092,33.46297821054188
concat_ensemble_weighted_headline_7,5.69485426409115,58.87140157069528
concat_ensemble_weighted_headline_8,4.748447662917206,44.12979728293626
concat_ensemble_weighted_headline_9,4.296631390540408,38.116449865301405
concat_ensemble_weighted_headline_10,3.473933041435759,28.844918905526676
concat_ensemble_weighted_headline_11,4.797977156188051,44.71857520918405
concat_ensemble_weighted_headline_12,5.193004320555328,51.02929530400779
concat_ensemble_weighted_headline_13,4.678262638475653,43.00067756757945
concat_ensemble_weighted_headline_14,4.314777438408159,38.23864932962283
concat_ensemble_weighted_headline_15,4.309103631410699,38.28559761880037
concat_ensemble_weighted_headline_16,3.611289036905148,30.23832648421911
concat_ensemble_weighted_headline_17,4.387191320025585,39.15292828663481
concat_ensemble_weighted_headline_18,4.283122164881105,37.81073948077344
concat_ensemble_weighted_headline_19,4.826352970631488,44.87103833555299
concat_ensemble_weighted_headline_20,3.73662354891258,31.463645553474095
concat_ensemble_weighted_headline_21,3.8410844522368346,32.598288655850574
concat_ensemble_weighted_headline_22,4.3084156206226725,37.97947779668242
concat_ensemble_weighted_headline_23,4.160719190320697,36.55268608857512
concat_ensemble_weighted_headline_24,4.779789639149799,44.320721025228394
concat_ensemble_weighted_headline_25,3.9140506591199946,33.43277040566349
concat_ensemble_weighted_headline_26,4.19608792504328,36.52851713500662
concat_ensemble_weighted_headline_27,4.604859049091104,42.01649173665463
concat_ensemble_weighted_headline_28,4.327945112085548,38.22385661265409
concat_ensemble_weighted_headline_29,5.332263550160327,52.4768939732361
concat_ensemble_weighted_headline_average,4.4676016131626595,40.7428188724475
