model,mae,mse
concat_llm_sentiment_dynamic_headline_0,4.840021981395193,45.038415360704
concat_llm_sentiment_dynamic_headline_1,3.4758505448197616,28.819628593793876
concat_llm_sentiment_dynamic_headline_2,5.0264626429694585,47.41960216456812
concat_llm_sentiment_dynamic_headline_3,4.651542313388346,42.64706647580435
concat_llm_sentiment_dynamic_headline_4,4.850954153362273,45.88517435317909
concat_llm_sentiment_dynamic_headline_5,3.798786524326242,32.430306535903135
concat_llm_sentiment_dynamic_headline_6,5.301219024857303,52.22912486631318
concat_llm_sentiment_dynamic_headline_7,4.686587935251441,43.13335608280359
concat_llm_sentiment_dynamic_headline_8,3.5599136669160485,29.71838167409183
concat_llm_sentiment_dynamic_headline_9,4.839739963334294,45.75292545035202
concat_llm_sentiment_dynamic_headline_10,4.194769450034456,37.15373936479292
concat_llm_sentiment_dynamic_headline_11,3.9880947001395417,34.450211987704165
concat_llm_sentiment_dynamic_headline_12,3.4169909629129416,28.09314941102785
concat_llm_sentiment_dynamic_headline_13,4.147064425252982,36.341566776335355
concat_llm_sentiment_dynamic_headline_14,4.607721512551338,41.88818591684368
concat_llm_sentiment_dynamic_headline_15,3.3625940101726433,27.703620133736383
concat_llm_sentiment_dynamic_headline_16,3.432656518104691,28.347888230908048
concat_llm_sentiment_dynamic_headline_17,5.102381679279141,48.84240341512445
concat_llm_sentiment_dynamic_headline_18,4.006722769006696,34.77913277615736
concat_llm_sentiment_dynamic_headline_19,3.644362724608504,30.49215118791192
concat_llm_sentiment_dynamic_headline_20,4.5145573242631345,40.66778485557191
concat_llm_sentiment_dynamic_headline_21,5.12903932837143,49.67554848427098
concat_llm_sentiment_dynamic_headline_22,3.5929884359288824,30.06609514012397
concat_llm_sentiment_dynamic_headline_23,3.3737834132972435,27.73185257414522
concat_llm_sentiment_dynamic_headline_24,4.124771450197028,35.42964234182468
concat_llm_sentiment_dynamic_headline_25,4.1545631954769355,36.38487547461377
concat_llm_sentiment_dynamic_headline_26,3.62272841393803,30.34212643164748
concat_llm_sentiment_dynamic_headline_27,3.879659216548521,33.25270102774398
concat_llm_sentiment_dynamic_headline_28,4.749373875687422,43.52592037457304
concat_llm_sentiment_dynamic_headline_29,4.717925913203866,43.365001762169506
concat_llm_sentiment_dynamic_headline_average,4.226460935653193,37.720252640824654
