model,mae,mse
concat_ensemble_weighted_headline_0,3.617095905393775,29.25647838469231
concat_ensemble_weighted_headline_1,3.3992148266213467,25.7454780018708
concat_ensemble_weighted_headline_2,2.4487527743127333,13.756068736055555
concat_ensemble_weighted_headline_3,3.734582869279985,31.021418086908103
concat_ensemble_weighted_headline_4,3.249375934744295,24.178042544184834
concat_ensemble_weighted_headline_5,3.0147572845761497,21.492943233290116
concat_ensemble_weighted_headline_6,2.75668308920288,17.46703622342875
concat_ensemble_weighted_headline_7,2.946000205354189,20.158272927411925
concat_ensemble_weighted_headline_8,2.1596432908591727,10.986585550207126
concat_ensemble_weighted_headline_9,2.9005568825046444,19.149720552214685
concat_ensemble_weighted_headline_10,2.1277826247460756,10.58909358597894
concat_ensemble_weighted_headline_11,2.733202336420528,17.59289799002202
concat_ensemble_weighted_headline_12,2.488794470553817,14.87095875793431
concat_ensemble_weighted_headline_13,3.1989273820225734,23.12028271976088
concat_ensemble_weighted_headline_14,3.0387754720811397,21.13857978730487
concat_ensemble_weighted_headline_15,3.31076079515826,24.551762708544185
concat_ensemble_weighted_headline_16,1.8758724431797336,8.4746095479801
concat_ensemble_weighted_headline_17,2.8069402525091003,18.235689259107
concat_ensemble_weighted_headline_18,2.347228299600655,12.898069707726217
concat_ensemble_weighted_headline_19,2.1038104028163533,10.75534710144118
concat_ensemble_weighted_headline_20,1.8297862840548071,8.067575712339615
concat_ensemble_weighted_headline_21,2.3158744019967545,12.635257730863447
concat_ensemble_weighted_headline_22,2.545356789574971,15.293508582161952
concat_ensemble_weighted_headline_23,2.73087920953634,17.627099251142234
concat_ensemble_weighted_headline_24,2.2712989566928767,12.342057816876618
concat_ensemble_weighted_headline_25,3.054021208006985,21.17113512932592
concat_ensemble_weighted_headline_26,2.914300297865247,19.82696070085879
concat_ensemble_weighted_headline_27,3.4874292725731317,27.60139255232118
concat_ensemble_weighted_headline_28,2.845509255857673,18.676882437652154
concat_ensemble_weighted_headline_29,2.976370750405545,20.4784167661341
concat_ensemble_weighted_headline_average,2.774319465616726,18.305320736191327
