model,mae,mse
baseline_lstm_0,3.802692060266278,25.218926119670524
baseline_lstm_1,3.791776110876282,25.128028893567087
baseline_lstm_2,4.052708562964302,28.939721248510576
baseline_lstm_3,4.271876079259043,32.42008031910841
baseline_lstm_4,4.320273745371779,33.01282789866972
baseline_lstm_5,4.006153840409479,28.15424225785486
baseline_lstm_6,4.311424010130965,32.92622796708089
baseline_lstm_7,3.8012997047459214,24.945029329954075
baseline_lstm_8,4.4037960552318465,34.364510649558035
baseline_lstm_9,4.503882462118883,35.44297938099
baseline_lstm_10,4.04805747575754,28.9762706976823
baseline_lstm_11,4.151006898996629,28.17806101804267
baseline_lstm_12,4.004519632362801,28.329835314463462
baseline_lstm_13,3.840447375754837,25.499043086234344
baseline_lstm_14,4.211604187113389,31.396375714602637
baseline_lstm_15,4.458197362946908,35.00946199243777
baseline_lstm_16,4.637338120141481,37.815207082141136
baseline_lstm_17,3.8867171742988544,26.053886962817028
baseline_lstm_18,4.4080794658334,34.37381176220998
baseline_lstm_19,3.795435716696898,24.961140557988205
baseline_lstm_20,4.245238347342476,31.951844573681026
baseline_lstm_21,3.938807849306731,27.416464784528436
baseline_lstm_22,3.989743016498102,27.79609494574021
baseline_lstm_23,4.155820538187884,30.70065876984027
baseline_lstm_24,4.317332087583341,32.89984162587526
baseline_lstm_25,4.145311111129107,29.547613066192735
baseline_lstm_26,3.969906977582129,26.051427281132877
baseline_lstm_27,4.320380371842981,32.77776651467299
baseline_lstm_28,3.930255752437189,27.130383428918694
baseline_lstm_29,4.324376724052946,32.98168745187671
baseline_lstm_average,4.134815293908013,30.01331502320143
