model,mae,mse
concat_deberta_sentiment_weighted_headline_0,3.8000346109253673,24.84146923671858
concat_deberta_sentiment_weighted_headline_1,3.889765878049172,25.614472765162073
concat_deberta_sentiment_weighted_headline_2,3.789249164343839,24.93964223256346
concat_deberta_sentiment_weighted_headline_3,3.795928925676763,25.032813404999125
concat_deberta_sentiment_weighted_headline_4,3.8203631073415303,25.268045503329542
concat_deberta_sentiment_weighted_headline_5,4.341977651021124,33.36396612389098
concat_deberta_sentiment_weighted_headline_6,4.241768872207945,28.703744381767173
concat_deberta_sentiment_weighted_headline_7,3.8346008441481025,25.77691201259904
concat_deberta_sentiment_weighted_headline_8,4.062989659259327,29.26579555765021
concat_deberta_sentiment_weighted_headline_9,3.9845075997614754,26.509927690472225
concat_deberta_sentiment_weighted_headline_10,4.363462823693498,30.18580493696552
concat_deberta_sentiment_weighted_headline_11,4.589854956760395,32.79098803855828
concat_deberta_sentiment_weighted_headline_12,4.2807986489948116,29.514847967001607
concat_deberta_sentiment_weighted_headline_13,4.606117277322783,37.332260926512134
concat_deberta_sentiment_weighted_headline_14,4.303541246088319,29.29417247384173
concat_deberta_sentiment_weighted_headline_15,3.784958296100613,24.975056975183985
concat_deberta_sentiment_weighted_headline_16,4.88359560956207,36.199292370902505
concat_deberta_sentiment_weighted_headline_17,5.108128524668048,39.12252429152133
concat_deberta_sentiment_weighted_headline_18,4.572947968137712,36.75687284049663
concat_deberta_sentiment_weighted_headline_19,4.974194986351483,37.35108526619348
concat_deberta_sentiment_weighted_headline_20,4.341844510176064,30.059120590098857
concat_deberta_sentiment_weighted_headline_21,3.88703106883081,26.601316713666304
concat_deberta_sentiment_weighted_headline_22,4.180818969101779,28.102236300676495
concat_deberta_sentiment_weighted_headline_23,4.2797235011812385,29.233105901149337
concat_deberta_sentiment_weighted_headline_24,3.8984329214242694,26.617059424969
concat_deberta_sentiment_weighted_headline_25,4.040719549536756,26.842635793093013
concat_deberta_sentiment_weighted_headline_26,4.184459296638052,30.681752362182426
concat_deberta_sentiment_weighted_headline_27,4.519098514491728,32.02638624488619
concat_deberta_sentiment_weighted_headline_28,3.824975865269817,25.59438077640867
concat_deberta_sentiment_weighted_headline_29,3.936875912184837,25.901093640207264
concat_deberta_sentiment_weighted_headline_average,4.204092225308325,29.48329275812224
