model,mae,mse
concat_llm_sentiment_weighted_headline_0,3.858077923957059,25.92806746346529
concat_llm_sentiment_weighted_headline_1,3.997808438977793,28.030478845113432
concat_llm_sentiment_weighted_headline_2,3.934660002394448,27.202596176789005
concat_llm_sentiment_weighted_headline_3,4.467158623032209,31.378744913498306
concat_llm_sentiment_weighted_headline_4,3.8279019393410105,25.476110625089024
concat_llm_sentiment_weighted_headline_5,4.472112073714593,31.399209298969907
concat_llm_sentiment_weighted_headline_6,4.608692194209139,32.67843728602286
concat_llm_sentiment_weighted_headline_7,3.924533080257178,25.774754748511267
concat_llm_sentiment_weighted_headline_8,3.9585088442750047,27.58371876885639
concat_llm_sentiment_weighted_headline_9,3.9608157894838425,27.658545191191955
concat_llm_sentiment_weighted_headline_10,3.8379165739730112,25.74649474417981
concat_llm_sentiment_weighted_headline_11,4.050586004848871,28.98418243459533
concat_llm_sentiment_weighted_headline_12,3.881961209449353,26.478902834176044
concat_llm_sentiment_weighted_headline_13,4.026262754192673,26.558870515114343
concat_llm_sentiment_weighted_headline_14,3.8183060160431705,25.080595721951045
concat_llm_sentiment_weighted_headline_15,4.72256631448982,34.30681796048956
concat_llm_sentiment_weighted_headline_16,4.14036624020156,30.400245794266706
concat_llm_sentiment_weighted_headline_17,4.10337471655082,29.82972457124162
concat_llm_sentiment_weighted_headline_18,3.8377289666071097,25.24667870833411
concat_llm_sentiment_weighted_headline_19,3.795941263261103,25.161841512521015
concat_llm_sentiment_weighted_headline_20,4.268269496196518,29.1591733429244
concat_llm_sentiment_weighted_headline_21,3.819437082600962,24.96907530756128
concat_llm_sentiment_weighted_headline_22,4.101310015436982,29.872815349184854
concat_llm_sentiment_weighted_headline_23,3.996686575075013,28.162484203265027
concat_llm_sentiment_weighted_headline_24,3.8476367122198,25.416423890578955
concat_llm_sentiment_weighted_headline_25,3.8508865891580935,25.99266001717387
concat_llm_sentiment_weighted_headline_26,3.888981914144473,26.59906103968234
concat_llm_sentiment_weighted_headline_27,4.294262780309994,32.75361646231574
concat_llm_sentiment_weighted_headline_28,4.093387127535065,27.411379703241675
concat_llm_sentiment_weighted_headline_29,4.133381540827506,27.677289063410637
concat_llm_sentiment_weighted_headline_average,4.050650626758805,27.963966549790527
