model,mae,mse
baseline_lstm_0,1.7809998685319872,6.929386783454074
baseline_lstm_1,1.7492800582552537,6.9200552762295855
baseline_lstm_2,1.750678577773657,6.911173287831251
baseline_lstm_3,1.8473962484863455,7.854638048755244
baseline_lstm_4,1.715827254481613,6.718020366533195
baseline_lstm_5,2.077051716449775,9.94150219389592
baseline_lstm_6,2.159695700882739,10.966077179420232
baseline_lstm_7,2.5286663467162507,14.508362725921645
baseline_lstm_8,1.773841448026909,7.259561270399474
baseline_lstm_9,2.9210505611820814,19.01807469948952
baseline_lstm_10,1.758233631233444,6.799930706771486
baseline_lstm_11,2.408866186445515,13.381122353280016
baseline_lstm_12,2.179292588942844,11.103220088965122
baseline_lstm_13,1.7829924262193733,7.278865342691859
baseline_lstm_14,2.145958803970946,10.49996824283846
baseline_lstm_15,2.0288781686953157,9.717901691655989
baseline_lstm_16,1.752208758747699,6.977508051045214
baseline_lstm_17,2.8098681062988895,17.854977296792068
baseline_lstm_18,2.752609787219299,17.607241101896694
baseline_lstm_19,2.237416336969647,11.437497932678395
baseline_lstm_20,2.093623844065126,9.630546059223608
baseline_lstm_21,1.8487926122472256,8.06204218000361
baseline_lstm_22,2.201987249731616,11.16298246577032
baseline_lstm_23,1.8760432255291248,8.090828967587239
baseline_lstm_24,1.746551935611444,6.829705741523245
baseline_lstm_25,1.8098855403712344,7.4678998538824
baseline_lstm_26,2.1428271166819095,10.750228492790349
baseline_lstm_27,1.889508517916566,8.289395563442515
baseline_lstm_28,1.898676986474703,8.350815026919568
baseline_lstm_29,1.856726465643129,8.08858190594741
baseline_lstm_average,2.050847868993389,9.880270363254526
