model,mae,mse
concat_llm_sentiment_dynamic_headline_0,3.340021059955774,25.38336833804075
concat_llm_sentiment_dynamic_headline_1,4.471376821866364,43.295157034251325
concat_llm_sentiment_dynamic_headline_2,2.919053471788019,19.23945603696142
concat_llm_sentiment_dynamic_headline_3,3.108559693789789,22.633669962382612
concat_llm_sentiment_dynamic_headline_4,4.647228151869657,46.13573774483645
concat_llm_sentiment_dynamic_headline_5,4.4244710074454385,40.89068264488532
concat_llm_sentiment_dynamic_headline_6,3.4009265838850196,25.359781086120435
concat_llm_sentiment_dynamic_headline_7,3.853536518300995,32.31911562204361
concat_llm_sentiment_dynamic_headline_8,3.839417727299169,31.579089987300456
concat_llm_sentiment_dynamic_headline_9,3.1809316962031167,22.199069674232824
concat_llm_sentiment_dynamic_headline_10,2.845338826978335,18.915495191916296
concat_llm_sentiment_dynamic_headline_11,2.3861199044655894,13.903972801389797
concat_llm_sentiment_dynamic_headline_12,3.4490088231050455,26.972276390890865
concat_llm_sentiment_dynamic_headline_13,4.18167812153649,37.82782175878091
concat_llm_sentiment_dynamic_headline_14,3.774519213316531,31.998248222582458
concat_llm_sentiment_dynamic_headline_15,2.018276085830702,9.47937087432715
concat_llm_sentiment_dynamic_headline_16,5.0331446210780975,53.08504873895835
concat_llm_sentiment_dynamic_headline_17,4.100743131863834,35.673547920556764
concat_llm_sentiment_dynamic_headline_18,3.8869676325442906,33.464544678661525
concat_llm_sentiment_dynamic_headline_19,2.9725087736479163,20.605577779128875
concat_llm_sentiment_dynamic_headline_20,3.97700326613274,33.98318994499604
concat_llm_sentiment_dynamic_headline_21,4.1053434712246855,35.46260700090976
concat_llm_sentiment_dynamic_headline_22,4.034218197318704,34.81570746104703
concat_llm_sentiment_dynamic_headline_23,3.7109572692682167,29.895259440134986
concat_llm_sentiment_dynamic_headline_24,2.029077676425676,9.681031406420752
concat_llm_sentiment_dynamic_headline_25,4.4711973328439845,42.35774520825972
concat_llm_sentiment_dynamic_headline_26,3.6851099235146902,29.15498458116636
concat_llm_sentiment_dynamic_headline_27,4.827043658585258,49.16196427395458
concat_llm_sentiment_dynamic_headline_28,3.893002130613465,33.01453432781455
concat_llm_sentiment_dynamic_headline_29,3.0141039773082534,19.99530368928281
concat_llm_sentiment_dynamic_headline_average,3.652696159000195,30.282778660741155
