model,mae,mse
concat_llm_sentiment_weighted_headline_0,3.583593309578632,28.138962717971157
concat_llm_sentiment_weighted_headline_1,2.4726813874059905,14.268406930484876
concat_llm_sentiment_weighted_headline_2,2.190486831464151,11.35961578813253
concat_llm_sentiment_weighted_headline_3,2.900721067880209,19.66684489602237
concat_llm_sentiment_weighted_headline_4,3.5460678612367795,27.855867833592747
concat_llm_sentiment_weighted_headline_5,3.7661978004504335,30.88708716600629
concat_llm_sentiment_weighted_headline_6,5.0679744302418825,55.3864255545594
concat_llm_sentiment_weighted_headline_7,3.246481578172617,23.99084547559348
concat_llm_sentiment_weighted_headline_8,2.0250141282368994,9.767998703156724
concat_llm_sentiment_weighted_headline_9,3.5986149729872015,28.473517329779853
concat_llm_sentiment_weighted_headline_10,2.7578655563258407,17.950011844279437
concat_llm_sentiment_weighted_headline_11,3.5136999586308493,27.470415342333258
concat_llm_sentiment_weighted_headline_12,4.091553778225988,36.400357908648225
concat_llm_sentiment_weighted_headline_13,4.2721023024716285,39.81349490367467
concat_llm_sentiment_weighted_headline_14,5.029283865402702,53.133472956123384
concat_llm_sentiment_weighted_headline_15,3.027607632775095,21.609295135058833
concat_llm_sentiment_weighted_headline_16,2.8133413004736787,18.067162924222455
concat_llm_sentiment_weighted_headline_17,3.978907652853078,35.63112942122961
concat_llm_sentiment_weighted_headline_18,3.067500288752437,21.187307803071953
concat_llm_sentiment_weighted_headline_19,2.565530481556419,16.00615452382679
concat_llm_sentiment_weighted_headline_20,2.8508119469412323,18.681215673038174
concat_llm_sentiment_weighted_headline_21,2.8902063513243763,19.346222769277343
concat_llm_sentiment_weighted_headline_22,3.528458196698846,27.316720681183543
concat_llm_sentiment_weighted_headline_23,2.4035437524252226,13.638398312307263
concat_llm_sentiment_weighted_headline_24,3.693750978323391,30.457190972644916
concat_llm_sentiment_weighted_headline_25,2.2977953280308916,12.443026577212764
concat_llm_sentiment_weighted_headline_26,4.292953792150312,39.70837097067676
concat_llm_sentiment_weighted_headline_27,3.3441851963322233,25.06279936339574
concat_llm_sentiment_weighted_headline_28,3.698727017649787,30.076777050857228
concat_llm_sentiment_weighted_headline_29,3.276236583191845,24.024958444793764
concat_llm_sentiment_weighted_headline_average,3.326396510939688,25.927335199105187
