model,mae,mse
baseline_lstm_AMZN_0,15.924666071180576,398.31845238346295
baseline_lstm_AMZN_1,18.65400235256533,563.0354902191989
baseline_lstm_AMZN_2,18.473153192117397,545.0891126492517
baseline_lstm_AMZN_3,20.90459937562454,669.5503059891814
baseline_lstm_AMZN_4,19.805187809955633,582.5598788385505
baseline_lstm_AMZN_5,15.942054640518316,367.41986258630646
baseline_lstm_AMZN_6,15.134586505701906,346.33071816731365
baseline_lstm_AMZN_7,16.300113176857217,422.3759578128271
baseline_lstm_AMZN_8,17.27252039790698,430.5527141648104
baseline_lstm_AMZN_9,18.722688120795382,564.8422133561018
baseline_lstm_AMZN_10,18.74280102109874,537.8238133798574
baseline_lstm_AMZN_11,18.712633318497492,544.4689827301654
baseline_lstm_AMZN_12,15.241383988647458,358.3344765551004
baseline_lstm_AMZN_13,14.434769739048985,300.6601209503388
baseline_lstm_AMZN_14,15.217680962340534,354.540403177926
baseline_lstm_AMZN_15,16.950256783150312,413.7771251014963
baseline_lstm_AMZN_16,17.281653951558532,430.3342419260631
baseline_lstm_AMZN_17,16.00848895677489,377.93016815490085
baseline_lstm_AMZN_18,14.368968299930929,325.7285530319338
baseline_lstm_AMZN_19,15.691283840406866,387.3350087189181
baseline_lstm_AMZN_20,14.80996142120143,337.45067150958386
baseline_lstm_AMZN_21,14.214163962747024,309.7162824402608
baseline_lstm_AMZN_22,12.16184269887243,223.94423394146463
baseline_lstm_AMZN_23,14.825711115813688,340.7565532859589
baseline_lstm_AMZN_24,19.228422206708867,562.5376890592756
baseline_lstm_AMZN_25,14.8640846448726,339.9332091087324
baseline_lstm_AMZN_26,20.871913965992253,652.1659821455344
baseline_lstm_AMZN_27,15.531830831895226,373.2746820991192
baseline_lstm_AMZN_28,17.544610908397956,475.5037845644133
baseline_lstm_AMZN_29,16.24722401546715,404.98522683496935
baseline_lstm_AMZN_average,16.669441942554887,431.37586382943397
