model,mae,mse
baseline_lstm_CRM_0,19.7958627351827,568.4649831141069
baseline_lstm_CRM_1,21.409177264121617,653.6012210074542
baseline_lstm_CRM_2,20.125289962742062,584.2170644458346
baseline_lstm_CRM_3,21.37671278101478,665.6567515004248
baseline_lstm_CRM_4,20.258594852744913,599.8975969606439
baseline_lstm_CRM_5,19.539278794243547,567.2315061195477
baseline_lstm_CRM_6,22.94643627909573,750.179061057655
baseline_lstm_CRM_7,21.915172112663388,687.3487863617296
baseline_lstm_CRM_8,8.029392292759406,110.60546167320472
baseline_lstm_CRM_9,9.747190159548868,160.2218677070041
baseline_lstm_CRM_10,20.586960014115952,617.8070137119854
baseline_lstm_CRM_11,19.49289196721123,545.7284313593017
baseline_lstm_CRM_12,22.931211277964444,747.6327117010153
baseline_lstm_CRM_13,19.960591864884037,574.1736726518285
baseline_lstm_CRM_14,18.385253872157943,483.1892696953698
baseline_lstm_CRM_15,19.484937477764817,549.0704412197287
baseline_lstm_CRM_16,17.51475432180425,484.7383100445574
baseline_lstm_CRM_17,22.943069008589724,748.5975541508302
baseline_lstm_CRM_18,8.193113163253203,112.22108642792448
baseline_lstm_CRM_19,20.342017499529295,591.2395245284245
baseline_lstm_CRM_20,22.90219424787558,750.3998251995292
baseline_lstm_CRM_21,22.24223437820517,703.8718659371627
baseline_lstm_CRM_22,17.58327611521379,465.50117372277
baseline_lstm_CRM_23,19.341877726761485,541.925869654301
baseline_lstm_CRM_24,22.29959770333063,709.0100814201465
baseline_lstm_CRM_25,21.33064421370198,646.8314157919259
baseline_lstm_CRM_26,20.342848417503728,596.4031783341064
baseline_lstm_CRM_27,20.703847391696996,623.0513891867822
baseline_lstm_CRM_28,20.371945073619067,595.9038649757939
baseline_lstm_CRM_29,21.98851089136726,687.1877655905741
baseline_lstm_CRM_average,19.469496128688913,570.7302915083889
