model,mae,mse
baseline_lstm_IBM_0,2.2996184106358664,12.397431700425894
baseline_lstm_IBM_1,2.3883503047590215,13.359300370970328
baseline_lstm_IBM_2,2.6279578072808536,15.733457182571712
baseline_lstm_IBM_3,2.2925238916103914,12.093917851259333
baseline_lstm_IBM_4,2.483826048128223,14.005365408978902
baseline_lstm_IBM_5,2.7138912045192116,17.07224704946258
baseline_lstm_IBM_6,1.9458018316513443,9.00440124112773
baseline_lstm_IBM_7,1.5620096442267368,5.910548733604322
baseline_lstm_IBM_8,2.328084745005933,12.475123269478171
baseline_lstm_IBM_9,2.8962812881954245,18.965180429366637
baseline_lstm_IBM_10,1.841919904295762,8.043549628751512
baseline_lstm_IBM_11,2.4588074911914957,14.013217310446798
baseline_lstm_IBM_12,2.049225458626859,9.660937606430284
baseline_lstm_IBM_13,2.3699589311506144,13.353242954643395
baseline_lstm_IBM_14,1.7733578395363905,7.501944420076712
baseline_lstm_IBM_15,1.66007585358796,5.991088625206374
baseline_lstm_IBM_16,3.198332483390996,23.0714349124877
baseline_lstm_IBM_17,2.471006572093394,14.410549909529092
baseline_lstm_IBM_18,1.9584850234027076,8.918848990147147
baseline_lstm_IBM_19,2.12452802790705,10.695747522714278
baseline_lstm_IBM_20,2.2078704772074644,11.28060537716397
baseline_lstm_IBM_21,2.719572456844182,17.09234864226956
baseline_lstm_IBM_22,1.558612235452705,5.8443441451385
baseline_lstm_IBM_23,2.336932004983963,12.742592297663744
baseline_lstm_IBM_24,2.646788137885779,15.799348273830113
baseline_lstm_IBM_25,2.3492793750074172,12.926202045771984
baseline_lstm_IBM_26,2.2515504678838463,11.893392675335647
baseline_lstm_IBM_27,1.872484963130089,8.367408396854659
baseline_lstm_IBM_28,2.1953939159988645,11.213353779364532
baseline_lstm_IBM_29,1.556838296591985,5.973317696374208
baseline_lstm_IBM_average,2.237978836406085,11.993681614914859
