model,mae,mse
baseline_lstm_MSFT_0,38.77738413522634,1998.259106574736
baseline_lstm_MSFT_1,22.633151996747515,619.1941237549779
baseline_lstm_MSFT_2,37.589688981522386,1883.293342652976
baseline_lstm_MSFT_3,49.42143201360283,3180.080945680136
baseline_lstm_MSFT_4,26.39960583378073,837.2935777412202
baseline_lstm_MSFT_5,43.97807131778087,2562.9060098876
baseline_lstm_MSFT_6,40.60420057692984,2169.817041838683
baseline_lstm_MSFT_7,42.5294004245918,2409.27493514774
baseline_lstm_MSFT_8,36.7297787304299,1820.9872731477064
baseline_lstm_MSFT_9,47.630481458831625,2966.235915136764
baseline_lstm_MSFT_10,37.14905920411333,1869.7347585985065
baseline_lstm_MSFT_11,23.479719554709295,657.5337182528767
baseline_lstm_MSFT_12,42.37194501952838,2394.344674406027
baseline_lstm_MSFT_13,38.234595735424506,1977.832718438824
baseline_lstm_MSFT_14,33.759874229955784,1563.394468414156
baseline_lstm_MSFT_15,50.12023461563813,3304.2780711959917
baseline_lstm_MSFT_16,43.29847066953155,2505.5657635339426
baseline_lstm_MSFT_17,38.00508183414975,1960.509738789466
baseline_lstm_MSFT_18,37.29250995174805,1855.8872852380232
baseline_lstm_MSFT_19,25.02348247912442,751.6913869526284
baseline_lstm_MSFT_20,45.94459818994709,2789.995831048343
baseline_lstm_MSFT_21,39.77157087403947,2124.7766548156665
baseline_lstm_MSFT_22,44.956915630122545,2642.051763155423
baseline_lstm_MSFT_23,39.68389210440684,2122.682032929753
baseline_lstm_MSFT_24,28.46220638134726,965.3989105194768
baseline_lstm_MSFT_25,19.073196368961774,445.5892488800555
baseline_lstm_MSFT_26,51.94324996691555,3540.609473207327
baseline_lstm_MSFT_27,42.397189777783666,2393.458569365975
baseline_lstm_MSFT_28,48.942945006416174,3138.393961835834
baseline_lstm_MSFT_29,37.678056188453965,1894.7682266389315
baseline_lstm_MSFT_average,38.46273297505872,2044.8613175926587
