model,mae,mse
baseline_lstm_NVDA_0,2.70094298019699,15.462907096353115
baseline_lstm_NVDA_1,10.853124112120351,207.4127596214289
baseline_lstm_NVDA_2,11.41532343274751,256.990999391777
baseline_lstm_NVDA_3,5.3470387461421485,52.231642018032126
baseline_lstm_NVDA_4,2.605344097064056,16.534011476973195
baseline_lstm_NVDA_5,3.789209297805326,29.985614038950786
baseline_lstm_NVDA_6,7.432136079955519,92.2947778891943
baseline_lstm_NVDA_7,6.104934086656391,66.90893644924691
baseline_lstm_NVDA_8,13.693169712196074,355.7359436387712
baseline_lstm_NVDA_9,11.537615240873642,277.99832655867345
baseline_lstm_NVDA_10,9.005688473511627,131.62781770693533
baseline_lstm_NVDA_11,13.92123338684101,370.3674227344752
baseline_lstm_NVDA_12,7.353810277012731,109.6118777552013
baseline_lstm_NVDA_13,9.663193415071714,140.63210616100585
baseline_lstm_NVDA_14,6.897729676975068,86.71535136783952
baseline_lstm_NVDA_15,11.695144825921153,244.19446886382048
baseline_lstm_NVDA_16,5.0019600089528105,50.320484154404646
baseline_lstm_NVDA_17,8.35971282636693,129.83373689339942
baseline_lstm_NVDA_18,8.698335480562633,125.96491052464854
baseline_lstm_NVDA_19,6.917229056035042,81.65533715400906
baseline_lstm_NVDA_20,9.518364136941718,139.81173689347443
baseline_lstm_NVDA_21,5.573504415354501,61.03013108779432
baseline_lstm_NVDA_22,7.393565842991166,87.83761486160884
baseline_lstm_NVDA_23,15.666234653313806,508.4535604322853
baseline_lstm_NVDA_24,7.40031419883676,96.87053447636912
baseline_lstm_NVDA_25,6.061972273277281,80.48033421244467
baseline_lstm_NVDA_26,3.366232703266383,24.04439079117849
baseline_lstm_NVDA_27,11.941441307274426,268.2063196305474
baseline_lstm_NVDA_28,8.533707382586208,140.61827944143084
baseline_lstm_NVDA_29,9.4060181090464,142.94530327162332
baseline_lstm_NVDA_average,8.261807674529912,146.42592121979658
