model,mae,mse
baseline_lstm_0,2.2068623030531302,8.24777504884921
baseline_lstm_1,1.8871745370661264,6.629498058892686
baseline_lstm_2,1.9094711903493056,6.75893413805863
baseline_lstm_3,3.542326730897348,18.956295465231097
baseline_lstm_4,1.9032175264848663,6.695005765859477
baseline_lstm_5,2.2834863291198584,8.687996701310706
baseline_lstm_6,1.9705070763710115,6.980810777233655
baseline_lstm_7,2.6392208053857114,11.660033449315724
baseline_lstm_8,7.133704711177183,62.18456722173574
baseline_lstm_9,3.1945352974278434,15.935823542305888
baseline_lstm_10,4.29429728931027,25.825102060676063
baseline_lstm_11,3.2388779521548536,15.365971015740095
baseline_lstm_12,3.8186802135085873,21.857299162982677
baseline_lstm_13,1.9532372119576704,6.910688847459089
baseline_lstm_14,2.1003190210997547,7.632821178210257
baseline_lstm_15,2.4324653979074427,10.083343764697688
baseline_lstm_16,4.971409781740632,32.296935174516925
baseline_lstm_17,2.082261666640485,7.687944053888778
baseline_lstm_18,2.057396940114988,7.300520684104824
baseline_lstm_19,2.131017434794412,7.950270997340643
baseline_lstm_20,4.212960994138062,24.49307025806555
baseline_lstm_21,1.9782742571916083,7.0986723288885605
baseline_lstm_22,20.04626494555209,540.7582936822522
baseline_lstm_23,22.058695886127207,632.0182142851102
baseline_lstm_24,19.091484099972604,490.67091416362905
baseline_lstm_25,2.3256843590313716,9.008178857199445
baseline_lstm_26,7.072434478967108,61.79271786660231
baseline_lstm_27,1.9558361452508657,6.807936333681248
baseline_lstm_28,1.9282280882253735,6.832153513571688
baseline_lstm_29,5.91277560940881,43.903905566748094
baseline_lstm_average,4.811103609347553,70.63438979880524
