model,mae,mse
baseline_lstm_0,2.535597964746662,10.772728685862532
baseline_lstm_1,2.42161583602616,10.21534744589564
baseline_lstm_2,2.5939507423589654,11.408914410828704
baseline_lstm_3,3.143919605773881,16.639480680050898
baseline_lstm_4,2.501794216854521,10.69182384933869
baseline_lstm_5,2.6627860699743553,11.57290353054491
baseline_lstm_6,2.5963631909578337,11.3165518862661
baseline_lstm_7,2.3359023190405583,9.663605718302584
baseline_lstm_8,2.7730978012782046,12.874836823974288
baseline_lstm_9,2.547675172389842,10.86995872198908
baseline_lstm_10,2.860545002429834,13.851257091645316
baseline_lstm_11,2.3698517579099296,9.719272333275049
baseline_lstm_12,2.877893694045774,13.480578748179822
baseline_lstm_13,2.3600231206981452,9.757155614220398
baseline_lstm_14,2.5308867814746168,11.169914899385002
baseline_lstm_15,2.334880938180344,9.561467382954222
baseline_lstm_16,2.650562940242778,11.526646092377032
baseline_lstm_17,2.492960546308327,10.591558873137958
baseline_lstm_18,2.7595346862995567,12.392147926971562
baseline_lstm_19,2.453351903189147,10.20706798583836
baseline_lstm_20,2.7275454003943596,12.644322299674156
baseline_lstm_21,2.4870758441841874,10.6718976666844
baseline_lstm_22,2.516490110475164,10.795458632727236
baseline_lstm_23,2.8550505524730023,13.634133484299491
baseline_lstm_24,3.0696655834679927,15.828853325411924
baseline_lstm_25,2.7795556447266905,13.142462007007248
baseline_lstm_26,2.5131898934849395,10.624093009953311
baseline_lstm_27,2.536712213375989,10.768380229365697
baseline_lstm_28,2.8987088246675454,14.20928437830258
baseline_lstm_29,2.337808740082107,9.499179156032667
baseline_lstm_average,2.6174999032503807,11.670042763016559
