model,mae,mse
baseline_lstm_0,3.8686402589716846,33.12781487493328
baseline_lstm_1,3.5630732542169907,29.7957185886348
baseline_lstm_2,3.783136625880813,32.30760888358389
baseline_lstm_3,4.643586402521534,42.90417398460084
baseline_lstm_4,3.5300869606567673,29.298258550046924
baseline_lstm_5,4.603702085934297,42.3909703778277
baseline_lstm_6,3.5012376642255454,28.903007062157553
baseline_lstm_7,4.590947714734512,42.30985230727187
baseline_lstm_8,4.204433317774388,37.285621420514765
baseline_lstm_9,4.440490593268062,40.21515923548878
baseline_lstm_10,3.5249034127383685,28.83627611352154
baseline_lstm_11,3.4053661340845456,27.954199427677672
baseline_lstm_12,3.4427794211003935,28.56554773817246
baseline_lstm_13,3.325509650436922,27.399424804164905
baseline_lstm_14,3.6310750633163233,30.583289364700512
baseline_lstm_15,3.583426846925138,29.798413282571467
baseline_lstm_16,3.465981525573325,28.429952228524936
baseline_lstm_17,3.3908305412492705,27.947884617695333
baseline_lstm_18,3.4990967021897283,29.1350416661163
baseline_lstm_19,4.01851687395877,34.922412723503676
baseline_lstm_20,4.171406830445821,36.74371206755614
baseline_lstm_21,3.7280172702807777,31.61406571991778
baseline_lstm_22,3.665466166828092,30.15304708175533
baseline_lstm_23,4.854563474693625,45.49417229411035
baseline_lstm_24,4.2897737472133635,38.3348419808584
baseline_lstm_25,3.4085543550777033,28.217426239675035
baseline_lstm_26,4.104279462198151,35.957605980697814
baseline_lstm_27,3.403157696389365,27.893376425517182
baseline_lstm_28,3.5536716416788976,29.243827422639672
baseline_lstm_29,5.388609243773355,53.72374945907718
baseline_lstm_average,3.8861440312778845,33.64954839745048
