model,mae,mse
baseline_lstm_0,2.5497447188665916,14.18381670226067
baseline_lstm_1,4.016487702343225,35.82242444591791
baseline_lstm_2,2.49859602950002,14.467753361196651
baseline_lstm_3,2.725316434749864,16.590004085616417
baseline_lstm_4,3.878193962735613,33.53190215348611
baseline_lstm_5,3.3021921132433776,23.460958019927663
baseline_lstm_6,1.6900017843253368,6.932745192956806
baseline_lstm_7,3.765673666565048,31.028198306781302
baseline_lstm_8,1.9472694343812016,8.653439693496324
baseline_lstm_9,1.7932338362361668,7.808285721432656
baseline_lstm_10,3.335745218880221,23.738349835661868
baseline_lstm_11,1.9775375662944388,8.922483145452205
baseline_lstm_12,1.9680592708899496,9.17624204431003
baseline_lstm_13,2.1624243465099986,10.39245900121969
baseline_lstm_14,1.9720497280275944,8.830734750126002
baseline_lstm_15,3.089729646985805,21.05321111356106
baseline_lstm_16,1.801270956930614,7.616335215923505
baseline_lstm_17,2.7169348206537554,15.93671990766807
baseline_lstm_18,2.5869111517234296,14.517553601299564
baseline_lstm_19,1.599769102688774,5.68360199485057
baseline_lstm_20,3.0024991424104885,20.317828876545015
baseline_lstm_21,3.078417469148088,21.68145015078899
baseline_lstm_22,2.294845708874226,12.236195971525929
baseline_lstm_23,2.0712284196845463,10.033352663311952
baseline_lstm_24,1.8865576019423624,8.59557189780121
baseline_lstm_25,2.0364965779750106,9.753795179922756
baseline_lstm_26,2.038175619453822,9.209595411237938
baseline_lstm_27,3.3292006329187123,24.620626782808884
baseline_lstm_28,3.700620664727958,29.60399627723428
baseline_lstm_29,1.6327067474863486,6.377772587494939
baseline_lstm_average,2.5482630025717534,15.692580136393898
