model,mae,mse
baseline_lstm_0,208.070351790885,75692.95516763012
baseline_lstm_1,213.409947087307,79023.56119895338
baseline_lstm_2,202.50172718076664,71935.13715441762
baseline_lstm_average,211.8664728910174,77180.26470020328
baseline_lstm_3,225.69051617964232,84047.33017487143
baseline_lstm_4,209.1660854799292,76627.80522211608
baseline_lstm_5,213.8726191142497,77858.36645273081
baseline_lstm_6,204.31955003035935,72397.42685504627
baseline_lstm_7,220.45732396621463,80147.43265622517
baseline_lstm_8,205.32483327692057,72994.80158761257
baseline_lstm_9,203.4191973603204,72195.98408133959
baseline_lstm_10,209.0776110616352,76343.07908904947
baseline_lstm_11,222.3939662164089,82420.53435580505
baseline_lstm_12,212.7444747337928,76412.27845690887
baseline_lstm_13,210.6289096164664,77741.31228627099
baseline_lstm_14,227.63505005301027,90205.38209885372
baseline_lstm_15,204.59125275820296,72440.65232054409
baseline_lstm_16,208.37177922925133,74234.5569297784
baseline_lstm_17,205.32865816679524,73641.34928061267
baseline_lstm_18,207.75511048749752,75294.03998251645
baseline_lstm_19,227.77348193193745,84178.61158786643
baseline_lstm_20,213.25404195460845,78615.5393905337
baseline_lstm_21,209.02765131667712,75031.11618479229
baseline_lstm_22,211.75467729853256,78286.20969477957
baseline_lstm_23,213.58534252391044,79255.34321998732
baseline_lstm_24,204.01138318324507,72128.92092630215
baseline_lstm_25,209.73717776276033,76116.39140777485
baseline_lstm_26,210.2572993707787,75320.76164977669
baseline_lstm_27,207.7197700354047,75771.83311822162
baseline_lstm_28,224.1928567817958,82738.49941387288
baseline_lstm_29,209.92154078121507,76310.72906090801
