model,mae,mse
baseline_lstm_lag3_0,6.988767864633751,80.19147787939824
baseline_lstm_lag3_1,13.073502712255284,220.0988085192104
baseline_lstm_lag3_2,6.67194520850339,74.09068673969713
baseline_lstm_lag3_3,5.309854377097454,48.26982900666585
baseline_lstm_lag3_4,7.750054379164405,97.63357371770716
baseline_lstm_lag3_5,10.682870574189062,149.78115063101708
baseline_lstm_lag3_6,6.026375143248052,60.975698446593434
baseline_lstm_lag3_7,6.797425088861111,76.32972495396453
baseline_lstm_lag3_8,5.317050222275398,48.17469222815238
baseline_lstm_lag3_9,16.75169572968201,335.37837538353403
baseline_lstm_lag3_10,6.833927272146559,76.50291635982265
baseline_lstm_lag3_11,12.265174642217644,200.5442398846622
baseline_lstm_lag3_12,7.341914954432819,86.72973859991214
baseline_lstm_lag3_13,7.575520315492302,94.46751635785834
baseline_lstm_lag3_14,3.630380600129705,21.29085291372349
baseline_lstm_lag3_15,7.447758171717021,90.77811950678674
baseline_lstm_lag3_16,5.063171296101064,43.18541068297181
baseline_lstm_lag3_17,16.390078067146238,338.78232961625605
baseline_lstm_lag3_18,19.305310540267843,438.7189371041634
baseline_lstm_lag3_19,4.579956485195758,35.77785039573983
baseline_lstm_lag3_20,15.881115662743715,320.58412398235873
baseline_lstm_lag3_21,4.410873333165946,32.862814627213815
baseline_lstm_lag3_22,21.17625424936702,542.8098190087144
baseline_lstm_lag3_23,19.56465007313252,541.8700171435588
baseline_lstm_lag3_24,12.854484692862355,228.89436592204464
baseline_lstm_lag3_25,6.517187984221431,71.28651662938009
baseline_lstm_lag3_26,9.418172348647534,133.79879007094308
baseline_lstm_lag3_27,10.593434084617847,161.2755501695714
baseline_lstm_lag3_28,9.782937766316444,141.56419873682208
baseline_lstm_lag3_29,7.092962102531702,82.15353363555441
baseline_lstm_lag3_average,9.769826864745445,162.4933886284666
