model,mae,mse
concat_deberta_sentiment_weighted_headline_0,2.0304339995411347,7.144605732338642
concat_deberta_sentiment_weighted_headline_1,1.9644516475670772,7.123854761871165
concat_deberta_sentiment_weighted_headline_2,2.0505047164175063,7.68912704003715
concat_deberta_sentiment_weighted_headline_3,2.0199872534881327,7.086816025725717
concat_deberta_sentiment_weighted_headline_4,2.355472637358328,9.217753920256694
concat_deberta_sentiment_weighted_headline_5,1.8702652266068625,6.409968512700405
concat_deberta_sentiment_weighted_headline_6,1.8643667532930488,6.43825062167289
concat_deberta_sentiment_weighted_headline_7,1.9724903108985077,7.176570489840542
concat_deberta_sentiment_weighted_headline_8,1.9214442148238684,6.801113118012033
concat_deberta_sentiment_weighted_headline_9,2.003288255834439,7.386461216032722
concat_deberta_sentiment_weighted_headline_10,1.9352456853724629,6.642606725879865
concat_deberta_sentiment_weighted_headline_11,2.0675019763116715,7.786765436074348
concat_deberta_sentiment_weighted_headline_12,2.0780712732564908,7.88298203148396
concat_deberta_sentiment_weighted_headline_13,1.8720028872931616,6.413961185337397
concat_deberta_sentiment_weighted_headline_14,2.018464508614795,7.493231446067833
concat_deberta_sentiment_weighted_headline_15,1.8710841999681316,6.430584300148883
concat_deberta_sentiment_weighted_headline_16,2.191014378654208,8.733864953057987
concat_deberta_sentiment_weighted_headline_17,1.9666062068497951,7.100225702069229
concat_deberta_sentiment_weighted_headline_18,1.9752586023904857,7.193658929912008
concat_deberta_sentiment_weighted_headline_19,2.4660070872041127,10.806806660289784
concat_deberta_sentiment_weighted_headline_20,1.9844445964476003,7.257201588506485
concat_deberta_sentiment_weighted_headline_21,1.8718845652790932,6.435904993050526
concat_deberta_sentiment_weighted_headline_22,2.0886208392363312,7.950864141989027
concat_deberta_sentiment_weighted_headline_23,2.050800426288742,7.679670607165738
concat_deberta_sentiment_weighted_headline_24,1.9430025184246256,6.668379186680058
concat_deberta_sentiment_weighted_headline_25,1.949816834821797,6.708970711406353
concat_deberta_sentiment_weighted_headline_26,1.9025335119305145,6.722067509745019
concat_deberta_sentiment_weighted_headline_27,1.8694030721038517,6.425225101278254
concat_deberta_sentiment_weighted_headline_28,1.8674997684921744,6.4387623703902
concat_deberta_sentiment_weighted_headline_29,1.8810394561466863,6.45449581158448
concat_deberta_sentiment_weighted_headline_average,1.9967669136971877,7.2566916943535125
