model,mae,mse
concat_deberta_sentiment_weighted_headline_0,2.37984018621702,10.04615999370954
concat_deberta_sentiment_weighted_headline_1,2.6793008981557054,12.324932606372414
concat_deberta_sentiment_weighted_headline_2,2.3629362996880308,9.974501799333488
concat_deberta_sentiment_weighted_headline_3,2.273219786628281,9.084735034979625
concat_deberta_sentiment_weighted_headline_4,2.598405067646246,11.705319172085344
concat_deberta_sentiment_weighted_headline_5,2.5714818842906975,11.430437778569548
concat_deberta_sentiment_weighted_headline_6,2.349045989059089,9.876643058021951
concat_deberta_sentiment_weighted_headline_7,3.0707000538325144,15.737387326042043
concat_deberta_sentiment_weighted_headline_8,2.4191173739723397,10.217350527181887
concat_deberta_sentiment_weighted_headline_9,2.8376757201301457,13.71324917431792
concat_deberta_sentiment_weighted_headline_10,2.507314062194497,11.002046653174313
concat_deberta_sentiment_weighted_headline_11,2.438056340773478,10.506363357574774
concat_deberta_sentiment_weighted_headline_12,2.291075927843314,9.31439028821138
concat_deberta_sentiment_weighted_headline_13,2.437199328060986,10.466553163277046
concat_deberta_sentiment_weighted_headline_14,2.3902242707644867,10.024915630538922
concat_deberta_sentiment_weighted_headline_15,2.387613702656423,10.02472647976976
concat_deberta_sentiment_weighted_headline_16,2.3728631752166183,10.033139079310889
concat_deberta_sentiment_weighted_headline_17,2.834104635536365,13.666072540405851
concat_deberta_sentiment_weighted_headline_18,2.377999290555783,10.06281503367274
concat_deberta_sentiment_weighted_headline_19,2.9157329321149934,14.317519955647844
concat_deberta_sentiment_weighted_headline_20,2.9719528515105953,14.91559371575779
concat_deberta_sentiment_weighted_headline_21,2.99333626714782,14.973929190804949
concat_deberta_sentiment_weighted_headline_22,2.541805333329795,11.256203747386444
concat_deberta_sentiment_weighted_headline_23,2.508345972809761,10.925027243953078
concat_deberta_sentiment_weighted_headline_24,3.0933636770534276,16.044740588394216
concat_deberta_sentiment_weighted_headline_25,2.6123187723486985,11.787021656831149
concat_deberta_sentiment_weighted_headline_26,3.01278718320001,15.199579194930532
concat_deberta_sentiment_weighted_headline_27,2.591230452225157,11.64595437939854
concat_deberta_sentiment_weighted_headline_28,2.2154932487712573,8.877109079508099
concat_deberta_sentiment_weighted_headline_29,2.6416031083141336,11.958120158181112
concat_deberta_sentiment_weighted_headline_average,2.5892047930682556,11.703751253578107
