model,mae,mse
concat_deberta_sentiment_weighted_headline_0,3.377258556320818,26.225104302373555
concat_deberta_sentiment_weighted_headline_1,2.686763300601807,16.860068154997954
concat_deberta_sentiment_weighted_headline_2,3.3847301785166404,26.52308305447803
concat_deberta_sentiment_weighted_headline_3,3.7797813313516913,31.388461229954174
concat_deberta_sentiment_weighted_headline_4,4.286732197778193,39.91037284882399
concat_deberta_sentiment_weighted_headline_5,3.923187967828479,35.17465657505258
concat_deberta_sentiment_weighted_headline_6,3.5662690969297035,27.708046022231404
concat_deberta_sentiment_weighted_headline_7,3.488366041877191,26.936775460820517
concat_deberta_sentiment_weighted_headline_8,3.433369051577925,27.001145749493546
concat_deberta_sentiment_weighted_headline_9,3.9984724263403417,36.43385751063384
concat_deberta_sentiment_weighted_headline_10,4.873442857937441,51.31878009809638
concat_deberta_sentiment_weighted_headline_11,4.097326434180204,36.48703879709387
concat_deberta_sentiment_weighted_headline_12,3.916267059942145,33.72950496091783
concat_deberta_sentiment_weighted_headline_13,3.240106320498924,23.58851711373702
concat_deberta_sentiment_weighted_headline_14,3.309550659071962,24.79719497062404
concat_deberta_sentiment_weighted_headline_15,3.683559075006312,29.499851872328673
concat_deberta_sentiment_weighted_headline_16,3.698033955758916,29.336060133504912
concat_deberta_sentiment_weighted_headline_17,4.070847717926155,35.96749196733709
concat_deberta_sentiment_weighted_headline_18,3.08633617895014,21.27387230411574
concat_deberta_sentiment_weighted_headline_19,3.1892553007028512,23.370398379248417
concat_deberta_sentiment_weighted_headline_20,3.1912136891779483,23.43065627234049
concat_deberta_sentiment_weighted_headline_21,2.7330113409561276,17.24518688714246
concat_deberta_sentiment_weighted_headline_22,4.355599041275394,41.63066258462219
concat_deberta_sentiment_weighted_headline_23,2.6281065024830017,16.753937608711652
concat_deberta_sentiment_weighted_headline_24,3.719326863018449,29.91552130464939
concat_deberta_sentiment_weighted_headline_25,2.9706993137861635,20.19396016413991
concat_deberta_sentiment_weighted_headline_26,3.311656123103326,24.432877906542856
concat_deberta_sentiment_weighted_headline_27,4.598586342655181,44.6861205866995
concat_deberta_sentiment_weighted_headline_28,2.8111140781179933,18.34291908330988
concat_deberta_sentiment_weighted_headline_29,2.1093052867102577,10.7746531217406
concat_deberta_sentiment_weighted_headline_average,3.5172758096793895,28.364559234192082
