model,mae,mse
concat_distil_sentiment_weighted_headline_0,1.954510148647103,7.039080567238941
concat_distil_sentiment_weighted_headline_1,2.062603438253114,7.766345620671055
concat_distil_sentiment_weighted_headline_2,1.9324216781638257,6.654944899794989
concat_distil_sentiment_weighted_headline_3,1.9894006181227384,7.267375377725727
concat_distil_sentiment_weighted_headline_4,2.076232505674861,7.445684414015885
concat_distil_sentiment_weighted_headline_5,2.0630224300875932,7.763707025148108
concat_distil_sentiment_weighted_headline_6,1.9135484800424936,6.580390509740167
concat_distil_sentiment_weighted_headline_7,1.948020789334162,6.986624124863293
concat_distil_sentiment_weighted_headline_8,2.0084988990680332,7.392426006347116
concat_distil_sentiment_weighted_headline_9,2.5521921124337825,11.48870247950951
concat_distil_sentiment_weighted_headline_10,2.0818113878981275,7.863480692598387
concat_distil_sentiment_weighted_headline_11,1.8634200651465616,6.417174739761131
concat_distil_sentiment_weighted_headline_12,1.873416176159442,6.422975814420979
concat_distil_sentiment_weighted_headline_13,1.8802895478601789,6.468571392690513
concat_distil_sentiment_weighted_headline_14,1.9430249462269684,6.6891466794381635
concat_distil_sentiment_weighted_headline_15,1.8778313258289632,6.538580588743204
concat_distil_sentiment_weighted_headline_16,2.031005384177503,7.546756419577703
concat_distil_sentiment_weighted_headline_17,2.0018562629617493,6.99830419893857
concat_distil_sentiment_weighted_headline_18,1.9632074851294192,7.090190032258675
concat_distil_sentiment_weighted_headline_19,1.8765428471844268,6.4714433944439875
concat_distil_sentiment_weighted_headline_20,2.104022654428525,7.605653045470375
concat_distil_sentiment_weighted_headline_21,2.018885184702306,7.432589319524909
concat_distil_sentiment_weighted_headline_22,2.195565579367003,8.738380822351733
concat_distil_sentiment_weighted_headline_23,2.0856176115262723,7.510222884853905
concat_distil_sentiment_weighted_headline_24,1.8765545400044472,6.436519509630455
concat_distil_sentiment_weighted_headline_25,2.147494551596389,8.343312216902342
concat_distil_sentiment_weighted_headline_26,1.8665842236633636,6.434767653721578
concat_distil_sentiment_weighted_headline_27,1.981903214426861,6.886128404446915
concat_distil_sentiment_weighted_headline_28,2.1380693699078552,8.27263634928395
concat_distil_sentiment_weighted_headline_29,1.8769621000039285,6.427187459440005
concat_distil_sentiment_weighted_headline_average,2.006150518600933,7.299310088118407
