model,mae,mse
concat_distil_sentiment_weighted_headline_0,2.995886625273257,15.146843152419969
concat_distil_sentiment_weighted_headline_1,3.192898716269239,17.021211012313138
concat_distil_sentiment_weighted_headline_2,2.607473800922283,11.673357953550727
concat_distil_sentiment_weighted_headline_3,2.2921675306483427,9.36884372464456
concat_distil_sentiment_weighted_headline_4,2.502201822682857,10.924109245993929
concat_distil_sentiment_weighted_headline_5,2.289877667815316,9.233921894572749
concat_distil_sentiment_weighted_headline_6,2.3165594298931644,9.51379267861308
concat_distil_sentiment_weighted_headline_7,2.526690977014719,11.094912413543629
concat_distil_sentiment_weighted_headline_8,3.3293879054464033,18.2940444990167
concat_distil_sentiment_weighted_headline_9,2.656598298436483,12.058109273810375
concat_distil_sentiment_weighted_headline_10,2.9978532829525744,15.180276491816942
concat_distil_sentiment_weighted_headline_11,2.523862482724849,11.13662079238283
concat_distil_sentiment_weighted_headline_12,2.2339741659357113,9.036702232139206
concat_distil_sentiment_weighted_headline_13,2.5727922789745548,11.4472740891128
concat_distil_sentiment_weighted_headline_14,3.2288237168363394,17.32751179616818
concat_distil_sentiment_weighted_headline_15,2.711946798386177,12.642504643621375
concat_distil_sentiment_weighted_headline_16,2.6596020329579595,12.210054271682688
concat_distil_sentiment_weighted_headline_17,2.359982388068135,9.900174823620013
concat_distil_sentiment_weighted_headline_18,4.050390125928542,26.53371869097992
concat_distil_sentiment_weighted_headline_19,2.3752380355808187,9.913344193940729
concat_distil_sentiment_weighted_headline_20,3.420941723373222,19.258906770060452
concat_distil_sentiment_weighted_headline_21,2.290473205165898,9.308461152908002
concat_distil_sentiment_weighted_headline_22,2.766964637753668,13.090303980918376
concat_distil_sentiment_weighted_headline_23,2.429217121510324,10.393061697328898
concat_distil_sentiment_weighted_headline_24,2.873330869690812,13.992643654537854
concat_distil_sentiment_weighted_headline_25,2.630270082558946,11.967539717482367
concat_distil_sentiment_weighted_headline_26,3.1069653868245504,16.078448406586705
concat_distil_sentiment_weighted_headline_27,2.6298466851805107,11.968914922266752
concat_distil_sentiment_weighted_headline_28,2.575387206971365,11.542153505232124
concat_distil_sentiment_weighted_headline_29,2.3088112224391995,9.571100502933025
concat_distil_sentiment_weighted_headline_average,2.715213874140541,12.894295406139939
