model,mae,mse
concat_distil_sentiment_weighted_headline_0,4.417225424430668,39.59649988132252
concat_distil_sentiment_weighted_headline_1,4.414905967212234,39.4640119124025
concat_distil_sentiment_weighted_headline_2,3.342830053078534,27.630446232982823
concat_distil_sentiment_weighted_headline_3,4.513129640365096,40.39349317094866
concat_distil_sentiment_weighted_headline_4,3.603104010749956,30.236207398511247
concat_distil_sentiment_weighted_headline_5,4.531134310920595,40.84590834588569
concat_distil_sentiment_weighted_headline_6,4.713908489523972,43.79606497002657
concat_distil_sentiment_weighted_headline_7,3.8718267943247775,32.948591609341435
concat_distil_sentiment_weighted_headline_8,4.341536673178541,38.39866983470417
concat_distil_sentiment_weighted_headline_9,4.395087517956695,39.44071247793162
concat_distil_sentiment_weighted_headline_10,3.4447195873022425,28.57354072001559
concat_distil_sentiment_weighted_headline_11,4.434042332462406,39.70245759037701
concat_distil_sentiment_weighted_headline_12,4.534624346033722,40.93192919644782
concat_distil_sentiment_weighted_headline_13,4.618100173471872,42.372715945077665
concat_distil_sentiment_weighted_headline_14,5.217464511935683,51.25889866063829
concat_distil_sentiment_weighted_headline_15,4.846406608821122,45.94299418398485
concat_distil_sentiment_weighted_headline_16,4.447436028582999,39.612728169353346
concat_distil_sentiment_weighted_headline_17,4.07142477574912,35.68262758599984
concat_distil_sentiment_weighted_headline_18,4.388384279734622,38.88782465283409
concat_distil_sentiment_weighted_headline_19,4.330704513844644,38.30441813734222
concat_distil_sentiment_weighted_headline_20,5.150142687250052,49.89822719815571
concat_distil_sentiment_weighted_headline_21,3.929046630886836,33.947610631611546
concat_distil_sentiment_weighted_headline_22,3.717045988907079,31.529643494114246
concat_distil_sentiment_weighted_headline_23,4.363184445327452,38.782081632322566
concat_distil_sentiment_weighted_headline_24,5.665969515522901,58.257796284690414
concat_distil_sentiment_weighted_headline_25,4.4608547797953095,40.203569474024896
concat_distil_sentiment_weighted_headline_26,5.0081285877794155,48.71648889514076
concat_distil_sentiment_weighted_headline_27,4.285321632032844,37.635440606071256
concat_distil_sentiment_weighted_headline_28,3.6929971928373337,31.23060582917798
concat_distil_sentiment_weighted_headline_29,3.764905978348388,32.129414452253656
concat_distil_sentiment_weighted_headline_average,4.3505197826122375,39.21172063912304
