model,mae,mse
concat_distil_sentiment_weighted_headline_0,2.969382499490845,20.206921545965436
concat_distil_sentiment_weighted_headline_1,2.171066833831143,11.18040953301263
concat_distil_sentiment_weighted_headline_2,2.6784001349769886,16.972966049455064
concat_distil_sentiment_weighted_headline_3,3.3972686728583845,26.297400295590577
concat_distil_sentiment_weighted_headline_4,2.5226391769041143,14.92045932390586
concat_distil_sentiment_weighted_headline_5,2.930918543587177,19.54524707670458
concat_distil_sentiment_weighted_headline_6,3.81730739728554,32.19341594167109
concat_distil_sentiment_weighted_headline_7,2.4189981689393725,14.048787629845418
concat_distil_sentiment_weighted_headline_8,2.716512411356255,16.670826870945177
concat_distil_sentiment_weighted_headline_9,2.7311926190886724,17.23924253904343
concat_distil_sentiment_weighted_headline_10,3.0836089257466712,21.48937451600079
concat_distil_sentiment_weighted_headline_11,2.803100736862268,17.638926429941296
concat_distil_sentiment_weighted_headline_12,2.19733541492018,11.400502766240525
concat_distil_sentiment_weighted_headline_13,4.360596982702679,42.61819418023619
concat_distil_sentiment_weighted_headline_14,2.580992137842771,15.272034522626548
concat_distil_sentiment_weighted_headline_15,2.1164784588260765,10.523556370487938
concat_distil_sentiment_weighted_headline_16,2.493874911061226,14.739552306515652
concat_distil_sentiment_weighted_headline_17,1.8160559103215816,8.001163533286386
concat_distil_sentiment_weighted_headline_18,3.8179622951145817,33.28321562264351
concat_distil_sentiment_weighted_headline_19,2.939859756164599,19.85508940756279
concat_distil_sentiment_weighted_headline_20,3.185578388856702,23.587880093740125
concat_distil_sentiment_weighted_headline_21,2.062334124329393,10.108177602310322
concat_distil_sentiment_weighted_headline_22,3.1846466281501873,23.514254802998412
concat_distil_sentiment_weighted_headline_23,3.1284844898638275,22.874918788986673
concat_distil_sentiment_weighted_headline_24,2.868407903175339,19.27230128145259
concat_distil_sentiment_weighted_headline_25,3.2148186811814736,23.09861075519683
concat_distil_sentiment_weighted_headline_26,3.0514885174165576,21.78067399732157
concat_distil_sentiment_weighted_headline_27,3.0824598105929435,21.58159035275621
concat_distil_sentiment_weighted_headline_28,2.8845046213958203,19.25212979595885
concat_distil_sentiment_weighted_headline_29,2.8074161090675753,18.007299327322055
concat_distil_sentiment_weighted_headline_average,2.8677897087303648,19.57250410865748
