model,mae,mse
concat_distil_sentiment_weighted_headline_0,3.798994725955864,24.947208960785385
concat_distil_sentiment_weighted_headline_1,4.154329208690526,30.6156835522049
concat_distil_sentiment_weighted_headline_2,4.57861101577925,32.61849559122032
concat_distil_sentiment_weighted_headline_3,3.8700289386685527,25.452901196030496
concat_distil_sentiment_weighted_headline_4,3.9418457306413774,27.439629488003114
concat_distil_sentiment_weighted_headline_5,3.9425435804672113,27.27262046878375
concat_distil_sentiment_weighted_headline_6,3.895568286268628,25.56063866337022
concat_distil_sentiment_weighted_headline_7,3.8977075925437386,26.71772260413303
concat_distil_sentiment_weighted_headline_8,3.801178460477169,24.86341216279617
concat_distil_sentiment_weighted_headline_9,4.02718672166801,28.687462185617203
concat_distil_sentiment_weighted_headline_10,3.9954366242207926,28.21481896003066
concat_distil_sentiment_weighted_headline_11,5.249256068414202,47.60596109325442
concat_distil_sentiment_weighted_headline_12,4.014976213237172,26.6617316370961
concat_distil_sentiment_weighted_headline_13,3.942766404178981,27.44579739902594
concat_distil_sentiment_weighted_headline_14,3.9040707221216433,26.82451196592336
concat_distil_sentiment_weighted_headline_15,3.976610091838509,26.176335640297356
concat_distil_sentiment_weighted_headline_16,4.2144483215045225,31.64409237795142
concat_distil_sentiment_weighted_headline_17,3.988593362009238,26.34956363740837
concat_distil_sentiment_weighted_headline_18,3.8231560421208024,25.072348274660964
concat_distil_sentiment_weighted_headline_19,3.7849543373950607,24.954879687780547
concat_distil_sentiment_weighted_headline_20,3.813170209801176,25.4776350671391
concat_distil_sentiment_weighted_headline_21,4.667942788846163,33.606342482905724
concat_distil_sentiment_weighted_headline_22,4.1387213220097605,27.68953215169328
concat_distil_sentiment_weighted_headline_23,3.875309490061033,25.481157298523893
concat_distil_sentiment_weighted_headline_24,4.133346578579869,27.653422669030387
concat_distil_sentiment_weighted_headline_25,4.0115385188447386,28.40556631045454
concat_distil_sentiment_weighted_headline_26,4.113854005234515,30.05302112622753
concat_distil_sentiment_weighted_headline_27,3.780036589263228,24.852724710448285
concat_distil_sentiment_weighted_headline_28,3.819489764312915,25.54064986805624
concat_distil_sentiment_weighted_headline_29,3.804084716808875,25.299562668482587
concat_distil_sentiment_weighted_headline_average,4.031991881065451,27.97284766331118
