model,mae,mse
concat_distil_sentiment_weighted_headline_0,3.032827046812036,21.056982254687114
concat_distil_sentiment_weighted_headline_1,3.2213623447277175,23.411494104889588
concat_distil_sentiment_weighted_headline_2,2.871471435855719,19.065175909945783
concat_distil_sentiment_weighted_headline_3,3.3341586009404645,25.13876117239832
concat_distil_sentiment_weighted_headline_4,2.5356125848938955,14.886412793946352
concat_distil_sentiment_weighted_headline_5,4.063763465380838,36.268658147762274
concat_distil_sentiment_weighted_headline_6,3.4006985006016452,25.4517689941839
concat_distil_sentiment_weighted_headline_7,4.062628335200455,37.15574533399372
concat_distil_sentiment_weighted_headline_8,3.7992363658759687,32.17357143980482
concat_distil_sentiment_weighted_headline_9,3.6386017274298865,29.689652414281
concat_distil_sentiment_weighted_headline_10,4.1126487933147615,37.1997460785369
concat_distil_sentiment_weighted_headline_11,2.4355293090491252,13.981704913008052
concat_distil_sentiment_weighted_headline_12,3.814578633048846,31.822502292225938
concat_distil_sentiment_weighted_headline_13,3.9711173709525616,34.271049551710995
concat_distil_sentiment_weighted_headline_14,2.209536306337903,11.29126499175722
concat_distil_sentiment_weighted_headline_15,3.2651374540554055,24.35418731244697
concat_distil_sentiment_weighted_headline_16,4.079231490520759,36.35344685512652
concat_distil_sentiment_weighted_headline_17,5.0497947706542945,54.220055497189726
concat_distil_sentiment_weighted_headline_18,3.1203043701514335,21.988993227991692
concat_distil_sentiment_weighted_headline_19,2.495741425106351,14.753723365385191
concat_distil_sentiment_weighted_headline_20,3.498160608441007,26.880469900105354
concat_distil_sentiment_weighted_headline_21,4.4630550762492565,41.444862514173344
concat_distil_sentiment_weighted_headline_22,3.3663358501106395,24.79204268725627
concat_distil_sentiment_weighted_headline_23,3.4926786849080345,27.419953534810936
concat_distil_sentiment_weighted_headline_24,3.511469430156241,27.49537420934731
concat_distil_sentiment_weighted_headline_25,3.5530399216258526,28.55770668356256
concat_distil_sentiment_weighted_headline_26,3.329468909078589,25.280316096117716
concat_distil_sentiment_weighted_headline_27,3.076611732022632,21.099011313873735
concat_distil_sentiment_weighted_headline_28,3.235456092587496,23.862053040049112
concat_distil_sentiment_weighted_headline_29,3.175529122321562,23.19445044839876
concat_distil_sentiment_weighted_headline_average,3.440526191947045,27.152037902632237
