model,mae,mse
concat_ensemble_abstract_0,2.0206481162950825,7.361505022662433
concat_ensemble_abstract_1,1.9285491496506728,6.95767805889594
concat_ensemble_abstract_2,2.521786756693116,10.92959031669905
concat_ensemble_abstract_3,2.058131612995611,7.297937987678091
concat_ensemble_abstract_4,3.382552278517064,19.096667040651777
concat_ensemble_abstract_5,2.1727809876734434,8.205736524764257
concat_ensemble_abstract_6,2.110401769186337,7.588001751341
concat_ensemble_abstract_7,2.2783146120136495,8.696497623983792
concat_ensemble_abstract_8,2.401751095662397,9.999378207787764
concat_ensemble_abstract_9,2.0921575965850416,7.573443910518557
concat_ensemble_abstract_10,2.252543732132114,8.698051651424326
concat_ensemble_abstract_11,2.1112904024096437,8.187919371193123
concat_ensemble_abstract_12,2.4537683474175673,10.397903540520543
concat_ensemble_abstract_13,2.025480477688546,7.265604858268396
concat_ensemble_abstract_14,2.233784789588501,8.465336265170098
concat_ensemble_abstract_15,2.076358073470798,7.260750288372562
concat_ensemble_abstract_16,2.396706543871093,9.992221159552926
concat_ensemble_abstract_17,2.195513628906285,8.165224999598475
concat_ensemble_abstract_18,2.1205386792006986,7.994027965828055
concat_ensemble_abstract_19,2.5492114597461164,10.917870291724345
concat_ensemble_abstract_20,2.4646075120684654,10.346297997737937
concat_ensemble_abstract_21,2.3384263160843073,9.256304514750976
concat_ensemble_abstract_22,2.5131755925686337,10.867120747803648
concat_ensemble_abstract_23,3.301811060469648,18.199574186861465
concat_ensemble_abstract_24,2.253287276647642,8.691568832788478
concat_ensemble_abstract_25,2.38336011065275,9.747057333322871
concat_ensemble_abstract_26,2.5472198015853844,11.026743222609646
concat_ensemble_abstract_27,2.0541076324070904,7.6051733673546655
concat_ensemble_abstract_28,3.1597857039909836,17.545093085440385
concat_ensemble_abstract_29,2.21659589528534,8.353250085623763
concat_ensemble_abstract_average,2.3538215670488003,9.756317673697646
