model,mae,mse
concat_ensemble_headline_0,2.0868570648267113,7.752037058169554
concat_ensemble_headline_1,2.033518151873625,7.230815160449772
concat_ensemble_headline_2,4.1898919538763595,24.21144287558321
concat_ensemble_headline_3,2.3179963610211742,9.499708623891577
concat_ensemble_headline_4,20.316478843058437,517.3298470586253
concat_ensemble_headline_5,4.731687819784575,30.32560864998034
concat_ensemble_headline_6,3.250849534589084,14.836178334691787
concat_ensemble_headline_7,2.319979313590969,8.90275033429258
concat_ensemble_headline_8,2.2387965203050544,8.963708776247952
concat_ensemble_headline_9,5.390827012508482,38.01375891938869
concat_ensemble_headline_10,2.2398941529201157,8.237524605776029
concat_ensemble_headline_11,2.32422228191805,9.25270922894064
concat_ensemble_headline_12,3.0800019619900163,14.531132333747683
concat_ensemble_headline_13,2.0463851867070484,7.807591930450697
concat_ensemble_headline_14,4.899675623059734,34.50370625830901
concat_ensemble_headline_15,2.3092572235546394,9.836846084819076
concat_ensemble_headline_16,3.475384837672086,18.01770566439203
concat_ensemble_headline_17,2.1100181124432793,8.034428733250799
concat_ensemble_headline_18,3.3010271195622938,16.670683980783945
concat_ensemble_headline_19,1.9947532597226685,6.922359398556587
concat_ensemble_headline_20,2.400974300436186,9.476247180636616
concat_ensemble_headline_21,1.9239806316025112,6.893856622783422
concat_ensemble_headline_22,1.9895311882213376,7.1511728733916815
concat_ensemble_headline_23,2.2732408718943216,9.745030037142616
concat_ensemble_headline_24,1.9419010997777997,6.984325653214066
concat_ensemble_headline_25,2.545171497144283,10.555774439551538
concat_ensemble_headline_26,3.792266011751065,19.259872896589464
concat_ensemble_headline_27,2.1596592574307123,8.195631993042644
concat_ensemble_headline_28,2.3590379812215017,10.633909019690329
concat_ensemble_headline_29,2.9596572990573784,14.288432629899678
concat_ensemble_headline_average,3.366764082450717,30.135493245209652
