model,mae,mse
concat_ensemble_weighted_abstract_0,1.9370524369580664,6.675456528610966
concat_ensemble_weighted_abstract_1,1.9929595551936077,6.930613271620437
concat_ensemble_weighted_abstract_2,1.8842440466198147,6.474292355986543
concat_ensemble_weighted_abstract_3,1.8761384801937624,6.451024148976105
concat_ensemble_weighted_abstract_4,1.9084166037097736,6.545441426828865
concat_ensemble_weighted_abstract_5,1.9802450401437044,6.881011844572535
concat_ensemble_weighted_abstract_6,1.9207119210243977,6.5899443579457975
concat_ensemble_weighted_abstract_7,1.8825021111923863,6.446943855577547
concat_ensemble_weighted_abstract_8,1.8805009602002147,6.481020211376025
concat_ensemble_weighted_abstract_9,2.0509667256983772,7.2775510443644125
concat_ensemble_weighted_abstract_10,1.9102927991989032,6.770401573320067
concat_ensemble_weighted_abstract_11,1.8858855072968983,6.46704984180343
concat_ensemble_weighted_abstract_12,1.8719622226858783,6.45906959203125
concat_ensemble_weighted_abstract_13,2.062312445149297,7.337922085059339
concat_ensemble_weighted_abstract_14,1.8686332730956887,6.453269251876069
concat_ensemble_weighted_abstract_15,1.9678351875117743,6.828236328538357
concat_ensemble_weighted_abstract_16,1.8652158843224251,6.438113240956433
concat_ensemble_weighted_abstract_17,2.1347106197945043,7.804402288576787
concat_ensemble_weighted_abstract_18,1.941566370894479,6.968648763204156
concat_ensemble_weighted_abstract_19,2.0213273604984456,7.104209745376054
concat_ensemble_weighted_abstract_20,1.866996082346484,6.4672220425771
concat_ensemble_weighted_abstract_21,1.8816719294393296,6.471701648884462
concat_ensemble_weighted_abstract_22,2.020688727516456,7.09642730638983
concat_ensemble_weighted_abstract_23,1.962855470636654,6.806190395999709
concat_ensemble_weighted_abstract_24,1.9056023127019448,6.5628877709532105
concat_ensemble_weighted_abstract_25,1.950652835700163,6.739180569870954
concat_ensemble_weighted_abstract_26,1.988323170107685,6.9194516360851255
concat_ensemble_weighted_abstract_27,1.9926138003887643,6.946773285436171
concat_ensemble_weighted_abstract_28,1.866163298843711,6.451511874697702
concat_ensemble_weighted_abstract_29,1.9022257340654705,6.675771258160197
concat_ensemble_weighted_abstract_average,1.9393757637709685,6.750724651521854
