model,mae,mse
concat_ensemble_weighted_headline_0,1.9731878321297824,7.131545216225866
concat_ensemble_weighted_headline_1,1.9883561346908536,6.905325495091325
concat_ensemble_weighted_headline_2,1.891612180131789,6.467398175366279
concat_ensemble_weighted_headline_3,1.9242622994712784,6.849450611830527
concat_ensemble_weighted_headline_4,2.027975483829294,7.132345630323019
concat_ensemble_weighted_headline_5,1.9380904811905484,6.926985339981879
concat_ensemble_weighted_headline_6,2.0678561245511835,7.782627919310228
concat_ensemble_weighted_headline_7,1.8731770192072208,6.421120694348538
concat_ensemble_weighted_headline_8,2.043792259372653,7.230547549599501
concat_ensemble_weighted_headline_9,2.273512382568667,9.323326788543772
concat_ensemble_weighted_headline_10,2.217251903148663,8.831386728400128
concat_ensemble_weighted_headline_11,2.1313440584042262,8.25971548423815
concat_ensemble_weighted_headline_12,1.9565696249954223,6.766028765335227
concat_ensemble_weighted_headline_13,2.287236100751606,9.42414715035676
concat_ensemble_weighted_headline_14,2.1831909332938446,8.624252830420739
concat_ensemble_weighted_headline_15,1.9909702568781,7.28681116456009
concat_ensemble_weighted_headline_16,1.874788436693221,6.522829354001903
concat_ensemble_weighted_headline_17,1.9622539552007128,6.775466317731854
concat_ensemble_weighted_headline_18,2.029986050440171,7.1459484600066085
concat_ensemble_weighted_headline_19,1.8650470730855315,6.414412708588815
concat_ensemble_weighted_headline_20,1.9157514604457329,6.793090009257421
concat_ensemble_weighted_headline_21,2.0756026478135867,7.860356090018054
concat_ensemble_weighted_headline_22,2.1578245001353964,8.409352639223043
concat_ensemble_weighted_headline_23,1.972287507916867,7.156424711086114
concat_ensemble_weighted_headline_24,1.8630821801720745,6.443590341590402
concat_ensemble_weighted_headline_25,2.1088065622682297,8.127015624249493
concat_ensemble_weighted_headline_26,1.8650777604858968,6.446744775578623
concat_ensemble_weighted_headline_27,1.8995321729824188,6.667962871776668
concat_ensemble_weighted_headline_28,1.947140945387152,6.995430538115175
concat_ensemble_weighted_headline_29,1.8970232168530117,6.6648476850743075
concat_ensemble_weighted_headline_average,2.0067529848165044,7.326216255674351
