model,mae,mse
concat_ensemble_weighted_headline_0,2.512186793893407,11.039295752812157
concat_ensemble_weighted_headline_1,2.360214256710293,9.744375230025543
concat_ensemble_weighted_headline_2,3.0920430043706473,15.918803959894229
concat_ensemble_weighted_headline_3,2.467579735910481,10.672869685523604
concat_ensemble_weighted_headline_4,2.848715330476252,13.765214209421858
concat_ensemble_weighted_headline_5,2.810420410285876,13.454575858545722
concat_ensemble_weighted_headline_6,2.5565405845621507,11.259338923622682
concat_ensemble_weighted_headline_7,2.5374460237684144,11.141171722248526
concat_ensemble_weighted_headline_8,2.533321858548249,11.196702156313696
concat_ensemble_weighted_headline_9,2.871290329846097,14.092788462319358
concat_ensemble_weighted_headline_10,3.2704161946322543,17.60335842482589
concat_ensemble_weighted_headline_11,2.42852210777164,10.41233428939103
concat_ensemble_weighted_headline_12,2.43418291050795,10.42796101601013
concat_ensemble_weighted_headline_13,2.7397760123264696,12.84236944314674
concat_ensemble_weighted_headline_14,2.540457846866167,11.049957834739674
concat_ensemble_weighted_headline_15,2.2826070098098574,9.173525589107658
concat_ensemble_weighted_headline_16,2.5359566499401778,11.108462053244407
concat_ensemble_weighted_headline_17,2.680280748986976,12.331740789669263
concat_ensemble_weighted_headline_18,2.519036496567214,10.920721486575468
concat_ensemble_weighted_headline_19,2.696353928066125,12.489100569158586
concat_ensemble_weighted_headline_20,2.838482206209087,13.769408962495822
concat_ensemble_weighted_headline_21,2.454885615033197,10.541172620346876
concat_ensemble_weighted_headline_22,2.7784766196067068,13.227522640063835
concat_ensemble_weighted_headline_23,3.043266210409444,15.59927662610925
concat_ensemble_weighted_headline_24,2.643399369957687,11.900305277703724
concat_ensemble_weighted_headline_25,2.770408678551833,13.131030088408195
concat_ensemble_weighted_headline_26,2.6830127648548734,12.38167735979886
concat_ensemble_weighted_headline_27,2.4300087148552474,10.42698553281956
concat_ensemble_weighted_headline_28,3.2730513185455123,17.664815781722798
concat_ensemble_weighted_headline_29,2.5237400931314027,11.084719814122382
concat_ensemble_weighted_headline_average,2.671869327500057,12.345719405339583
