model,mae,mse
concat_ensemble_weighted_headline_0,4.3761587908560875,38.34529534501085
concat_ensemble_weighted_headline_1,3.593195268581221,29.746702961586617
concat_ensemble_weighted_headline_2,4.768873627778629,43.955922005985585
concat_ensemble_weighted_headline_3,4.257090272155678,37.044636350701005
concat_ensemble_weighted_headline_4,3.41635557714511,27.93637167645026
concat_ensemble_weighted_headline_5,4.952434883291705,46.24011646180532
concat_ensemble_weighted_headline_6,3.7200252615853073,31.14778947382231
concat_ensemble_weighted_headline_7,4.248577530176745,36.778290138887954
concat_ensemble_weighted_headline_8,4.074265361613154,35.157370759270265
concat_ensemble_weighted_headline_9,4.851701273266088,44.8997761613025
concat_ensemble_weighted_headline_10,4.583875528911423,41.48538149068924
concat_ensemble_weighted_headline_11,4.044897382552523,34.563909200424284
concat_ensemble_weighted_headline_12,3.3631954592705413,27.520388884095624
concat_ensemble_weighted_headline_13,4.824725027790194,44.72070140569739
concat_ensemble_weighted_headline_14,3.846877120016519,32.444706033939916
concat_ensemble_weighted_headline_15,5.568975711405522,56.94120457102515
concat_ensemble_weighted_headline_16,4.11830053503171,35.45714095042974
concat_ensemble_weighted_headline_17,4.3603813425570515,38.36334044970928
concat_ensemble_weighted_headline_18,4.289680079136718,37.48942241077812
concat_ensemble_weighted_headline_19,4.916861251759544,46.029218092998434
concat_ensemble_weighted_headline_20,4.9111459966531115,45.559844839912074
concat_ensemble_weighted_headline_21,4.3080263993587256,37.6582649658484
concat_ensemble_weighted_headline_22,4.603015806696856,41.79346743590207
concat_ensemble_weighted_headline_23,4.738047965813917,43.431680635003374
concat_ensemble_weighted_headline_24,4.610106794465469,41.49238417638413
concat_ensemble_weighted_headline_25,5.301373047354,52.69309741782681
concat_ensemble_weighted_headline_26,4.627919030826438,42.107833605738186
concat_ensemble_weighted_headline_27,3.398960760347012,27.77471938942236
concat_ensemble_weighted_headline_28,4.390578617712466,38.98325049925793
concat_ensemble_weighted_headline_29,4.844736817473439,44.68877526505253
concat_ensemble_weighted_headline_average,4.39701195071943,39.41503343516526
