model,mae,mse
concat_ensemble_weighted_headline_0,2.197063105689351,11.380698989125666
concat_ensemble_weighted_headline_1,3.710968424907148,30.968239816128975
concat_ensemble_weighted_headline_2,2.980374063638826,20.290105181288748
concat_ensemble_weighted_headline_3,2.911526402824559,19.859444508803396
concat_ensemble_weighted_headline_4,4.545548166501617,45.06137306706984
concat_ensemble_weighted_headline_5,2.5974129658391516,15.443655258852822
concat_ensemble_weighted_headline_6,4.065260166534937,37.00828730406793
concat_ensemble_weighted_headline_7,2.0107546866646824,9.726929342550903
concat_ensemble_weighted_headline_8,2.293914118484065,12.458361589831656
concat_ensemble_weighted_headline_9,2.774742524469763,18.33378761110852
concat_ensemble_weighted_headline_10,2.4418860665923714,13.970654530283198
concat_ensemble_weighted_headline_11,3.61264135975835,29.757230115510364
concat_ensemble_weighted_headline_12,3.198743253818866,23.478336344641065
concat_ensemble_weighted_headline_13,3.1141624876482172,22.643323281342077
concat_ensemble_weighted_headline_14,2.340367868928239,12.66524471331064
concat_ensemble_weighted_headline_15,2.9840096569637913,20.16595161451647
concat_ensemble_weighted_headline_16,2.983911363144848,20.190366833825916
concat_ensemble_weighted_headline_17,2.9923562098491616,20.36509338757478
concat_ensemble_weighted_headline_18,2.3820272569921452,13.252337714188233
concat_ensemble_weighted_headline_19,2.433973629138914,13.779290490084982
concat_ensemble_weighted_headline_20,1.866987198242318,8.309404204052107
concat_ensemble_weighted_headline_21,3.0411676288673997,20.98522211550705
concat_ensemble_weighted_headline_22,3.337297698328368,24.6039609732998
concat_ensemble_weighted_headline_23,3.311656754925724,24.58977002335251
concat_ensemble_weighted_headline_24,1.7226495788175806,7.170946130454124
concat_ensemble_weighted_headline_25,3.067371624521592,21.00508445087611
concat_ensemble_weighted_headline_26,2.4524775568760537,13.808873475195542
concat_ensemble_weighted_headline_27,2.6645758067116136,16.136235006260748
concat_ensemble_weighted_headline_28,3.0981896732457677,21.596446089602164
concat_ensemble_weighted_headline_29,2.5183719642041775,14.75944232206957
concat_ensemble_weighted_headline_average,2.85507964210432,19.4588032161592
