model,mae,mse
concat_ensemble_weighted_headline_0,3.9776571929726545,26.30221019661559
concat_ensemble_weighted_headline_1,4.225297480670771,31.73551306373466
concat_ensemble_weighted_headline_2,4.04209447424868,26.8380082626086
concat_ensemble_weighted_headline_3,4.073796979838607,27.06731680833055
concat_ensemble_weighted_headline_4,4.285363747791267,32.51950336148676
concat_ensemble_weighted_headline_5,4.402084996550548,34.21534558469487
concat_ensemble_weighted_headline_6,3.8332716196051937,25.739685705642422
concat_ensemble_weighted_headline_7,3.78888994507856,24.9786439254028
concat_ensemble_weighted_headline_8,3.84012438070854,25.811298025164145
concat_ensemble_weighted_headline_9,4.100756878081953,27.210273987895132
concat_ensemble_weighted_headline_10,3.78867038449513,25.07793953205915
concat_ensemble_weighted_headline_11,3.8061569961140247,24.99045263931832
concat_ensemble_weighted_headline_12,4.047538526722676,26.93374438239964
concat_ensemble_weighted_headline_13,3.963216442039415,26.180974914884168
concat_ensemble_weighted_headline_14,4.106802905702046,29.889198863492396
concat_ensemble_weighted_headline_15,3.851169548563621,26.054444576230907
concat_ensemble_weighted_headline_16,5.177021712775584,40.03962139290853
concat_ensemble_weighted_headline_17,3.923871297841917,27.171201618391574
concat_ensemble_weighted_headline_18,3.897649901883675,25.593953669209593
concat_ensemble_weighted_headline_19,3.789347096682876,24.90273628567651
concat_ensemble_weighted_headline_20,3.889396474794147,26.639452472827855
concat_ensemble_weighted_headline_21,5.072788631619864,38.67525933061095
concat_ensemble_weighted_headline_22,4.211795238164151,28.46690596554749
concat_ensemble_weighted_headline_23,5.0861727228490645,44.64070461920385
concat_ensemble_weighted_headline_24,4.057138138081726,29.156700917642446
concat_ensemble_weighted_headline_25,3.9798601591390774,26.61694179003647
concat_ensemble_weighted_headline_26,4.2531915713776165,29.22462433976564
concat_ensemble_weighted_headline_27,4.057599475159033,29.05224196375311
concat_ensemble_weighted_headline_28,3.884796546941517,26.553423126857933
concat_ensemble_weighted_headline_29,4.530666941392845,36.16822339544375
concat_ensemble_weighted_headline_average,4.131472946929559,29.14821815726119
