model,mae,mse
concat_ensemble_weighted_headline_0,3.2309024565245132,23.581205541507348
concat_ensemble_weighted_headline_1,4.210406021305182,38.60009044941592
concat_ensemble_weighted_headline_2,3.3262353466151517,24.736511569720985
concat_ensemble_weighted_headline_3,2.5019191265718503,14.817473245889213
concat_ensemble_weighted_headline_4,5.422178171374308,63.29388763679289
concat_ensemble_weighted_headline_5,3.208078529323741,23.31334545251578
concat_ensemble_weighted_headline_6,3.8147860938013993,32.915609615333175
concat_ensemble_weighted_headline_7,2.3195245857163656,12.78653819457991
concat_ensemble_weighted_headline_8,3.2735262093487965,24.379855945246547
concat_ensemble_weighted_headline_9,3.7379433026999176,32.31569739452192
concat_ensemble_weighted_headline_10,2.846235185932031,18.673141990948963
concat_ensemble_weighted_headline_11,3.0529207529079914,20.926104700445705
concat_ensemble_weighted_headline_12,2.6503867097693807,16.52990781412559
concat_ensemble_weighted_headline_13,4.018211824183959,34.42197682937362
concat_ensemble_weighted_headline_14,4.013389066905376,34.745264038328834
concat_ensemble_weighted_headline_15,3.0758671331355796,21.57762266931548
concat_ensemble_weighted_headline_16,2.5892599310086,15.893707813464522
concat_ensemble_weighted_headline_17,2.0894184855886513,10.461151981369293
concat_ensemble_weighted_headline_18,4.089689911284014,36.25178791267875
concat_ensemble_weighted_headline_19,2.4667571673551594,14.372235005729577
concat_ensemble_weighted_headline_20,2.933690792688528,19.77034385921261
concat_ensemble_weighted_headline_21,3.832326968527173,32.598372891933124
concat_ensemble_weighted_headline_22,3.788163827418656,31.808556311754764
concat_ensemble_weighted_headline_23,3.860490785125026,33.58888015810039
concat_ensemble_weighted_headline_24,2.807557447481714,18.282710252813995
concat_ensemble_weighted_headline_25,4.556551980331697,43.74869708051462
concat_ensemble_weighted_headline_26,2.5435642628212265,15.452237450648523
concat_ensemble_weighted_headline_27,3.0213572969408222,20.94789479131741
concat_ensemble_weighted_headline_28,2.99893006215493,20.524314088328406
concat_ensemble_weighted_headline_29,2.932308747915145,19.755736935898312
concat_ensemble_weighted_headline_average,3.307085939425229,25.70236198739421
