model,mae,mse
concat_ensemble_weighted_headline_0,229.15638954596412,86850.41227319746
concat_ensemble_weighted_headline_1,225.29248820200095,84389.63149797343
concat_ensemble_weighted_headline_2,208.31361793225295,74020.95348313347
concat_ensemble_weighted_headline_3,206.86667850475112,73441.61248780701
concat_ensemble_weighted_headline_4,230.2239490853101,86999.82008642386
concat_ensemble_weighted_headline_5,221.24056911056363,81351.40482798088
concat_ensemble_weighted_headline_6,236.62004965340455,91011.45615554268
concat_ensemble_weighted_headline_7,218.24193972401383,80027.32634718764
concat_ensemble_weighted_headline_8,210.894729672785,75544.37649600186
concat_ensemble_weighted_headline_9,209.30718843551145,74726.5486249103
concat_ensemble_weighted_headline_10,205.57855087900117,72834.25572684681
concat_ensemble_weighted_headline_11,212.60843773178811,76412.0091356019
concat_ensemble_weighted_headline_12,211.4131218470212,76314.1495465641
concat_ensemble_weighted_headline_13,205.4145889745667,72749.54669774695
concat_ensemble_weighted_headline_14,204.8298525011231,72959.48940683725
concat_ensemble_weighted_headline_15,214.76316086401727,77416.44506392544
concat_ensemble_weighted_headline_16,212.09103909240775,77593.71023712872
concat_ensemble_weighted_headline_17,210.73271557268424,75286.41403849056
concat_ensemble_weighted_headline_18,223.67449867899424,82779.66328289655
concat_ensemble_weighted_headline_19,229.28557058314152,86535.02673154969
concat_ensemble_weighted_headline_20,204.09322165527485,72649.33490577554
concat_ensemble_weighted_headline_21,205.98925247304075,72890.56914148653
concat_ensemble_weighted_headline_22,212.04168319225576,76348.50051610207
concat_ensemble_weighted_headline_23,250.0542815471731,100216.71819398877
concat_ensemble_weighted_headline_24,208.9486161577877,76139.87379678147
concat_ensemble_weighted_headline_25,213.0302974684628,76531.8940203112
concat_ensemble_weighted_headline_26,205.84489257742936,72786.93140192023
concat_ensemble_weighted_headline_27,211.01938891974447,76048.14630352652
concat_ensemble_weighted_headline_28,240.43331851332528,95265.0183181842
concat_ensemble_weighted_headline_29,233.27794534643047,89031.90568609213
concat_ensemble_weighted_headline_average,217.04273448140762,79571.77148106386
