model,mae,mse
concat_llm_embeddings_abstract_0,27.58883769327913,1257.7738784402984
concat_llm_embeddings_abstract_1,28.41262941565588,1309.5001354744031
concat_llm_embeddings_abstract_2,26.25542485154711,1158.9272923978633
concat_llm_embeddings_abstract_3,33.97395255194961,1737.991416457055
concat_llm_embeddings_abstract_4,26.891987637529382,1204.4959857715717
concat_llm_embeddings_abstract_5,39.01803661596069,2152.719415234157
concat_llm_embeddings_abstract_6,41.365578386822705,2356.657724871674
concat_llm_embeddings_abstract_7,41.03773064335909,2341.2121597088644
concat_llm_embeddings_abstract_8,39.47423112591542,2191.367840300643
concat_llm_embeddings_abstract_9,24.469819017192833,1024.8173059402031
concat_llm_embeddings_abstract_10,37.53586808382027,2011.4238293954056
concat_llm_embeddings_abstract_11,43.03195403887309,2510.660459125354
concat_llm_embeddings_abstract_12,38.7216408505679,2126.8732347008176
concat_llm_embeddings_abstract_13,38.89906028820112,2144.043767901743
concat_llm_embeddings_abstract_14,36.01685419618279,1918.895827726224
concat_llm_embeddings_abstract_15,24.953242861202657,1058.2287512622115
concat_llm_embeddings_abstract_16,37.34393251610914,2015.082951070373
concat_llm_embeddings_abstract_17,40.744730256883514,2301.601308571416
concat_llm_embeddings_abstract_18,23.905865355456335,983.3238232724304
concat_llm_embeddings_abstract_19,42.758955337035985,2489.6843170806046
concat_llm_embeddings_abstract_20,40.58308197503004,2294.14552549232
concat_llm_embeddings_abstract_21,41.14261955464972,2342.0448894869487
concat_llm_embeddings_abstract_22,38.824037433350234,2129.1530061060635
concat_llm_embeddings_abstract_23,24.374777513046972,1021.0261223927
concat_llm_embeddings_abstract_24,39.76198540967801,2225.180538233936
concat_llm_embeddings_abstract_25,39.65738710226779,2201.5404784446773
concat_llm_embeddings_abstract_26,30.478625370382204,1459.4490477051002
concat_llm_embeddings_abstract_27,36.45907338082208,1948.1597680491063
concat_llm_embeddings_abstract_28,35.002738958128525,1803.1944458475648
concat_llm_embeddings_abstract_29,36.09501819990452,1911.0067570236624
concat_llm_embeddings_abstract_average,35.15932255402682,1854.3394001161798
