model,mae,mse
concat_llm_embeddings_headline_0,34.17355043884134,1753.8041099931943
concat_llm_embeddings_headline_1,34.23591458633186,1752.8872555229748
concat_llm_embeddings_headline_2,35.70955355215041,1868.407282017756
concat_llm_embeddings_headline_3,37.81729495133474,2040.237007391815
concat_llm_embeddings_headline_4,41.292041424280946,2355.4834243571117
concat_llm_embeddings_headline_5,38.70353942807811,2108.1288206849204
concat_llm_embeddings_headline_6,40.6846559410206,2308.975106470399
concat_llm_embeddings_headline_7,39.82015622639667,2228.41810718737
concat_llm_embeddings_headline_8,36.512930731746415,1935.9301996577608
concat_llm_embeddings_headline_9,37.71268416271169,2041.638169885295
concat_llm_embeddings_headline_10,36.56109777356911,1932.588935239706
concat_llm_embeddings_headline_11,36.68205080746743,1931.710759987451
concat_llm_embeddings_headline_12,40.47531096760368,2281.124685174528
concat_llm_embeddings_headline_13,26.52045042246026,1177.2725373109795
concat_llm_embeddings_headline_14,40.976911891615586,2331.949061902468
concat_llm_embeddings_headline_15,40.03953699361072,2251.913508304595
concat_llm_embeddings_headline_16,33.842525336989965,1735.8235947953085
concat_llm_embeddings_headline_17,38.35810274384599,2086.4397578369603
concat_llm_embeddings_headline_18,41.504552965645786,2376.066265936035
concat_llm_embeddings_headline_19,39.55931050077264,2205.7719474598516
concat_llm_embeddings_headline_20,41.16973493917714,2346.1010083817177
concat_llm_embeddings_headline_21,39.05078253666147,2162.1772322212437
concat_llm_embeddings_headline_22,26.269808765451327,1158.6152192903148
concat_llm_embeddings_headline_23,41.506048271429954,2371.336504187169
concat_llm_embeddings_headline_24,39.95812738886516,2246.386080893869
concat_llm_embeddings_headline_25,39.784503419623945,2216.4660955238837
concat_llm_embeddings_headline_26,39.48830660260553,2192.343328830101
concat_llm_embeddings_headline_27,23.594606622138695,953.215617313115
concat_llm_embeddings_headline_28,39.66370034289122,2231.3459309197037
concat_llm_embeddings_headline_29,23.983092946212416,982.421516417192
concat_llm_embeddings_headline_average,36.85502945605103,1985.4993023698264
