model,mae,mse
concat_llm_features_abstract_0,2.0305506951311827,7.749123871778648
concat_llm_features_abstract_1,2.596845226248836,10.851241848254828
concat_llm_features_abstract_2,2.3670304533273763,9.144283047212898
concat_llm_features_abstract_3,3.110268291534429,14.360381945568797
concat_llm_features_abstract_4,2.3904728721587607,9.274846615292551
concat_llm_features_abstract_5,1.9225999988190623,6.879839573307512
concat_llm_features_abstract_6,2.6781665193362474,11.073316275253106
concat_llm_features_abstract_7,2.164035442890308,7.968341214667921
concat_llm_features_abstract_8,2.2087588570336245,8.22641197982923
concat_llm_features_abstract_9,2.0749919874178753,7.564571130953585
concat_llm_features_abstract_10,1.9752134964323833,7.102947243712516
concat_llm_features_abstract_11,2.6647021264682262,10.941171166396629
concat_llm_features_abstract_12,2.4377306675407895,10.000499500733229
concat_llm_features_abstract_13,2.3342101904422914,9.093582687517278
concat_llm_features_abstract_14,2.102542988593421,7.646016312364546
concat_llm_features_abstract_15,3.1216165103523816,14.688496091688824
concat_llm_features_abstract_16,3.0120633002905404,13.62702938542243
concat_llm_features_abstract_17,1.9831801315778992,6.97054319772344
concat_llm_features_abstract_18,3.2448376786065065,15.49281336028975
concat_llm_features_abstract_19,2.067584999871487,7.388004892733278
concat_llm_features_abstract_20,2.5253637894155943,10.3643183628444
concat_llm_features_abstract_21,2.0715747833332387,7.40339684644554
concat_llm_features_abstract_22,2.02719830784985,7.295759993842555
concat_llm_features_abstract_23,2.2335908838606984,8.481800507180377
concat_llm_features_abstract_24,3.2568814323410384,15.848667512204967
concat_llm_features_abstract_25,2.603240653537879,10.686475749258069
concat_llm_features_abstract_26,2.2821056811366307,8.667460130752541
concat_llm_features_abstract_27,1.9438058044997184,7.008635484958714
concat_llm_features_abstract_28,2.7979929356091313,12.378012418925286
concat_llm_features_abstract_29,2.141701897580804,7.936498353217862
concat_llm_features_abstract_average,2.4123619534412737,9.737149556677709
