model,mae,mse
concat_llm_features_headline_0,2.030778917276676,7.085741449665443
concat_llm_features_headline_1,2.2570495344873014,8.315228813641943
concat_llm_features_headline_2,2.6417891270190053,11.118793182181498
concat_llm_features_headline_3,2.4534519367994223,9.787751494502714
concat_llm_features_headline_4,2.003693673868927,7.105352685535809
concat_llm_features_headline_5,2.107502214105636,7.814244948341351
concat_llm_features_headline_6,2.9028994152334135,12.744234297462258
concat_llm_features_headline_7,2.2211350182375997,8.331163794923773
concat_llm_features_headline_8,2.217038027044014,8.114712440253536
concat_llm_features_headline_9,2.9396918322822314,13.23145460483212
concat_llm_features_headline_10,1.9419409073686933,7.008733168009833
concat_llm_features_headline_11,1.9300261980589772,6.829336669283685
concat_llm_features_headline_12,2.064425358755559,7.286556548036655
concat_llm_features_headline_13,2.549852349747574,10.200490596921275
concat_llm_features_headline_14,2.1717826882132636,7.880046059890273
concat_llm_features_headline_15,2.674662237255205,11.01236338293128
concat_llm_features_headline_16,1.945998304119443,6.79702503469313
concat_llm_features_headline_17,3.888807945162979,21.64335566880355
concat_llm_features_headline_18,2.409916004090375,9.380411143843457
concat_llm_features_headline_19,1.9661652594733767,7.0184982409229555
concat_llm_features_headline_20,2.445650559477188,9.567292442111231
concat_llm_features_headline_21,2.0777864265061887,7.619541675842597
concat_llm_features_headline_22,3.2654881263924436,16.161802839177543
concat_llm_features_headline_23,2.0412439621139806,7.864554085873246
concat_llm_features_headline_24,2.2233493008734233,8.237290998252643
concat_llm_features_headline_25,1.9815088687187068,6.859328157602745
concat_llm_features_headline_26,2.4658101700197546,9.82525230824413
concat_llm_features_headline_27,2.025369576583366,7.237261229944007
concat_llm_features_headline_28,2.682298717786756,11.271454376271697
concat_llm_features_headline_29,2.349733948238637,8.990722182700942
concat_llm_features_headline_average,2.3625615535103375,9.41133315068991
