model,mae,mse
concat_llm_price_headline_0,2.0059815503823737,7.367283503402335
concat_llm_price_headline_1,1.9173986606868387,6.752959087483231
concat_llm_price_headline_2,2.2987714995534505,8.881706079123564
concat_llm_price_headline_3,1.8737962781464896,6.496599639568274
concat_llm_price_headline_4,2.24403729769457,8.539938260479953
concat_llm_price_headline_5,2.177200233258387,8.144185629165273
concat_llm_price_headline_6,2.6276659970531417,11.352297713340676
concat_llm_price_headline_7,2.025236920981664,7.513550842627096
concat_llm_price_headline_8,1.8612517454222317,6.368239916019247
concat_llm_price_headline_9,2.4876206768444744,10.31096514777918
concat_llm_price_headline_10,1.9397786217807824,6.952593128743498
concat_llm_price_headline_11,1.924591288244369,6.70924678630331
concat_llm_price_headline_12,2.0453272213791895,7.443503092522511
concat_llm_price_headline_13,2.052864956739955,7.661784758399949
concat_llm_price_headline_14,2.0159226816018996,7.404027215268461
concat_llm_price_headline_15,1.960035338824064,6.9893910456161965
concat_llm_price_headline_16,1.9995470474503103,7.343223929068144
concat_llm_price_headline_17,2.1532909107406604,7.994402411139623
concat_llm_price_headline_18,1.9306001859694384,6.891534960620446
concat_llm_price_headline_19,1.9941335033416427,7.223387569114999
concat_llm_price_headline_20,1.956984926796512,6.953176538693764
concat_llm_price_headline_21,1.8960556592744393,6.633852221833042
concat_llm_price_headline_22,1.896770995734089,6.664604056458126
concat_llm_price_headline_23,1.962771635900774,6.948949400509008
concat_llm_price_headline_24,2.0844666106653964,7.89151545247641
concat_llm_price_headline_25,1.9470594256781113,6.939838729687729
concat_llm_price_headline_26,2.2985061565564067,8.938933665850909
concat_llm_price_headline_27,2.2766635398577044,8.686821502151055
concat_llm_price_headline_28,2.078334862770164,7.589852537348785
concat_llm_price_headline_29,1.9978160630530304,7.237852882320122
concat_llm_price_headline_average,2.064349416412752,7.62754059010383
