model,mae,mse
concat_llm_sentiment_abstract_0,2.078749036472035,7.763883073616966
concat_llm_sentiment_abstract_1,2.086968335279305,7.739295773949197
concat_llm_sentiment_abstract_2,1.9842955537904936,7.158044230311963
concat_llm_sentiment_abstract_3,1.9463568921922176,6.745237573052844
concat_llm_sentiment_abstract_4,2.00393601937614,7.285093454772205
concat_llm_sentiment_abstract_5,2.022623364082201,7.0921278175091
concat_llm_sentiment_abstract_6,2.159740726026581,8.315010281892368
concat_llm_sentiment_abstract_7,2.3481603220780864,9.90812321656342
concat_llm_sentiment_abstract_8,1.9481619263553351,6.843758370750137
concat_llm_sentiment_abstract_9,2.394235557222479,9.469326295139398
concat_llm_sentiment_abstract_10,2.2518153729309565,8.99911846698935
concat_llm_sentiment_abstract_11,2.3469379644697144,9.7070795167246
concat_llm_sentiment_abstract_12,1.982458584903653,7.056804445608637
concat_llm_sentiment_abstract_13,2.124492655664911,7.671804540787818
concat_llm_sentiment_abstract_14,1.946554693385986,6.683084047612646
concat_llm_sentiment_abstract_15,1.9577484618110363,6.9934943843674935
concat_llm_sentiment_abstract_16,1.9303803556361816,6.759746358484382
concat_llm_sentiment_abstract_17,2.1282888454906086,8.115007340668138
concat_llm_sentiment_abstract_18,2.3590327496253516,9.867365461947172
concat_llm_sentiment_abstract_19,1.9746355520268488,7.072000258833599
concat_llm_sentiment_abstract_20,2.0440920809995653,7.518449209246421
concat_llm_sentiment_abstract_21,2.1639691960337952,8.46653733541358
concat_llm_sentiment_abstract_22,1.9871385542336,7.085441931016815
concat_llm_sentiment_abstract_23,2.0666126632945767,7.642798741450857
concat_llm_sentiment_abstract_24,2.266832086086994,9.095136247296235
concat_llm_sentiment_abstract_25,2.1012572630008033,7.910243202358592
concat_llm_sentiment_abstract_26,2.4863405457239014,10.16540003453306
concat_llm_sentiment_abstract_27,2.1145095408685415,8.030968142117478
concat_llm_sentiment_abstract_28,1.8830804334061295,6.410991787750545
concat_llm_sentiment_abstract_29,2.064826650557807,7.388664491195134
concat_llm_sentiment_abstract_average,2.105141066100861,7.898667867732005
