model,mae,mse
concat_llm_sentiment_dynamic_headline_0,2.059535331742964,7.78137363054787
concat_llm_sentiment_dynamic_headline_1,2.0732884352369343,7.918977314940535
concat_llm_sentiment_dynamic_headline_2,2.150851771535356,8.477200649125697
concat_llm_sentiment_dynamic_headline_3,2.1729506716968316,8.612117204303445
concat_llm_sentiment_dynamic_headline_4,1.968648998789748,7.150431722148365
concat_llm_sentiment_dynamic_headline_5,2.296291681460903,9.66542861804768
concat_llm_sentiment_dynamic_headline_6,2.0600136903586863,7.797241525716887
concat_llm_sentiment_dynamic_headline_7,2.1639686193131538,8.663354098351705
concat_llm_sentiment_dynamic_headline_8,2.1086778489436737,8.210527459331647
concat_llm_sentiment_dynamic_headline_9,2.188266866123242,8.829704307837215
concat_llm_sentiment_dynamic_headline_10,2.3764538108247804,10.417573611005004
concat_llm_sentiment_dynamic_headline_11,2.084270131321118,8.054333821430387
concat_llm_sentiment_dynamic_headline_12,1.9853476523212028,7.272862432835591
concat_llm_sentiment_dynamic_headline_13,2.05419519298893,7.814717263717385
concat_llm_sentiment_dynamic_headline_14,2.0263807746623343,7.57136491376368
concat_llm_sentiment_dynamic_headline_15,2.0764539928320342,7.917584247252733
concat_llm_sentiment_dynamic_headline_16,2.1169072536979012,8.329147736071477
concat_llm_sentiment_dynamic_headline_17,2.102931715045382,8.053114669923795
concat_llm_sentiment_dynamic_headline_18,1.9758203197190627,7.21221001965601
concat_llm_sentiment_dynamic_headline_19,2.270545993302084,9.398719874012992
concat_llm_sentiment_dynamic_headline_20,2.083162018210744,7.957809797163731
concat_llm_sentiment_dynamic_headline_21,2.145348354463337,8.462184864741097
concat_llm_sentiment_dynamic_headline_22,2.074687267026471,7.9613794762096
concat_llm_sentiment_dynamic_headline_23,2.2426566963433268,9.31653086133482
concat_llm_sentiment_dynamic_headline_24,2.14620400284504,8.445910002450121
concat_llm_sentiment_dynamic_headline_25,2.0329314428137155,7.573287077243318
concat_llm_sentiment_dynamic_headline_26,2.040140598079167,7.671213888689075
concat_llm_sentiment_dynamic_headline_27,2.1336893194365074,8.405479608763326
concat_llm_sentiment_dynamic_headline_28,2.2171006853882145,8.981371198822778
concat_llm_sentiment_dynamic_headline_29,2.087278265582599,7.981031918095399
concat_llm_sentiment_dynamic_headline_average,2.1171666467368477,8.263472793784446
