model,mae,mse
concat_llm_sentiment_dynamic_headline_0,2.5577792677724176,11.249825053313598
concat_llm_sentiment_dynamic_headline_1,3.4246818467363074,19.11779296641061
concat_llm_sentiment_dynamic_headline_2,3.687816298824647,21.71261152137627
concat_llm_sentiment_dynamic_headline_3,2.435469635233159,10.323583728244126
concat_llm_sentiment_dynamic_headline_4,2.9215922045563425,14.217112209300954
concat_llm_sentiment_dynamic_headline_5,2.902968779575836,14.14550084811523
concat_llm_sentiment_dynamic_headline_6,2.696539551327606,12.505263917947085
concat_llm_sentiment_dynamic_headline_7,3.670509037901738,21.57036602011035
concat_llm_sentiment_dynamic_headline_8,3.7435624439883575,22.574078341250857
concat_llm_sentiment_dynamic_headline_9,2.8760456906524485,13.733865521917991
concat_llm_sentiment_dynamic_headline_10,2.5615810502373244,11.229727128493284
concat_llm_sentiment_dynamic_headline_11,2.5111054698335455,10.985652577462606
concat_llm_sentiment_dynamic_headline_12,2.839495643745452,13.419472945624117
concat_llm_sentiment_dynamic_headline_13,2.7683761418634205,12.95822621921317
concat_llm_sentiment_dynamic_headline_14,3.143373589915019,16.262146555553397
concat_llm_sentiment_dynamic_headline_15,2.645810211530593,11.848455420512742
concat_llm_sentiment_dynamic_headline_16,3.0692266509537207,15.660262528152906
concat_llm_sentiment_dynamic_headline_17,2.455726233565532,10.434401597855407
concat_llm_sentiment_dynamic_headline_18,3.00606634246375,14.998087320870455
concat_llm_sentiment_dynamic_headline_19,2.6186610993426127,11.672726814770003
concat_llm_sentiment_dynamic_headline_20,2.416305580282289,10.144152310914022
concat_llm_sentiment_dynamic_headline_21,3.396329038628824,18.617898042539643
concat_llm_sentiment_dynamic_headline_22,2.784967559304361,12.98837420945988
concat_llm_sentiment_dynamic_headline_23,3.338836810839139,18.143274986437955
concat_llm_sentiment_dynamic_headline_24,2.5057280913234212,10.82497721932015
concat_llm_sentiment_dynamic_headline_25,2.7168446958498764,12.594511176821772
concat_llm_sentiment_dynamic_headline_26,3.022116344297571,15.194632431595284
concat_llm_sentiment_dynamic_headline_27,4.179569004647847,27.5050529121761
concat_llm_sentiment_dynamic_headline_28,2.5610093001781182,11.225919944061312
concat_llm_sentiment_dynamic_headline_29,3.219809128652289,17.059484235043925
concat_llm_sentiment_dynamic_headline_average,2.955930091467452,14.830581223495505
