model,mae,mse
concat_llm_sentiment_dynamic_headline_0,4.7473109180070265,39.71233246251654
concat_llm_sentiment_dynamic_headline_1,4.490145059678717,32.595199797511725
concat_llm_sentiment_dynamic_headline_2,4.212469170053096,29.327949101569512
concat_llm_sentiment_dynamic_headline_3,4.468765729313592,35.20219087384242
concat_llm_sentiment_dynamic_headline_4,4.119154644773358,29.250681689781104
concat_llm_sentiment_dynamic_headline_5,4.259678981911272,32.43696608999203
concat_llm_sentiment_dynamic_headline_6,4.335922217209225,31.983524644985277
concat_llm_sentiment_dynamic_headline_7,4.285813300576457,31.54294930747909
concat_llm_sentiment_dynamic_headline_8,4.356351622856179,31.817039022643343
concat_llm_sentiment_dynamic_headline_9,4.1253762322740295,28.70856522906849
concat_llm_sentiment_dynamic_headline_10,4.496624837609375,34.152860702378966
concat_llm_sentiment_dynamic_headline_11,4.275575228111079,31.308503802061995
concat_llm_sentiment_dynamic_headline_12,4.353777110633116,31.79684363880052
concat_llm_sentiment_dynamic_headline_13,4.2548788497567145,31.23467384361774
concat_llm_sentiment_dynamic_headline_14,4.596026390826836,34.37398741693905
concat_llm_sentiment_dynamic_headline_15,4.654471721903101,35.54782907507004
concat_llm_sentiment_dynamic_headline_16,4.725467268002438,37.968103752681934
concat_llm_sentiment_dynamic_headline_17,4.719475004614551,39.25421980266319
concat_llm_sentiment_dynamic_headline_18,4.151889720535771,30.02852872671299
concat_llm_sentiment_dynamic_headline_19,5.080231769568811,39.69422371992444
concat_llm_sentiment_dynamic_headline_20,4.448766170495622,32.53534003139123
concat_llm_sentiment_dynamic_headline_21,4.19066671683759,30.43183366701596
concat_llm_sentiment_dynamic_headline_22,4.412336626305829,32.894517522580536
concat_llm_sentiment_dynamic_headline_23,4.313264573796456,31.38573723627012
concat_llm_sentiment_dynamic_headline_24,4.3068043796790185,30.80967282031864
concat_llm_sentiment_dynamic_headline_25,4.264832670737198,31.58564368220569
concat_llm_sentiment_dynamic_headline_26,4.989467961916948,39.55695697945555
concat_llm_sentiment_dynamic_headline_27,4.406771731134309,32.26119704725773
concat_llm_sentiment_dynamic_headline_28,4.649255937861872,38.31797082673686
concat_llm_sentiment_dynamic_headline_29,4.167552153671753,29.211607497893063
concat_llm_sentiment_dynamic_headline_average,4.428637490021711,33.23092166704553
